Wavelength,Reflectance,Transmittance
400,0.034625829,0.006217638
401,0.034264008,0.00644231
402,0.034694964,0.006635923
403,0.034510204,0.007348336
404,0.033908561,0.007836627
405,0.033534157,0.007301021
406,0.033859276,0.007080569
407,0.034098947,0.006986651
408,0.03372179,0.006942677
409,0.032829344,0.007672843
410,0.032645644,0.007963528
411,0.033117543,0.007661992
412,0.032995925,0.007533402
413,0.03323381,0.008017146
414,0.033452224,0.008336872
415,0.03302804,0.007541402
416,0.033128473,0.007398686
417,0.033247303,0.007714532
418,0.032978967,0.008114159
419,0.032859126,0.008687585
420,0.032761162,0.00841379
421,0.032695687,0.00750951
422,0.032930526,0.007804883
423,0.03261239,0.008125228
424,0.032166492,0.008288206
425,0.032516466,0.008445618
426,0.032678189,0.008248562
427,0.032658653,0.0081942
428,0.032609887,0.0086188
429,0.03245686,0.008624945
430,0.03239177,0.008464044
431,0.03246594,0.008386159
432,0.032468057,0.008647117
433,0.032621462,0.008564371
434,0.032698499,0.008259618
435,0.032176433,0.008362653
436,0.032057053,0.008254406
437,0.032220841,0.008154306
438,0.032320881,0.008386475
439,0.032770099,0.008526886
440,0.032704496,0.008652534
441,0.031902432,0.008796183
442,0.032026141,0.008712427
443,0.032106757,0.008771548
444,0.031972265,0.00908709
445,0.03226415,0.009542612
446,0.03224007,0.009855331
447,0.032013499,0.010058425
448,0.032017883,0.01030886
449,0.032322885,0.010447805
450,0.03246878,0.010728818
451,0.032201076,0.011298728
452,0.032420285,0.011714027
453,0.032465249,0.011854315
454,0.032158456,0.01185388
455,0.032206002,0.012300148
456,0.032158727,0.01273846
457,0.032094911,0.013063281
458,0.032372926,0.013341661
459,0.032472859,0.01353482
460,0.032359634,0.013542966
461,0.032152061,0.013347922
462,0.032051554,0.013486648
463,0.032048794,0.013839747
464,0.032098413,0.014166307
465,0.032131809,0.014058391
466,0.032164074,0.013819112
467,0.032164931,0.013675396
468,0.032039098,0.013829728
469,0.032168323,0.013935078
470,0.032355633,0.013947306
471,0.032224055,0.013938299
472,0.032342998,0.013887532
473,0.032313733,0.013923998
474,0.031875462,0.014110536
475,0.031924606,0.014171293
476,0.03193217,0.014265321
477,0.031739582,0.014450721
478,0.031901648,0.014607055
479,0.032114517,0.014663155
480,0.032194673,0.014713031
481,0.031998868,0.014970415
482,0.031918171,0.015140466
483,0.031967586,0.01522602
484,0.032034408,0.015320746
485,0.031905368,0.015539126
486,0.031838253,0.015780142
487,0.031975576,0.016004397
488,0.032047205,0.016433827
489,0.032049459,0.016740046
490,0.032026701,0.016912143
491,0.032087323,0.017310471
492,0.0322117,0.017794586
493,0.032355606,0.018374984
494,0.032451582,0.019097421
495,0.032379856,0.019733094
496,0.032379005,0.020417708
497,0.032637311,0.021306832
498,0.032811535,0.022305038
499,0.032879482,0.023376422
500,0.032907955,0.024539014
501,0.033119299,0.025907243
502,0.033293904,0.027491251
503,0.033424215,0.0292156
504,0.033661152,0.030919196
505,0.034083214,0.032663409
506,0.034505755,0.034687252
507,0.034714347,0.037233357
508,0.035173525,0.039948181
509,0.035816282,0.042705687
510,0.036503096,0.045517652
511,0.037107481,0.048703318
512,0.037782759,0.052219901
513,0.038643142,0.055957205
514,0.039767669,0.059681592
515,0.041010164,0.063639152
516,0.042358475,0.067842491
517,0.043869793,0.0721871
518,0.045399518,0.076632486
519,0.047048026,0.081218002
520,0.048927247,0.085957184
521,0.050811932,0.090545244
522,0.052766285,0.09504954
523,0.054810914,0.099522262
524,0.056759956,0.103885276
525,0.058802894,0.10811003
526,0.060924539,0.112128483
527,0.062882547,0.11581702
