Wavelength,Reflectance,Transmittance
400,0.035356307,0.001994093
401,0.035526339,0.002245237
402,0.03473866,0.002078893
403,0.035267279,0.002141285
404,0.03607631,0.002138918
405,0.035621793,0.001740459
406,0.035494924,0.00235637
407,0.03496486,0.00250669
408,0.033854958,0.001589669
409,0.033750651,0.001656434
410,0.034236107,0.001676249
411,0.034781636,0.001551407
412,0.03464403,0.002049178
413,0.034969311,0.002076103
414,0.035531756,0.002037998
415,0.035672198,0.002658369
416,0.035080508,0.00270321
417,0.034549631,0.002573201
418,0.034576908,0.002705312
419,0.034354343,0.002997429
420,0.034332288,0.003446413
421,0.034681683,0.003900759
422,0.035367907,0.003983573
423,0.034948579,0.004028939
424,0.034170591,0.004139369
425,0.034678932,0.004331832
426,0.035134605,0.004638405
427,0.035235166,0.00493338
428,0.034979132,0.005101829
429,0.034672183,0.005128104
430,0.034830384,0.005396949
431,0.03539901,0.005877479
432,0.035301757,0.005768655
433,0.035245616,0.005605122
434,0.035243419,0.005687099
435,0.034908556,0.006214439
436,0.034940313,0.006531393
437,0.035048119,0.006689414
438,0.034840907,0.006888191
439,0.035161044,0.006892229
440,0.035391526,0.007142579
441,0.035196523,0.007777612
442,0.035259214,0.008084315
443,0.03534008,0.008169391
444,0.035361437,0.008284398
445,0.035396404,0.008914918
446,0.035362483,0.009258344
447,0.0352955,0.009387267
448,0.035276003,0.009688879
449,0.035291874,0.00995528
450,0.03543014,0.010285662
451,0.03565995,0.010733248
452,0.035424201,0.01101751
453,0.035246747,0.011228838
454,0.035334162,0.011472738
455,0.035336212,0.011894327
456,0.035405474,0.012272601
457,0.035513414,0.012636092
458,0.035541328,0.013151485
459,0.035810429,0.013385961
460,0.035862088,0.013450967
461,0.035290672,0.013574662
462,0.035285647,0.013707724
463,0.035482118,0.013937075
464,0.035552426,0.014273951
465,0.035622113,0.014550218
466,0.035615062,0.014680837
467,0.035551102,0.01468653
468,0.035550469,0.014701509
469,0.035580152,0.014751718
470,0.035595708,0.014926886
471,0.035552636,0.015282993
472,0.035563617,0.015247442
473,0.035551507,0.015112335
474,0.035465563,0.015210269
475,0.035475293,0.015434614
476,0.035542998,0.015695226
477,0.035592451,0.015919338
478,0.035467325,0.016059122
479,0.035342805,0.016064488
480,0.035309636,0.016036574
481,0.035414478,0.016186164
482,0.035259493,0.016342838
483,0.035112976,0.016444819
484,0.035316577,0.016499913
485,0.03535197,0.016791264
486,0.035349471,0.017180713
487,0.035411714,0.017502362
488,0.035365506,0.01758069
489,0.035415146,0.017821745
490,0.035562099,0.01833188
491,0.035561174,0.018899274
492,0.03562805,0.019337354
493,0.035748944,0.019755247
494,0.035823189,0.020399571
495,0.035970925,0.021102934
496,0.036081573,0.021872076
497,0.036071993,0.02271405
498,0.036176577,0.023469339
499,0.036332562,0.024345754
500,0.036507201,0.025419536
501,0.03675859,0.026467132
502,0.037105243,0.027626626
503,0.037469361,0.028907253
504,0.037681061,0.030220275
505,0.037956788,0.031828448
506,0.038272515,0.033560121
507,0.038562058,0.035147554
508,0.039129967,0.036909776
509,0.039785255,0.038854892
510,0.040371893,0.040961682
511,0.041077963,0.043284612
512,0.041883783,0.045723698
513,0.042793506,0.04826535
514,0.043870983,0.051024878
515,0.044970611,0.054017905
516,0.046125315,0.057149043
517,0.047470578,0.060249363
518,0.048889273,0.063461996
519,0.050433094,0.06680766
520,0.052173083,0.0702629
521,0.054048241,0.073747127
522,0.055962498,0.077235778
523,0.05786917,0.080706634
524,0.059859229,0.084130656
525,0.061864082,0.087440829
526,0.063838291,0.090647434
527,0.0657634,0.093886462
528,0.067594458,0.096791084
529,0.069371993,0.099428802
530,0.071166183,0.102058386
531,0.072727179,0.104509894
532,0.074130834,0.106733392
533,0.075473106,0.108724849
534,0.076573365,0.110586375
535,0.077676381,0.11228946
536,0.078837475,0.113804847
537,0.079651937,0.115109959
538,0.080337873,0.116289504
539,0.080985301,0.117364162
540,0.081594689,0.118293387
541,0.082144678,0.119212459
542,0.082615843,0.120106065
543,0.083002317,0.120904476
544,0.083436882,0.121617778
545,0.08386847,0.122321244
546,0.084247411,0.12306714
547,0.084660928,0.123774112
548,0.085077528,0.124462716
549,0.085458635,0.125131915
550,0.085757548,0.125739166
551,0.08597073,0.126263341
552,0.086101077,0.126691892
553,0.086159679,0.127020899
554,0.086155761,0.127143478
555,0.086028224,0.127085885
556,0.08570758,0.126905908
557,0.08527101,0.126509636
558,0.084717962,0.125910983
559,0.08403846,0.125149842
560,0.083223746,0.124298267
561,0.082283825,0.123305759
562,0.081251517,0.122182252
563,0.080205068,0.121044364
564,0.079095055,0.119821717
565,0.077921918,0.118479119
566,0.076709975,0.116994219
567,0.07540917,0.115450555
568,0.074031224,0.113790417
569,0.072608318,0.111950148
570,0.071167527,0.110108419
571,0.069700906,0.108167465
572,0.068224349,0.106110835
573,0.066825665,0.104232029
574,0.065502707,0.102374424
575,0.064247372,0.100510913
576,0.063035292,0.098766131
577,0.061904272,0.097146859
578,0.060860146,0.095640745
579,0.059893837,0.094213444
580,0.059006297,0.092819308
581,0.058180493,0.091512809
582,0.057399982,0.090338417
583,0.056679045,0.089153178
584,0.055984335,0.088037097
585,0.055318996,0.087035013
586,0.054785788,0.086070512
587,0.054308211,0.085198721
588,0.053834237,0.084417412
