Wavelength,Reflectance,Transmittance
400,0.0451,0.0216
401,0.0455,0.0216
402,0.0456,0.022
403,0.0455,0.0224
404,0.0457,0.0222
405,0.0455,0.0224
406,0.0456,0.0224
407,0.0455,0.0224
408,0.0456,0.0225
409,0.0457,0.0224
410,0.0457,0.0224
411,0.0457,0.0224
412,0.0459,0.0222
413,0.0458,0.0223
414,0.0458,0.0226
415,0.0459,0.0225
416,0.0457,0.0223
417,0.0459,0.0225
418,0.0456,0.0225
419,0.0457,0.0225
420,0.0459,0.0226
421,0.0457,0.0225
422,0.0458,0.0224
423,0.0457,0.0225
424,0.0458,0.0225
425,0.0458,0.0223
426,0.0456,0.0223
427,0.0457,0.0219
428,0.0458,0.0217
429,0.0459,0.0218
430,0.0458,0.0214
431,0.0458,0.0214
432,0.046,0.0211
433,0.0458,0.0212
434,0.0459,0.0211
435,0.0458,0.021
436,0.0458,0.0211
437,0.0459,0.0212
438,0.0458,0.0214
439,0.0458,0.0212
440,0.0459,0.0217
441,0.0459,0.022
442,0.0458,0.0224
443,0.0457,0.0227
444,0.0458,0.0233
445,0.0459,0.0238
446,0.0457,0.0244
447,0.0458,0.0251
448,0.0459,0.0258
449,0.0459,0.0266
450,0.0458,0.0272
451,0.0457,0.0278
452,0.0455,0.0285
453,0.0457,0.0291
454,0.0457,0.0295
455,0.0457,0.0297
456,0.0457,0.03
457,0.0458,0.0302
458,0.0457,0.0303
459,0.0456,0.0306
460,0.0457,0.0305
461,0.0457,0.0306
462,0.0457,0.0305
463,0.0457,0.0306
464,0.0456,0.0305
465,0.0455,0.0306
466,0.0456,0.0306
467,0.0457,0.0306
468,0.0457,0.0307
469,0.0456,0.0306
470,0.0454,0.0305
471,0.0456,0.0305
472,0.0456,0.0307
473,0.0456,0.0308
474,0.0457,0.0311
475,0.0457,0.0312
476,0.0456,0.0315
477,0.0458,0.0316
478,0.0458,0.0319
479,0.0458,0.032
480,0.0458,0.0324
481,0.0457,0.0323
482,0.0456,0.0326
483,0.0457,0.0326
484,0.0458,0.0329
485,0.0457,0.0331
486,0.0457,0.0332
487,0.0456,0.0335
488,0.0457,0.0341
489,0.0457,0.0346
490,0.0456,0.0349
491,0.0457,0.0356
492,0.0458,0.0365
493,0.0458,0.0372
494,0.0458,0.0381
495,0.0459,0.0391
496,0.046,0.0404
497,0.0459,0.0417
498,0.0462,0.043
499,0.0463,0.0446
500,0.0464,0.0463
501,0.0465,0.0481
502,0.0469,0.0501
503,0.0472,0.0524
504,0.0475,0.0548
505,0.0479,0.0576
506,0.048,0.0604
507,0.0486,0.0635
508,0.0493,0.0671
509,0.0499,0.0705
510,0.0507,0.0744
511,0.0517,0.0785
512,0.0525,0.0829
513,0.0538,0.0874
514,0.055,0.092
515,0.0565,0.0972
516,0.0582,0.1022
517,0.0599,0.1078
518,0.0617,0.1131
519,0.0638,0.1183
520,0.0656,0.1239
521,0.0678,0.1294
522,0.0697,0.1341
523,0.0722,0.1393
524,0.0742,0.1439
525,0.0764,0.1485
526,0.0782,0.1526
527,0.0802,0.1562
528,0.0818,0.1598
529,0.0833,0.1631
530,0.0846,0.1658
531,0.086,0.1682
532,0.0871,0.1704
533,0.088,0.1725
534,0.0888,0.174
535,0.0894,0.1755
536,0.0898,0.1767
537,0.0905,0.1777
538,0.0909,0.1788
