Wavelength,Reflectance,Transmittance
400,0.030399189,0.002980414
401,0.029575874,0.00270078
402,0.029976461,0.002239104
403,0.029823495,0.001936927
404,0.029676333,0.00199848
405,0.030365909,0.002462299
406,0.030521297,0.002754893
407,0.030402874,0.002589834
408,0.030144131,0.002081736
409,0.028910809,0.002142605
410,0.028836886,0.002500168
411,0.029837464,0.002928041
412,0.029787937,0.003201917
413,0.029474512,0.003549668
414,0.02944538,0.003838858
415,0.030048217,0.003863968
416,0.029816749,0.003748065
417,0.029482427,0.004037548
418,0.029599118,0.004879696
419,0.029246673,0.005204774
420,0.029239999,0.004994133
421,0.029593668,0.004656209
422,0.029268751,0.005202409
423,0.028994888,0.00590729
424,0.028915547,0.006374857
425,0.028952063,0.006358434
426,0.029047958,0.006640599
427,0.028886007,0.007041022
428,0.0283892,0.007260166
429,0.028649379,0.007279709
430,0.028977211,0.007303972
431,0.028991108,0.007435691
432,0.028915208,0.007595431
433,0.028856507,0.007885357
434,0.028881261,0.00819486
435,0.029023456,0.008271274
436,0.029084556,0.0083525
437,0.028964636,0.008499088
438,0.028689168,0.008711167
439,0.028871186,0.008896697
440,0.029168862,0.009124895
441,0.029262697,0.009385471
442,0.02901996,0.009402282
443,0.029155357,0.009417255
444,0.029603268,0.009613474
445,0.029451311,0.010158558
446,0.029374415,0.010744136
447,0.029349361,0.011138393
448,0.029147059,0.011198279
449,0.029172711,0.011561279
450,0.029324541,0.012005597
451,0.029416404,0.012275021
452,0.029237064,0.012560557
453,0.02926071,0.012874492
454,0.029519352,0.01318616
455,0.029195795,0.01338547
456,0.029268507,0.01361899
457,0.029644358,0.013848979
458,0.02960571,0.013933276
459,0.029352071,0.014210696
460,0.02927069,0.014426822
461,0.029643724,0.014314074
462,0.029707551,0.01455407
463,0.029576561,0.014808049
464,0.029434128,0.014803808
465,0.029441275,0.014591049
466,0.029395889,0.014604194
467,0.029308159,0.01484288
468,0.029413346,0.014844116
469,0.029472017,0.014901033
470,0.029423852,0.015063232
471,0.029292362,0.015273594
472,0.029286343,0.015196378
473,0.029329686,0.015129822
474,0.029331403,0.015323728
475,0.029355353,0.015398411
476,0.02935808,0.015550559
477,0.029317577,0.015797518
478,0.029206897,0.015801161
479,0.029425864,0.015788124
480,0.029710223,0.015876818
481,0.029351668,0.016137409
482,0.029110976,0.016116078
483,0.029055308,0.016114302
484,0.029080568,0.016505559
485,0.02927888,0.016608381
486,0.029357739,0.01660491
487,0.029197091,0.01669145
488,0.029211053,0.016866069
489,0.029236133,0.017044162
490,0.029226979,0.017234469
491,0.029261472,0.01756254
492,0.029387977,0.017920763
493,0.029566471,0.018266955
494,0.029703252,0.018587128
495,0.02963307,0.018933674
496,0.029532722,0.019365513
497,0.02959372,0.019912483
498,0.029754299,0.020486487
499,0.029901097,0.02109942
500,0.029984132,0.021754298
501,0.030064124,0.022418024
502,0.030189351,0.023112154
503,0.030378844,0.023890321
504,0.030628552,0.024842162
505,0.030907704,0.025805174
506,0.031158754,0.026844381
507,0.031334732,0.02807473
508,0.031554609,0.02932598
509,0.031857583,0.03065238
510,0.032249412,0.032128102
511,0.032673256,0.033804287
512,0.033163328,0.035557681
513,0.033731019,0.037366286
514,0.034342422,0.039358865
515,0.035078315,0.041522108
516,0.035930304,0.043833384
517,0.036838804,0.046255325
518,0.03773714,0.048717211
519,0.038738334,0.051300436
520,0.039956893,0.054081158
521,0.041193959,0.056808509
522,0.04246113,0.059593942
523,0.043778271,0.062474435
524,0.045121932,0.065185783
525,0.046535933,0.067927483
526,0.047968957,0.07068401
527,0.049241296,0.073189734
528,0.050540958,0.075507932
529,0.051850639,0.077695043
530,0.053064625,0.079813237
531,0.054135477,0.081690529
532,0.055056274,0.083387046
533,0.055874216,0.08498594
534,0.056851412,0.086440118
535,0.057691986,0.08768547
536,0.058261635,0.088723181
537,0.058843357,0.089686485
538,0.059212989,0.090581387
539,0.059434528,0.091369122
540,0.059840927,0.091951864
541,0.060191898,0.092485515
542,0.060457982,0.093014585
543,0.060680244,0.093538946
544,0.060888604,0.094008435
545,0.061078984,0.094474336
546,0.061258912,0.094979993
547,0.061517702,0.095474409
548,0.061766855,0.095941982
549,0.061959039,0.096376646
550,0.062124987,0.096789593
551,0.062264971,0.09714666
552,0.062379791,0.09742815
553,0.062470656,0.097622788
554,0.06240693,0.097730122
555,0.06221992,0.097661504
556,0.061980526,0.097326407
557,0.061594022,0.096879279
558,0.061088104,0.096310249
559,0.060499433,0.095595085
560,0.059831621,0.094740179
561,0.059133289,0.093738481
562,0.058405272,0.092620923
563,0.057572173,0.09149047
564,0.056672896,0.09027802
565,0.055737221,0.088943874
566,0.054796729,0.087458396
567,0.053755346,0.085969652
568,0.052675873,0.084398864
569,0.051641959,0.082642732
570,0.050540456,0.080887824
571,0.049433557,0.079138084
572,0.048381678,0.07739276
573,0.04738829,0.075694605
574,0.046450184,0.074019943
575,0.045557623,0.072402604
576,0.044684885,0.070955486
577,0.043880523,0.069594605
578,0.043183684,0.068277775
579,0.042621807,0.066980422
580,0.042010862,0.065820144
581,0.041386488,0.064768999
582,0.040828568,0.06377386
583,0.040350222,0.062867466
584,0.039928084,0.062015832
585,0.039533665,0.061189721
586,0.039129894,0.060373531
587,0.0387652,0.059630811
588,0.038441208,0.058975105
589,0.038111451,0.05837564
590,0.037874866,0.057804366
591,0.037698468,0.057292633
592,0.037495432,0.05688877
593,0.037275069,0.056494564
594,0.037086204,0.056103473
595,0.036967126,0.055738662
596,0.036873151,0.055467127
597,0.036777475,0.055247497
598,0.036673231,0.055040795
599,0.036592324,0.054828447
600,0.036506717,0.054559941
601,0.036403723,0.054245697
602,0.03628084,0.053954674
603,0.036146184,0.053660945
604,0.035990724,0.0533156
605,0.035795886,0.052867011
606,0.035517991,0.052384584
607,0.03522699,0.051877521
608,0.034980486,0.051337593
609,0.034727189,0.050731902
610,0.034448269,0.050061082
611,0.034147278,0.049360504
612,0.033863324,0.048730131
613,0.033583341,0.048119639
614,0.033311085,0.047520177
615,0.03305971,0.046943518
616,0.032829642,0.04634629
617,0.032633273,0.04577126
618,0.032482984,0.045270384
619,0.032369397,0.044747751
620,0.032282219,0.044279964
621,0.032205251,0.043919026
622,0.032091224,0.043587201
623,0.032062019,0.043313592
624,0.032104796,0.043092362
625,0.032015149,0.042869639
626,0.032011906,0.042652798
627,0.032046673,0.042501066
628,0.031956107,0.042494206
629,0.031894777,0.042489522
630,0.031873299,0.042449052
631,0.031864121,0.042370568
632,0.031803975,0.042305501
633,0.031755749,0.042206364
634,0.031734117,0.042038717
635,0.031629063,0.041814218
636,0.031521318,0.04147434
637,0.031421269,0.04100506
638,0.031279942,0.040426751
639,0.031125178,0.039846712
640,0.030958262,0.039219799
641,0.030774305,0.038450525
642,0.030596753,0.037631342
643,0.030427257,0.036840763
644,0.030266324,0.036108944
645,0.030125512,0.035293758
646,0.030010139,0.034484754
647,0.029909343,0.033740422
648,0.029785092,0.033060015
649,0.029623214,0.032443299
650,0.029480524,0.031900183
651,0.029468716,0.031448097
652,0.029420247,0.031023241
653,0.029355218,0.030640596
654,0.029335514,0.030323568
655,0.02931628,0.029986012
656,0.02928012,0.029596825
657,0.029232569,0.029146336
658,0.029241332,0.028663664
659,0.029229961,0.028113479
660,0.029177683,0.02748199
661,0.029127277,0.026777845
662,0.029095325,0.02603081
663,0.029105489,0.025294669
664,0.029176528,0.02462786
665,0.029204659,0.023884764
666,0.029252667,0.023169414
667,0.029386231,0.02259164
668,0.02951127,0.022022162
669,0.029644284,0.021496908
670,0.02982092,0.02103993
671,0.030111345,0.020642625
672,0.030415294,0.020341155
673,0.030716285,0.020120621
674,0.031056863,0.019928708
675,0.031411546,0.019800879
676,0.03179762,0.019732017
677,0.032237832,0.019705914
678,0.032670647,0.019716509
679,0.033166303,0.019806413
680,0.033752039,0.020010746
681,0.034264152,0.020310727
682,0.03479236,0.020772336
683,0.035349686,0.021433455
684,0.035840496,0.022289219
685,0.036286145,0.0233997
686,0.036682598,0.024786269
687,0.037019878,0.026450348
688,0.037314328,0.028399907
689,0.037603157,0.030718988
690,0.037934165,0.033506663
691,0.038358682,0.036822774
692,0.038950508,0.04072824
693,0.039799208,0.045281995
694,0.041026137,0.05055641
695,0.042677941,0.056545359
696,0.044823152,0.063230596
697,0.047544238,0.070574079
698,0.050872248,0.078520262
699,0.054809518,0.08698591
700,0.05933991,0.095856305
701,0.064463272,0.10497591
702,0.070103645,0.114260928
703,0.076188493,0.123642639
704,0.082697354,0.133074188
705,0.089567476,0.142476686
706,0.096734323,0.151793098
707,0.104126585,0.160981995
708,0.111764221,0.170138872
709,0.119641524,0.179270523
710,0.127745848,0.188347872
711,0.136089507,0.197364311
712,0.144633195,0.206380021
713,0.15334387,0.215445244
714,0.162259058,0.224534905
715,0.171355658,0.233606254
716,0.180609602,0.242643159
717,0.190012021,0.251685733
718,0.199546497,0.260728861
719,0.20918157,0.269750698
720,0.218891038,0.278730059
721,0.22864259,0.287645312
722,0.238393719,0.296463
723,0.248115009,0.305167149
724,0.257756929,0.313759266
725,0.267290785,0.322199994
726,0.276699018,0.330459048
727,0.285954374,0.338511881
728,0.294998582,0.346351759
729,0.303792783,0.353960484
730,0.312304895,0.361302583
731,0.320542852,0.368344348
732,0.328481044,0.375115918
733,0.336091895,0.381656797
734,0.343423272,0.387874278
735,0.350409144,0.39378714
736,0.357008385,0.399410241
737,0.363306466,0.404708032
738,0.369246632,0.409721863
739,0.374803047,0.414457768
740,0.379975772,0.418873197
741,0.384823152,0.422934175
742,0.389352017,0.426702035
743,0.393546341,0.430272952
744,0.39739443,0.433525665
745,0.400934813,0.436483755
746,0.404193781,0.439190301
747,0.407119646,0.441673977
748,0.409786204,0.443878388
749,0.412220269,0.445818701
750,0.414383445,0.447632958
751,0.416332405,0.449241663
752,0.418073114,0.45065454
753,0.419593301,0.451922661
754,0.420989055,0.453045955
755,0.422227096,0.454054234
756,0.423275981,0.454966616
757,0.424233692,0.455730483
758,0.42506011,0.456415939
759,0.425752317,0.457059123
760,0.426380964,0.457635145
761,0.426939283,0.458153132
762,0.42743066,0.458587419
763,0.427858859,0.458898733
764,0.428184352,0.459200565
765,0.428448608,0.459457991
766,0.428690579,0.459622241
767,0.428842497,0.459745451
768,0.428946456,0.459857256
769,0.429029343,0.459970799
770,0.429081713,0.460077273
771,0.429117012,0.460145711
772,0.429125056,0.460181901
773,0.429085973,0.460217516
774,0.429138998,0.460297138
775,0.429185807,0.460373128
776,0.429121754,0.460400536
777,0.429093606,0.460468382
778,0.429097021,0.460546922
779,0.42911592,0.460623913
780,0.429131519,0.460736702
781,0.429123523,0.460838428
782,0.429091834,0.460929664
783,0.429052883,0.461037678
784,0.429059387,0.461121248
785,0.429079546,0.461217933
786,0.429079766,0.461364969
787,0.429127806,0.461506537
788,0.429148483,0.461679577
789,0.4291186,0.461873089
790,0.429114672,0.461969301
791,0.42911907,0.462089341
792,0.429158691,0.462247962
793,0.429272772,0.462405503
794,0.429305823,0.462575856
795,0.429276016,0.462729852
796,0.429244614,0.4628512
797,0.429277874,0.463010296
798,0.429326112,0.46318146
799,0.429364642,0.463343817
800,0.429415901,0.463482584
801,0.429437478,0.463667635
802,0.429448743,0.463865262
803,0.42949764,0.463998894
804,0.429561834,0.464202157
805,0.429642673,0.464391074
806,0.429727492,0.464507819
807,0.429737382,0.464743159
808,0.429755472,0.464928938
809,0.429809322,0.465029903
810,0.429855915,0.465187886
811,0.429877961,0.465381135
812,0.429899271,0.465567057
813,0.429955452,0.465699119
814,0.429996096,0.465860189
815,0.430034894,0.466050219
816,0.430081812,0.466251864
817,0.43011047,0.466437488
818,0.430143023,0.466598437
819,0.430180259,0.4667402
820,0.430203039,0.466883367
821,0.430201777,0.467033057
822,0.430207205,0.467190686
823,0.430250925,0.467353864
824,0.430281224,0.46751652
825,0.430299781,0.467656361
826,0.430311058,0.467779078
827,0.430314264,0.467957358
828,0.430314791,0.4681335
829,0.430315091,0.468281476
830,0.430314954,0.468394414
831,0.430295072,0.468515051
832,0.430285119,0.468614822
833,0.430307864,0.468681756
834,0.430315722,0.468849525
835,0.430295707,0.46901017
836,0.430254596,0.469111188
837,0.430224957,0.469186333
838,0.430205281,0.469256261
839,0.430199821,0.469371209
840,0.430211818,0.469573166
841,0.430231437,0.469706019
842,0.430250534,0.469833574
843,0.430258077,0.469995194
844,0.430229996,0.470067489
845,0.430203285,0.470155897
846,0.430184121,0.470304149
847,0.430153649,0.47050352
848,0.430146174,0.4705876
849,0.430142713,0.470668479
850,0.430117942,0.470869828
851,0.430089289,0.47094371
852,0.430067948,0.471007377
853,0.430053127,0.471119074
854,0.430025326,0.471207499
855,0.429981641,0.471303451
856,0.429959146,0.471389875
857,0.430000955,0.471440437
858,0.429991447,0.47156355
859,0.429945987,0.471657374
860,0.429898703,0.47167748
861,0.429880783,0.47183268
862,0.429856894,0.472009748
863,0.429817309,0.4721205
864,0.429772602,0.472096063
865,0.429707733,0.472151424
866,0.429673285,0.47225815
867,0.429699313,0.472338337
868,0.429650902,0.472401813
869,0.429574953,0.472544231
870,0.429524489,0.472726362
871,0.429558104,0.472690057
872,0.429558276,0.472775873
873,0.429530137,0.472943083
874,0.429518434,0.473018685
875,0.429472008,0.473081283
876,0.429412299,0.473139832
877,0.4293665,0.47320495
878,0.429365458,0.473315137
879,0.42934144,0.473376033
880,0.429272838,0.473405155
881,0.429172368,0.473484132
882,0.429136556,0.473513228
883,0.429121345,0.473588752
