"tag","date","version"
"v1.0",2011-11-03,1.0
"v1.0.1",2011-11-14,1.0.1
"v1.1",2012-05-24,1.1
"v1.2.5",2012-07-22,1.2.5
"v1.2.6",2012-08-20,1.2.6
"v1.3",2013-04-21,1.3
"v1.3.2",2013-07-17,1.3.2
"v1.3.4",2014-03-25,1.3.4
"v1.3.5",2014-05-16,1.3.5
"v1.3.6",2014-06-28,1.3.6
"1.3.7",2014-09-09,1.3.7
"v1.3.6.1",2014-09-27,1.3.6.1
"v1.4.0",2014-12-10,1.4.0
"v1.4.1",2015-01-27,1.4.1
"v1.4.2",2015-05-08,1.4.2
"v.1.4.3",2015-07-22,1.4.3
"v1.4.4",2015-11-11,1.4.4
"v1.4.5",2016-03-03,1.4.5
"1.4.6",2016-05-06,1.4.6
"1.4.7",2016-07-14,1.4.7
"v1.4.8",2016-08-12,1.4.8
"v1.4.9",2016-12-10,1.4.9
"v1.4.10",2017-03-28,1.4.10
"v1.4.10.1",2017-04-21,1.4.10.1
"v1.5.0",2017-07-13,1.5.0
"v1.5.1",2017-10-06,1.5.1
"v1.5.2",2017-12-08,1.5.2
"v1.5.3",2018-05-17,1.5.3
"v1.6.0",2018-10-02,1.6.0
"v1.7.0",2018-12-10,1.7.0
"v1.7.1",2019-09-20,1.7.1
"v1.7.2",2021-10-08,1.7.2
"v1.8.0",2024-07-12,1.8.0
