mstmip_name,mstmip_units,bety_name
AbvGrndWood,kg C m-2,AbvGrndWood
AutoResp,kg C m-2 s-1,AutoResp
AutoResp,kg C m-2 s-1,R_auto_annual
cal_date_beg,"yr, mon, day, hr, min, sec",
cal_date_end,"yr, mon, day, hr, min, sec",
cal_date_mid,"yr, mon, day, hr, min, sec",
CarbPools,kg C m-2,
CO2air,micromol mol-1,CO2air
CO2air,micromol mol-1,co2atm
dec_date,yr,
dec_date_bnds,yr,
DOC_flux,kg C m-2 s-1,DOC_flux
Evap,kg m-2 s-1,Evap
Fdepth,m,Fdepth
Fire_flux,kg C m-2 s-1,Fire_flux
fPAR,1,fPAR
GPP,kg C m-2 s-1,GPP
GPP,kg C m-2 s-1,GPP_cum
GPP,kg C m-2 s-1,GPP_annual
HeteroResp,kg C m-2 s-1,HeteroResp
HeteroResp,kg C m-2 s-1,R_het_annual
LAI,m2 m-2,LAI
lat,degrees_north,Latitude
lat_bnds,degrees_north,
lon,degrees_east,Longitude
lon_bnds,degrees_east,
LW_albedo,1,LW_albedo
LWdown,W/m2,LWdown
LWdown,W/m2,surface_downwelling_longwave_flux_in_air
Lwnet,W m-2,Lwnet
NEE,kg C m-2 s-1,NEE
NEE,kg C m-2 s-1,FC
NPP,kg C m-2 s-1,NPP
NPP,kg C m-2 s-1,NPP_2_C
NPP,kg C m-2 s-1,NPP_1_C
poolname,1,
Psurf,Pa,Psurf
Psurf,Pa,air_pressure
Qair,kg kg-1,Qair
Qair,kg kg-1,specific_humidity
Qh,W m-2,Qh
Qh,W m-2,H
Qle,W m-2,Qle
Qle,W m-2,LE
Qs,kg m-2 s-1,Qs
Qsb,kg m-2 s-1,Qsb
Rainf,kg m-2 s-1,Rainf
Rainf,kg m-2 s-1,precipitation_flux
SnowDen,kg m-3,SnowDen
SnowDepth,m,SnowDepth
SoilMoist,kg m-2,SoilMoist
SoilMoistFrac,1,SoilMoistFrac
SoilMoistFrac,1,soilM
SoilTemp,K,SoilTemp
SoilTemp,K,soilT
SoilWet,1,SoilWet
SW_albedo,1,SW_albedo
SWdown,W/m^2,surface_downwelling_shortwave_flux_in_air
SWdown,W/m^2,solar_radiation
SWE,kg m-2,SWE
SWnet,W m-2,SWnet
Tair,K,Tair
Tair,K,air_tempurature
Tair,K,airT
Tcan,K,Tcan
Tcan,K,leafT
Tdepth,m,Tdepth
time,days since 1700-01-01 00:00:00 UTC,
time_bnds,days since 1700-01-01 00:00:00 UTC,
TotalResp,kg C m-2 s-1,TotalResp
TotalResp,kg C m-2 s-1,Reco_cum
TotalResp,kg C m-2 s-1,Reco_annual
TotLivBiom,kg C m-2,TotLivBiom
TotLivBiom,kg C m-2,Biomass_total
TotSoilCarb,kg C m-2,TotSoilCarb
TotSoilCarb,kg C m-2,SOC
TVeg,kg m-2 s-1,TVeg
TVeg,kg m-2 s-1,Transpiration
Wind,m s-1,Wind
Wind,m s-1,wind_speed
z_bottom,m,
z_node,m,
z_top,m,
