Species,Family,Authority,Growth Form,Exotic,
Abarema adenophora,Fabaceae-mimosoideae,(Ducke) Barneby & J.W. Grimes,>10 cm dbh,,
Abarema auriculata,Fabaceae-mimosoideae,(Benth.) Benth.Barneby & J.W. Grimes,>10 cm dbh,,
Abarema barbouriana,Fabaceae-mimosoideae,(Standl.) Barneby & J.W. Grimes,T,,
Abarema claviflora,Fabaceae-mimosoideae,(Spruce ex Benth.) Kleinhoonte,>10 cm dbh,,
Abarema cochleata,Fabaceae-mimosoideae,(Willd.) Barneby & J.W.Grimes,>10 cm dbh,,
Abarema curvicarpa,Fabaceae-mimosoideae,(H.S. Irwin) Barneby & J.W. Grimes,T,,
Abarema floribunda,Fabaceae-mimosoideae,(Spruce ex Benth.) Barneby & J.W. Grimes,>10 cm dbh,,
Abarema gallorum,Fabaceae-mimosoideae,Barneby & J.W. Grimes,,,
Abarema ganymedea,Fabaceae-mimosoideae,Barneby & J.W. Grimes,T,,
Abarema jupunba,Fabaceae-mimosoideae,(Willd.) Britton & Killip,T,,
Abarema killipii,Fabaceae-mimosoideae,(Britton & Rose ex Britton & Killip) Barneby & J.W,T,,
Abarema laeta,Fabaceae-mimosoideae,(Benth.) Barneby & J.W. Grimes,U,,
Abarema leucophylla,Fabaceae-mimosoideae,(Spruce ex Benth.) Spruce ex Benth.Barneby & J.W.,>10 cm dbh,,
Abarema macradenia,Fabaceae-mimosoideae,(Pittier) Barneby & J.W. Grimes,T,,
Abarema mataybifolia,Fabaceae-mimosoideae,(Sandwith) Barneby & J.W. Grimes,>10 cm dbh,,
Abarema microcalyx,Fabaceae-mimosoideae,(Benth.) Barneby & J.W. Grimes,>10 cm dbh,,
Abarema piresii,Fabaceae-mimosoideae,Barneby & J.W. Grimes,>10 cm dbh,,
Abarema racemiflora,Fabaceae-mimosoideae,(Donn. Sm.) Donn. Sm.Barneby & J.W. Grimes,T,,
Abatia canescens,Salicaceae,Sleumer,S,,
Abatia parviflora,Salicaceae,Ruiz Lopez & Pavon,"T,S",,
Abatia spicata,Salicaceae,(Turcz.) Sleumer,S,,
Abatia stellata,Salicaceae,Lillo,S,,
Abelmoschus esculentus,Malvaceae,(L.) Moench,S,,
Abelmoschus manihot,Malvaceae,(L.) Medik.,S,,
Abelmoschus moschatus,Malvaceae,Medik.,U,*,
Abuta aristeguietae,Menispermaceae,Krukoff & Barneby,V,,
Abuta dwyerana,Menispermaceae,Krukoff & Barneby,V,,
Abuta fluminum,Menispermaceae,Krukoff & Barneby,V,,
Abuta grandifolia,Menispermaceae,(Mart.) Sandwith,S,,
Abuta grisebachii,Menispermaceae,Triana & Planch.,V,,
Abuta macrocarpa,Menispermaceae,Moldenke,V,,
Abuta mycetandra,Menispermaceae,Krukoff & Barneby,V,,
Abuta obovata,Menispermaceae,Diels,V,,
Abuta pahnii,Menispermaceae,(Mart.) Krukoff & Barneby,V,,
Abuta panamensis,Menispermaceae,(Standl.) Krukoff & Barneby,V,,
Abuta racemosa,Menispermaceae,(Thunb.) Triana & Planch,V,,
Abuta rufescens,Menispermaceae,Aubl.,V,,
Abuta sandwithiana,Menispermaceae,Krukoff & Barneby,,,
Abuta solimoesensis,Menispermaceae,Krukoff & Barneby,V,,
Abuta soukupii,Menispermaceae,Moldenke,V,,
Abuta splendida,Menispermaceae,Krukoff & Moldenke,V,,
Abuta velutina,Menispermaceae,Gleason,"V,T",,
Abutilon arequipense,Malvaceae,Ulbr.,S,,
Abutilon aristulosum,Malvaceae,K. Schum.,S,,
Abutilon depauperatum,Malvaceae,(Hook. f.) Andersson,S,,
Abutilon dianthum,Malvaceae,C. Presl,U,,
Abutilon giganteum,Malvaceae,(Jacq.) Sweet,S,,
Abutilon grandifolium,Malvaceae,(Willd.) Sweet,S,,
Abutilon hirtum,Malvaceae,(Lam.) Sweet,S,,
Abutilon ibarrense,Malvaceae,Kunth,"U,S",,
Abutilon mollissimum,Malvaceae,(Cav.) Sweet,S,,
Abutilon multiflorum,Malvaceae,R. E. Fries,S,,
Abutilon myrianthum,Malvaceae,(Planch. & Linden) Krapov.,T,,
Abutilon nigropunctulatum,Malvaceae,Ulbr.,S,,
Abutilon pedunculare,Malvaceae,Kunth,S,,
Abutilon peruvianum,Malvaceae,(Lam.) Kearney,"T,S",,
Abutilon piurense,Malvaceae,Ulbr.,S,,
Abutilon pubistamineum,Malvaceae,Ulbr.,S,,
Abutilon purpusii,Malvaceae,Standl.,"S,T",,
Abutilon ramiflorum,Malvaceae,St. Hilaire,S,,
Abutilon reflexum,Malvaceae,(Lam.) Sweet,S,,
Abutilon striatum,Malvaceae,Dickson ex Lindley,S,,
Abutilon sylvaticum,Malvaceae,(Cav.) K. Schum.,S,,
Abutilon tulla,Malvaceae,(Ulbr.) Krapov.,S,,
Abutilon umbellatum,Malvaceae,(L.) Sweet,S,,
Abutilon vexillarium,Malvaceae,C. J. Morren,S,,
Abutilon virgatum,Malvaceae,(Cav.) Sweet,S,,
Acacia alemquerensis,Fabaceae-mimosoideae,Huber,,,
Acacia altiscandens,Fabaceae-mimosoideae,Ducke,V,,
Acacia anegadensis,Fabaceae-mimosoideae,Britton,,,
Acacia angustissima,Fabaceae-mimosoideae,(Mill.) Kuntze,"S,T",,
Acacia aroma,Fabaceae-mimosoideae,Gillies ex Hook. & Arn.,T,,
Acacia auriculiformis,Fabaceae-mimosoideae,A. Cunn. ex Benth.,T,,
Acacia collinsii,Fabaceae-mimosoideae,Saff.,"S,T",,
Acacia cookii,Fabaceae-mimosoideae,Saff.,"S,T",,
Acacia cornigera,Fabaceae-mimosoideae,(L.) Willd.,T,,
Acacia farnesiana,Fabaceae-mimosoideae,(L.) Willd.,"S,T",,
Acacia hayesii,Fabaceae-mimosoideae,Benth.,"U,V",,
Acacia huarango,Fabaceae-mimosoideae,Ruiz ex J.F. Macbr.,"T,S",,
Acacia huberi,Fabaceae-mimosoideae,Ducke,,,
Acacia insulae-iacobi,Fabaceae-mimosoideae,Riley,T,,
Acacia klugii,Fabaceae-mimosoideae,Standl. ex J.F. Macbr.,"S,V",,
Acacia kuhlmannii,Fabaceae-mimosoideae,Ducke,V,,
Acacia kunthii,Fabaceae-mimosoideae,,,,
Acacia loretensis,Fabaceae-mimosoideae,J. F. Macbr.,,,
Acacia macbridei,Fabaceae-mimosoideae,Britton & Rose ex J.F. Macbr.,"V,T",,
Acacia macracantha,Fabaceae-mimosoideae,Humb. & Bonpl. ex Willd.,T,,
Acacia mangium,Fabaceae-mimosoideae,Willd.,M,*,
Acacia mayana,Fabaceae-mimosoideae,Lundell,T,,
Acacia melanoceras,Fabaceae-mimosoideae,Beurl.,U,,
Acacia melanoxylon,Fabaceae-mimosoideae,R. Br.,S,,
Acacia muricata,Fabaceae-mimosoideae,(L.) Willd.,,,
Acacia nilotica,Fabaceae-mimosoideae,(L.) L.Willd. ex Del.,,,
Acacia paniculata,Fabaceae-mimosoideae,Willd.,,,
Acacia paraensis,Fabaceae-mimosoideae,Ducke,V,,
Acacia pennatula,Fabaceae-mimosoideae,(Schldl. & Cham.) Benth.,S,,
Acacia polyacantha,Fabaceae-mimosoideae,Willd.,,,
Acacia polyphylla,Fabaceae-mimosoideae,DC.,"T,>10 cm dbh",,
Acacia riparia,Fabaceae-mimosoideae,Kunth,"S,T",,
Acacia rorudiana,Fabaceae-mimosoideae,Christoph.,T,,
Acacia tenuifolia,Fabaceae-mimosoideae,(L.) Willd.,>10 cm dbh,,
Acacia tortuosa,Fabaceae-mimosoideae,(L.) Willd.,,,
Acacia tubulifera,Fabaceae-mimosoideae,Benth.,T,,
Acacia usumacintensis,Fabaceae-mimosoideae,Lundell,T,,
Acacia visco,Fabaceae-mimosoideae,Lorentz ex Griseb.,T,,
Acacia weberbaueri,Fabaceae-mimosoideae,Harms,"V,S,T",,
Acalypha amentacea,Euphorbiaceae,Roxb.,S,,
Acalypha andina,Euphorbiaceae,M?ll. Arg.,S,,
Acalypha argomuelleri,Euphorbiaceae,Briq.,S,,
Acalypha aronioides,Euphorbiaceae,Pax & K. Hoffm. in Engl.,S,,
Acalypha arvensis,Euphorbiaceae,Poepp.,T,,
Acalypha baurii,Euphorbiaceae,B. Robinson & Greenman,S,,
Acalypha benensis,Euphorbiaceae,Britton ex Rusby,,,
Acalypha bullata,Euphorbiaceae,Mu|2ll. Arg.,S,,
Acalypha contermina,Euphorbiaceae,Mu|2ll. Arg.,S,,
Acalypha cuneata,Euphorbiaceae,Poepp. & Endl.,"S,T,T",,
Acalypha cuspidata,Euphorbiaceae,Jacq.,S,,
Acalypha dictyoneura,Euphorbiaceae,M?ll. Arg.,S,,
Acalypha diversifolia,Euphorbiaceae,Jacq.,S,,
Acalypha ecuadorica,Euphorbiaceae,Pax & K. Hoffm. in Engl.,S,,
Acalypha eggersii,Euphorbiaceae,Pax & K. Hoffm.,S,,
Acalypha fulva,Euphorbiaceae,I.M. Johnst.,S,,
Acalypha hispida,Euphorbiaceae,,,*,
Acalypha indica,Euphorbiaceae,L.,T,,
Acalypha infesta,Euphorbiaceae,,S,,
Acalypha lanceolata,Euphorbiaceae,Willd.,T,,
Acalypha macbridei,Euphorbiaceae,I. M. Johnston,S,,
Acalypha macrodonta,Euphorbiaceae,M?ll. Arg.,S,,
Acalypha macrostachya,Euphorbiaceae,Jacq.,U,,
Acalypha mapirensis,Euphorbiaceae,Pax,,,
Acalypha padifolia,Euphorbiaceae,Kunth,"T,S,V",,
Acalypha parvula,Euphorbiaceae,Hook. f.,S,,
Acalypha peruviana,Euphorbiaceae,Mu|2ll. Arg.,"T,S",,
Acalypha platyphylla,Euphorbiaceae,M?ll. Arg.,S,,
Acalypha poiretii,Euphorbiaceae,Spreng.,T,,
Acalypha ruiziana,Euphorbiaceae,M?ll. Arg.,S,,
Acalypha salicifolia,Euphorbiaceae,M?ll. Arg.,U,,
Acalypha samydifolia,Euphorbiaceae,Poepp.,S,,
Acalypha scandens,Euphorbiaceae,Benth.,T,,
Acalypha schimpffii,Euphorbiaceae,Diels,S,,
Acalypha setosa,Euphorbiaceae,A. Rich. in Sagra,S,,
Acalypha stachyura,Euphorbiaceae,Pax,T,,
Acalypha stenoloba,Euphorbiaceae,M?ll. Arg.,"S,T",,
Acalypha stricta,Euphorbiaceae,Poepp. & Endl.,S,,
Acalypha subandina,Euphorbiaceae,Ule,S,,
Acalypha subbullata,Euphorbiaceae,Pax & K. Hoffm. in Engl.,S,,
Acalypha tenuipes,Euphorbiaceae,Pax & K. Hoffm. in Engl.,S,,
Acalypha tunguraguae,Euphorbiaceae,Pax & Hoffm.,S,,
Acalypha villosa,Euphorbiaceae,Jacq.,"S,T",,
Acalypha wigginsii,Euphorbiaceae,Webster,S,,
Acanthocereus tetragonus,Cactaceae,(L.) Hummelinck,,,
Acanthosyris annonagustata,Santalaceae,C. Ulloa & P. J?rg.,T,,
Acanthosyris glabrata,Santalaceae,(Stapf) H.U. Stauffer,T,,
Acca lanuginosa,Myrtaceae,(Ruiz & Pav. ex G. Don) McVaugh,"T,S",,
Acca macrostema,Myrtaceae,(Ruiz & Pav. ex G. Don) McVaugh,S,,
Achatocarpus nigricans,Achatocarpaceae,Triana,"T,S",,
Achatocarpus praecox,Achatocarpaceae,Griseb.,"T,S",,
Achatocarpus pubescens,Achatocarpaceae,C. H. Wright,"T,S",,
Achuaria hirsuta,Rutaceae,Gereau,"S,T",,
Achyrocline celosioides,Asteraceae,(Kunth) DC.,S,,
Acidocroton oligostemon,Euphorbiaceae,Urban,,,
Acidoton nicaraguensis,Euphorbiaceae,(Hemsl.) G.L. Webster,S,,
Acidoton venezolanus,Euphorbiaceae,(Pax & K. Hoffm.) G.L. Webster,U,,
Acioa guianensis,Chrysobalanaceae,Aubl.,T,,
Acioa somnolens,Chrysobalanaceae,Maguire,T,,
Aciotis aequatorialis,Melastomataceae,Cogn. in Mart.,S,,
Aciotis annua,Melastomataceae,(Mart. ex DC.) Triana,S,,
Aciotis aristata,Melastomataceae,Ule,S,,
Aciotis caulialata,Melastomataceae,(Ruiz & Pav. ex E.A. Lo|4pez) Triana,S,,
Aciotis indecora,Melastomataceae,(Bonpl.) Triana,,,
Aciotis polystachya,Melastomataceae,(Bonpl.) Triana,U,,
Aciotis purpurascens,Melastomataceae,(Aubl.) Triana,S,,
Aciotis rubricaulis,Melastomataceae,(Schrank & Mart. ex DC.) Triana,S,,
Aciotis viscida,Melastomataceae,(Benth.) Freire-Fierro,S,,
Acnistus arborescens,Solanaceae,(L.) Schltdl.,"S,T",,
Acosmium nitens,Fabaceae-papilionoideae,(Vog.) Yakovlev,T,,
Acosmium panamense,Fabaceae-papilionoideae,(Benth.) Yakovlev,T,,
Acosmium praeclarum,Fabaceae-papilionoideae,(Sandwith) Yakovlev,>10 cm dbh,,
Acrocomia aculeata,Arecaceae,(Jacq.) Lodd. ex Mart.,U,,
Acrocomia media,Arecaceae,O.F. Cook,,,
Actinostemon amazonicus,Euphorbiaceae,Pax & K. Hoffm. in Engl.,S,,
Actinostemon imbricatus,Euphorbiaceae,Mu|2ll. Arg.,"T,S",,
Adansonia digitata,Malvaceae,L.,,,
Adelia barbinervis,Euphorbiaceae,Schltdl. & Cham.,T,,
Adelia bernardia,Euphorbiaceae,L.,,,
Adelia ricinella,Euphorbiaceae,L.,,,
Adelia triloba,Euphorbiaceae,(M?ll. Arg.) Hemsl.,U,,
Adelobotrys acreana,Melastomataceae,Wurdack,V,,
Adelobotrys adscendens,Melastomataceae,(Sw.) Triana,V,,
Adelobotrys intonsa,Melastomataceae,(Gleason) Wurdack,V,,
Adelobotrys klugii,Melastomataceae,Wurd.,U,,
Adelobotrys macrantha,Melastomataceae,Gleason,"V,T",,
Adelobotrys marginata,Melastomataceae,Brade,V,,
Adelobotrys panamensis,Melastomataceae,Almeda,T,,
Adelobotrys praetexta,Melastomataceae,Pilg.,"S,V",,
Adelobotrys rotundifolia,Melastomataceae,Triana,V,,
Adelobotrys scandens,Melastomataceae,(Aubl.) DC.,V,,
Adelobotrys subsessilis,Melastomataceae,Gleason,V,,
Adelobotrys tessmannii,Melastomataceae,Markgr.,"S,V",,
Adenanthe bicarpellata,Ochnaceae,"Maguire, Steyerm. & Wurdack",T,,
Adenanthe ciliata,Ochnaceae,Sastre,S,,
