Variable.Name,standard_name,Units,Long.name,Category,var_type,dim1,dim2,dim3,dim4,Description,
lon,longitude,degrees_east,Longitude,Dimension,real,NA,NA,NA,NA,longitude at center of each grid cell,
lat,latitude,degrees_north,Latitude,Dimension,real,NA,NA,NA,NA,latitude at center of each grid cell,
depth,depth,m,Depth,Dimension,real,NA,NA,NA,NA,depth to bottom of soil layer,
pft,pft,(-),Plant Functional Type,Dimension,character,NA,NA,NA,NA,Name of each plant function type or species included in the model,
time,time,days since [year]-01-01 00:00:00 UTC,Time middle averaging period,Dimension,double,NA,NA,NA,NA,julian days days since [year]-01-01 00:00:00 UTC for middle of time averaging period Proleptic_Gregorian calendar,
rtsize,rtsize,m,Root Size Class,Dimension,real,NA,NA,NA,NA,Minimum threshold of root size class,
wdsize,wdsize,m,Woody Debris Size Class,Dimension,real,NA,NA,NA,NA,Minimum threshold of woody debris size class,
lon_bnds,NA,degrees_east,Longitude west-east bounds,Deprecated,real,nbnds,lon,NA,NA,"(west boundary of grid cell, east boundary of grid cell)",
lat_bnds,NA,degrees_north,Latitude south-north bounds,Deprecated,real,nbnds,lat,NA,NA,"(south boundary of grid cell, north boundary of grid cell)",
time_bnds,NA,days since 1700-01-01 00:00:00 UTC,Time beginning-end bounds,Deprecated,double,nbnds,time,NA,NA,"(julian days days since 1700-01-01 beginning time ave period, julian days days since 1700-01-01 end time ave period)",
time_bounds,time_bounds,days since [year]-01-01 00:00:00 UTC,history time interval endpoints,Attribute,double,time,hist_interval,NA,NA,"Start and end fractional DOY for each model averaging period (i.e. timepoint), starting from the base ""time"" start date used in the output netCDF file (e.g. days since 2000-01-01 00:00:00). E.g. 1, 1.25; 1.25, 1.5 ",
dec_date,NA,yr,Decimal date middle averaging period,Deprecated,double,time,NA,NA,NA,decimal date in fractional years for middle of time averaging period,
dec_date_bnds,NA,yr,Decimal date beginning-end bounds,Deprecated,double,nbnds,time,NA,NA,"(decimal date beginning time ave period, decimal date end time ave period)",
cal_date_mid,NA,"yr, mon, day, hr, min, sec",Calender date middle averaging period,Deprecated,integer,ncal,time,NA,NA,"calender date middle of time ave period: year, month, day, hour, minute, second for UTC time zone",
cal_date_beg,NA,"yr, mon, day, hr, min, sec",Calender date beginning averaging period,Deprecated,integer,ncal,time,NA,NA,"calender date beginning of time ave period: year, month, day, hour, minute, second for UTC time zone",
cal_date_end,NA,"yr, mon, day, hr, min, sec",Calender date end averaging period,Deprecated,integer,ncal,time,NA,NA,"calender date end of time ave period: year, month, day, hour, minute, second for UTC time zone",
GPP,NA,kg C m-2 s-1,Gross Primary Productivity,Carbon Fluxes,real,lon,lat,time,NA,Rate of photosynthesis (always positive),
NEE,NA,kg C m-2 s-1,Net Ecosystem Exchange,Carbon Fluxes,real,lon,lat,time,NA,"Net Ecosystem Exchange (NEE=HeteroResp+AutoResp-GPP, positive into atmosphere)",
TotalResp,NA,kg C m-2 s-1,Total Respiration,Carbon Fluxes,real,lon,lat,time,NA,"Total respiration (TotalResp=AutoResp+heteroResp, always positive)",
AutoResp,plant_respiration_carbon_flux,kg C m-2 s-1,Autotrophic Respiration,Carbon Fluxes,real,lon,lat,time,NA,Autotrophic respiration rate (always positive),
HeteroResp,heterotrophic_respiration_carbon_flux,kg C m-2 s-1,Heterotrophic Respiration,Carbon Fluxes,real,lon,lat,time,NA,Heterotrophic respiration rate (always positive),
SoilResp,soil_respiration_carbon_flux,kg C m-2 s-1,Soil Respiration,Carbon Fluxes,real,lon,lat,time,NA,Sum of respiration in the soil by heterotrophs and by the roots of plants (autotrophs),
DOC_flux,NA,kg C m-2 s-1,Dissolved Organic Carbon flux,Carbon Fluxes,real,lon,lat,time,NA,Loss of organic carbon dissolved in ground water or rivers (positive out of grid cell),
