 Wavelength Refl Tran
 400 0.0461 0.0020 
 401 0.0460 0.0023 
 402 0.0463 0.0027 
 403 0.0466 0.0029 
 404 0.0465 0.0032 
 405 0.0465 0.0036 
 406 0.0469 0.0040 
 407 0.0470 0.0043 
 408 0.0472 0.0047 
 409 0.0475 0.0052 
 410 0.0477 0.0057 
 411 0.0480 0.0060 
 412 0.0483 0.0064 
 413 0.0483 0.0071 
 414 0.0488 0.0076 
 415 0.0491 0.0080 
 416 0.0493 0.0084 
 417 0.0494 0.0090 
 418 0.0496 0.0094 
 419 0.0500 0.0100 
 420 0.0503 0.0105 
 421 0.0503 0.0111 
 422 0.0506 0.0113 
 423 0.0509 0.0118 
 424 0.0509 0.0121 
 425 0.0511 0.0124 
 426 0.0513 0.0126 
 427 0.0514 0.0129 
 428 0.0518 0.0133 
 429 0.0518 0.0135 
 430 0.0518 0.0137 
 431 0.0520 0.0140 
 432 0.0525 0.0141 
 433 0.0524 0.0143 
 434 0.0525 0.0144 
 435 0.0524 0.0146 
 436 0.0526 0.0149 
 437 0.0527 0.0150 
 438 0.0528 0.0153 
 439 0.0528 0.0156 
 440 0.0528 0.0158 
 441 0.0529 0.0160 
 442 0.0528 0.0163 
 443 0.0529 0.0166 
 444 0.0526 0.0171 
 445 0.0531 0.0176 
 446 0.0531 0.0181 
 447 0.0532 0.0186 
 448 0.0531 0.0192 
 449 0.0530 0.0199 
 450 0.0531 0.0204 
 451 0.0532 0.0210 
 452 0.0532 0.0214 
 453 0.0532 0.0219 
 454 0.0534 0.0224 
 455 0.0534 0.0228 
 456 0.0533 0.0232 
 457 0.0533 0.0235 
 458 0.0532 0.0236 
 459 0.0534 0.0239 
 460 0.0533 0.0239 
 461 0.0535 0.0241 
 462 0.0533 0.0242 
 463 0.0533 0.0242 
 464 0.0532 0.0242 
 465 0.0532 0.0243 
 466 0.0531 0.0245 
 467 0.0533 0.0245 
 468 0.0532 0.0245 
 469 0.0533 0.0246 
 470 0.0531 0.0246 
 471 0.0533 0.0248 
 472 0.0533 0.0249 
 473 0.0532 0.0249 
 474 0.0532 0.0250 
 475 0.0532 0.0252 
 476 0.0530 0.0253 
 477 0.0531 0.0255 
 478 0.0534 0.0257 
 479 0.0532 0.0257 
 480 0.0531 0.0258 
 481 0.0532 0.0260 
 482 0.0530 0.0260 
 483 0.0532 0.0262 
 484 0.0533 0.0264 
 485 0.0534 0.0265 
 486 0.0533 0.0270 
 487 0.0532 0.0270 
 488 0.0531 0.0273 
 489 0.0534 0.0278 
 490 0.0532 0.0282 
 491 0.0532 0.0286 
 492 0.0532 0.0293 
 493 0.0535 0.0299 
 494 0.0535 0.0306 
 495 0.0536 0.0314 
 496 0.0536 0.0323 
 497 0.0538 0.0333 
 498 0.0540 0.0343 
 499 0.0541 0.0355 
 500 0.0542 0.0370 
 501 0.0546 0.0383 
 502 0.0550 0.0398 
 503 0.0552 0.0418 
 504 0.0557 0.0438 
 505 0.0561 0.0459 
 506 0.0565 0.0482 
 507 0.0571 0.0507 
 508 0.0579 0.0535 
 509 0.0586 0.0564 
 510 0.0594 0.0596 
 511 0.0603 0.0631 
 512 0.0612 0.0666 
 513 0.0625 0.0706 
 514 0.0640 0.0746 
 515 0.0652 0.0789 
 516 0.0669 0.0835 
 517 0.0685 0.0881 
 518 0.0704 0.0929 
 519 0.0726 0.0977 
 520 0.0747 0.1024 
 521 0.0769 0.1076 
 522 0.0791 0.1126 
 523 0.0813 0.1174 
 524 0.0836 0.1217 
 525 0.0856 0.1259 
 526 0.0879 0.1305 
 527 0.0903 0.1344 
 528 0.0920 0.1376 
 529 0.0937 0.1411 
 530 0.0954 0.1440 
 531 0.0968 0.1465 
 532 0.0982 0.1492 
 533 0.0993 0.1513 
 534 0.1005 0.1530 
 535 0.1014 0.1544 
