"package","version","needed_by_dir","type","is_pecan"
"abind","*","modules/assim.batch","Imports",FALSE
"abind",">= 1.4.5","base/utils","Imports",FALSE
"abind",">= 1.4.5","models/ed","Imports",FALSE
"abind",">= 1.4.5","modules/data.atmosphere","Imports",FALSE
"amerifluxr","*","modules/data.atmosphere","Imports",FALSE
"arrow","*","modules/data.atmosphere","Imports",FALSE
"assertthat","*","models/ed","Imports",FALSE
"assertthat","*","modules/data.atmosphere","Imports",FALSE
"BayesianTools","*","modules/assim.batch","Imports",FALSE
"BayesianTools","*","modules/rtm","Imports",FALSE
"BioCro","*","models/biocro","Suggests",FALSE
"bit64","*","base/db","Suggests",FALSE
"BrownDog","*","modules/benchmark","Suggests",FALSE
"coda","*","models/maespa","Suggests",FALSE
"coda","*","models/sipnet","Suggests",FALSE
"coda","*","modules/assim.sequential","Imports",FALSE
"coda","*","modules/data.land","Imports",FALSE
"coda","*","modules/rtm","Imports",FALSE
"coda",">= 0.18","base/utils","Suggests",FALSE
"coda",">= 0.18","modules/allometry","Imports",FALSE
"coda",">= 0.18","modules/assim.batch","Imports",FALSE
"coda",">= 0.18","modules/emulator","Imports",FALSE
"coda",">= 0.18","modules/meta.analysis","Imports",FALSE
"coda",">= 0.18","modules/photosynthesis","Imports",FALSE
"corrplot","*","modules/assim.sequential","Suggests",FALSE
"curl","*","base/db","Imports",FALSE
"curl","*","base/utils","Imports",FALSE
"curl","*","modules/data.atmosphere","Imports",FALSE
"curl","*","modules/data.land","Imports",FALSE
"curl","*","modules/data.remote","Imports",FALSE
"data.table","*","base/db","Suggests",FALSE
"data.table","*","base/utils","Suggests",FALSE
"data.table","*","base/visualization","Imports",FALSE
"data.table","*","models/biocro","Imports",FALSE
"data.table","*","modules/data.remote","Suggests",FALSE
"dataone","*","modules/data.land","Suggests",FALSE
"datapack","*","modules/data.land","Imports",FALSE
"DBI","*","base/db","Imports",FALSE
"DBI","*","modules/data.remote","Imports",FALSE
"dbplyr",">= 2.4.0","base/db","Imports",FALSE
"devtools","*","models/ed","Suggests",FALSE
"doParallel","*","modules/data.atmosphere","Suggests",FALSE
"doParallel","*","modules/data.remote","Imports",FALSE
"doSNOW","*","base/remote","Suggests",FALSE
"dplR","*","modules/data.land","Imports",FALSE
"dplyr","*","base/qaqc","Imports",FALSE
"dplyr","*","base/remote","Imports",FALSE
"dplyr","*","base/utils","Imports",FALSE
"dplyr","*","base/workflow","Imports",FALSE
"dplyr","*","models/biocro","Imports",FALSE
"dplyr","*","models/ed","Imports",FALSE
"dplyr","*","models/ldndc","Imports",FALSE
"dplyr","*","models/stics","Imports",FALSE
"dplyr","*","modules/assim.sequential","Imports",FALSE
"dplyr","*","modules/benchmark","Imports",FALSE
"dplyr","*","modules/data.land","Imports",FALSE
"dplyr","*","modules/data.remote","Suggests",FALSE
"dplyr","*","modules/uncertainty","Imports",FALSE
"dplyr",">= 0.8.1","modules/data.atmosphere","Imports",FALSE
"dplyr",">= 1.1.2","base/db","Imports",FALSE
"ellipse","*","modules/assim.batch","Imports",FALSE
"emdbook","*","modules/assim.sequential","Suggests",FALSE
"foreach","*","base/remote","Imports",FALSE
"foreach","*","modules/data.atmosphere","Suggests",FALSE
"foreach","*","modules/data.remote","Imports",FALSE
"fs","*","base/db","Imports",FALSE
"fs","*","modules/data.land","Imports",FALSE
"furrr","*","base/remote","Imports",FALSE
"furrr","*","modules/assim.sequential","Imports",FALSE
"furrr","*","modules/data.atmosphere","Suggests",FALSE
"furrr","*","modules/data.land","Imports",FALSE
"furrr","*","modules/data.remote","Imports",FALSE
"future","*","modules/assim.sequential","Imports",FALSE
"future","*","modules/data.atmosphere","Suggests",FALSE
"future","*","modules/data.land","Imports",FALSE
"future","*","modules/data.remote","Imports",FALSE
"GEDI4R","*","modules/data.remote","Suggests",FALSE
"geonames","> 0.998","modules/data.atmosphere","Imports",FALSE
"getPass","*","base/remote","Suggests",FALSE
"getPass","*","modules/data.land","Suggests",FALSE
"getPass","*","modules/data.remote","Suggests",FALSE
"ggmcmc","*","modules/meta.analysis","Suggests",FALSE
"ggplot2","*","base/utils","Suggests",FALSE
"ggplot2","*","base/visualization","Imports",FALSE
"ggplot2","*","modules/assim.sequential","Imports",FALSE
"ggplot2","*","modules/benchmark","Imports",FALSE
"ggplot2","*","modules/data.atmosphere","Imports",FALSE
"ggplot2","*","modules/data.remote","Suggests",FALSE
"ggplot2","*","modules/meta.analysis","Suggests",FALSE
"ggplot2","*","modules/priors","Imports",FALSE
"ggplot2","*","modules/uncertainty","Imports",FALSE
"ggpubr","*","modules/assim.sequential","Suggests",FALSE
"ggrepel","*","modules/assim.sequential","Suggests",FALSE
"glue","*","base/db","Imports",FALSE
"glue","*","models/ed","Imports",FALSE
"glue","*","modules/assim.sequential","Suggests",FALSE
"glue","*","modules/data.atmosphere","Imports",FALSE
"glue","*","modules/data.land","Suggests",FALSE
"glue","*","modules/data.remote","Imports",FALSE
"graphics","*","base/qaqc","Imports",FALSE
"graphics","*","modules/allometry","Imports",FALSE
"graphics","*","modules/assim.batch","Imports",FALSE
"graphics","*","modules/photosynthesis","Imports",FALSE
"grDevices","*","modules/allometry","Imports",FALSE
"grDevices","*","modules/assim.batch","Imports",FALSE
"grDevices","*","modules/benchmark","Imports",FALSE
"grDevices","*","modules/data.remote","Suggests",FALSE
"grid","*","base/visualization","Suggests",FALSE
"gridExtra","*","modules/assim.sequential","Suggests",FALSE
"gridExtra","*","modules/benchmark","Imports",FALSE
"gridExtra","*","modules/uncertainty","Imports",FALSE
"hdf5r","*","models/ed","Imports",FALSE
"here","*","base/db","Suggests",FALSE
"httr","*","base/remote","Imports",FALSE
"httr","*","modules/data.atmosphere","Imports",FALSE
"httr","*","modules/data.land","Imports",FALSE
"httr","*","modules/data.remote","Suggests",FALSE
"IDPmisc","*","modules/assim.batch","Imports",FALSE
"jsonlite","*","base/remote","Imports",FALSE
"jsonlite","*","models/stics","Imports",FALSE
"jsonlite","*","modules/data.atmosphere","Imports",FALSE
"knitr",">= 1.42","base/db","Suggests",FALSE
"knitr",">= 1.42","base/qaqc","Suggests",FALSE
"knitr",">= 1.42","modules/allometry","Suggests",FALSE
"knitr",">= 1.42","modules/assim.batch","Suggests",FALSE
"knitr",">= 1.42","modules/meta.analysis","Suggests",FALSE
"knitr",">= 1.42","modules/photosynthesis","Suggests",FALSE
"knitr",">= 1.42","modules/rtm","Suggests",FALSE
"lattice","*","modules/meta.analysis","Imports",FALSE
"linkages","*","models/linkages","Suggests",FALSE
"lqmm","*","modules/assim.batch","Imports",FALSE
"lubridate","*","base/db","Imports",FALSE
"lubridate","*","models/basgra","Imports",FALSE
"lubridate","*","models/dvmdostem","Imports",FALSE
"lubridate","*","models/ed","Imports",FALSE
"lubridate","*","models/ldndc","Imports",FALSE
"lubridate","*","models/stics","Imports",FALSE
"lubridate","*","modules/data.land","Imports",FALSE
"lubridate","*","modules/data.remote","Suggests",FALSE
"lubridate",">= 1.6.0","base/settings","Imports",FALSE
"lubridate",">= 1.6.0","base/utils","Imports",FALSE
"lubridate",">= 1.6.0","models/dalec","Imports",FALSE
"lubridate",">= 1.6.0","models/fates","Imports",FALSE
"lubridate",">= 1.6.0","models/gday","Imports",FALSE
"lubridate",">= 1.6.0","models/jules","Imports",FALSE
"lubridate",">= 1.6.0","models/linkages","Imports",FALSE
"lubridate",">= 1.6.0","models/lpjguess","Imports",FALSE
"lubridate",">= 1.6.0","models/maat","Imports",FALSE
"lubridate",">= 1.6.0","models/maespa","Imports",FALSE
"lubridate",">= 1.6.0","models/preles","Imports",FALSE
"lubridate",">= 1.6.0","models/sipnet","Imports",FALSE
"lubridate",">= 1.6.0","modules/assim.batch","Imports",FALSE
"lubridate",">= 1.6.0","modules/assim.sequential","Imports",FALSE
"lubridate",">= 1.6.0","modules/benchmark","Imports",FALSE
"lubridate",">= 1.6.0","modules/data.atmosphere","Imports",FALSE
"lubridate",">= 1.6.0","modules/rtm","Imports",FALSE
"lubridate",">= 1.7.0","models/biocro","Imports",FALSE
"Maeswrap","*","models/maespa","Suggests",FALSE
"magic",">= 1.5.0","modules/assim.sequential","Suggests",FALSE
"magrittr","*","base/db","Imports",FALSE
"magrittr","*","base/utils","Imports",FALSE
"magrittr","*","models/ed","Imports",FALSE
"magrittr","*","modules/assim.sequential","Imports",FALSE
"magrittr","*","modules/benchmark","Imports",FALSE
"magrittr","*","modules/data.land","Imports",FALSE
"magrittr","*","modules/data.remote","Imports",FALSE
"markdown","*","modules/allometry","Suggests",FALSE
"markdown","*","modules/photosynthesis","Suggests",FALSE
"MASS","*","base/utils","Suggests",FALSE
"MASS","*","modules/assim.batch","Imports",FALSE
"MASS","*","modules/data.atmosphere","Imports",FALSE
"MASS","*","modules/meta.analysis","Imports",FALSE
"MASS","*","modules/priors","Imports",FALSE
"MASS","*","modules/rtm","Imports",FALSE
"Matrix","*","modules/assim.sequential","Imports",FALSE
"mclust","*","modules/rtm","Suggests",FALSE
"MCMCpack","*","modules/allometry","Imports",FALSE
"MCMCpack","*","modules/assim.batch","Imports",FALSE
"MCMCpack","*","modules/emulator","Imports",FALSE
"methods","*","base/db","Imports",FALSE
"methods","*","base/settings","Depends",FALSE
"methods","*","modules/allometry","Imports",FALSE
"methods","*","modules/assim.batch","Imports",FALSE
"methods","*","modules/assim.sequential","Suggests",FALSE
"methods","*","modules/emulator","Imports",FALSE
"mgcv","*","modules/data.atmosphere","Imports",FALSE
"minpack.lm","*","modules/rtm","Suggests",FALSE
"mlegp","*","modules/assim.batch","Imports",FALSE
"mockery","*","base/all","Suggests",FALSE
"mockery","*","base/qaqc","Suggests",FALSE
"mockery","*","base/remote","Suggests",FALSE
"mockery","*","base/settings","Suggests",FALSE
"mockery","*","base/utils","Suggests",FALSE
"mockery","*","base/visualization","Suggests",FALSE
"mockery","*","base/workflow","Suggests",FALSE
"mockery",">= 0.3.0","models/biocro","Suggests",FALSE
"mockery",">= 0.4.3","base/db","Suggests",FALSE
"MODISTools",">= 1.1.0","modules/data.remote","Imports",FALSE
"mvbutils","*","base/qaqc","Suggests",FALSE
"mvtnorm","*","modules/allometry","Imports",FALSE
"mvtnorm","*","modules/assim.batch","Imports",FALSE
"mvtnorm","*","modules/assim.sequential","Imports",FALSE
"mvtnorm","*","modules/data.land","Imports",FALSE
"mvtnorm","*","modules/emulator","Imports",FALSE
"ncdf4","*","base/db","Imports",FALSE
"ncdf4","*","models/basgra","Imports",FALSE
"ncdf4","*","models/dvmdostem","Imports",FALSE
"ncdf4","*","models/ldndc","Imports",FALSE
"ncdf4","*","models/sibcasa","Imports",FALSE
"ncdf4","*","models/stics","Imports",FALSE
"ncdf4","*","modules/assim.sequential","Imports",FALSE
"ncdf4","*","modules/data.remote","Imports",FALSE
"ncdf4",">= 1.15","base/utils","Imports",FALSE
"ncdf4",">= 1.15","base/visualization","Imports",FALSE
"ncdf4",">= 1.15","models/biocro","Imports",FALSE
"ncdf4",">= 1.15","models/clm45","Imports",FALSE
"ncdf4",">= 1.15","models/dalec","Imports",FALSE
"ncdf4",">= 1.15","models/ed","Imports",FALSE
"ncdf4",">= 1.15","models/fates","Imports",FALSE
"ncdf4",">= 1.15","models/gday","Imports",FALSE
"ncdf4",">= 1.15","models/jules","Imports",FALSE
"ncdf4",">= 1.15","models/linkages","Imports",FALSE
"ncdf4",">= 1.15","models/lpjguess","Imports",FALSE
"ncdf4",">= 1.15","models/maat","Imports",FALSE
"ncdf4",">= 1.15","models/maespa","Imports",FALSE
"ncdf4",">= 1.15","models/preles","Imports",FALSE
"ncdf4",">= 1.15","models/sipnet","Imports",FALSE
"ncdf4",">= 1.15","modules/assim.batch","Imports",FALSE
"ncdf4",">= 1.15","modules/benchmark","Imports",FALSE
"ncdf4",">= 1.15","modules/data.atmosphere","Imports",FALSE
"ncdf4",">= 1.15","modules/data.land","Imports",FALSE
"neonstore","*","modules/data.land","Imports",FALSE
"neonUtilities","*","modules/data.land","Imports",FALSE
"nimble","*","modules/assim.sequential","Imports",FALSE
"nneo","*","modules/data.atmosphere","Imports",FALSE
"optparse","*","base/settings","Imports",FALSE
"parallel","*","modules/assim.batch","Imports",FALSE
"parallel","*","modules/data.atmosphere","Suggests",FALSE
"parallel","*","modules/data.remote","Imports",FALSE
"PEcAn.allometry","*","base/all","Suggests",TRUE
"PEcAn.assim.batch","*","base/all","Depends",TRUE
"PEcAn.assim.batch","*","modules/rtm","Imports",TRUE
