Sitename,Site,Country,Latitude,Longitude,MAT,MAP,IGBP,Köppen,AvailableYears,DOI,Elevation
BE-Bra,Brasschaat,Belgium,51.30761,4.51984,9.8,750.0,MF,Cfb,1996–2018,10.18160/F738-634R,16.0
BE-Lon,Lonzee,Belgium,50.5516198,4.746233900000001,10.0,800.0,CRO,BSk,2004–2018,10.18160/6SM0-NFES,170.0
BE-Vie,Vielsalm,Belgium,50.3049329013726,5.99811511350303,7.8,1062.0,MF,Cfb,1996–2018,10.18160/MK3Q-BBEK,490.0
CH-Aws,Alp Weissenstein,Switzerland,46.583194,9.790417,2.3,918.0,GRA,,2010–2018,10.18160/3YQE-7BR8,1988.0
CH-Cha,Chamau grassland,Switzerland,47.21022222,8.410444444,9.5,1136.0,GRA,Cfb,2005–2018,10.18160/GMMW-5E2D,394.0
CH-Dav,Davos,Switzerland,46.815329999999996,9.85591,2.8,1062.0,ENF,Dfc,1997–2018,10.18160/R86M-H3HX,1689.0
CH-Fru,Fruebuel grassland,Switzerland,47.11583333,8.537777777999999,7.2,1651.0,GRA,Dfb,2005–2018,10.18160/J938-0MKS,975.0
CH-Lae,Laegern,Switzerland,47.478333,8.364389,8.3,1100.0,MF,BWk,2004–2018,10.18160/FABD-SVJJ,689.0
CH-Oe2,Oensingen crop,Switzerland,47.286417,7.73375,9.8,1155.0,CRO,BSk,2004–2018,10.18160/N01Y-R7DF,452.0
CZ-BK1,Bily Kriz forest,Czechia,49.50207615,18.53688247,6.7,1316.0,ENF,Dwb,2004–2018,10.18160/7QXR-AYEE,875.0
CZ-Lnz,Lanzhot,Czechia,48.681611,16.946416,9.3,550.0,MF,,2015–2018,10.18160/84SN-YBSD,150.0
CZ-RAJ,Rajec,Czechia,49.443723600000006,16.6965125,7.1,681.0,ENF,,2012–2018,10.18160/HFS9-JBTG,649.0
CZ-Stn,Stitna,Czechia,49.035975,17.9699,8.7,685.0,DBF,,2010–2018,10.18160/V2JN-DQPJ,562.0
CZ-wet,Trebon,Czechia,49.02465,14.77035,7.7,604.0,WET,Dfb,2006–2018,10.18160/W4YS-463W,426.0
DE-Akm,Anklam,Germany,53.86617,13.683420000000002,8.7,558.0,WET,BWk,2009–2018,10.18160/24B5-J44F,-1.0
DE-Geb,Gebesee,Germany,51.09973,10.91463,8.5,470.0,CRO,Cfb,2001–2018,10.18160/ZK18-3YW3,161.5
DE-Gri,Grillenburg,Germany,50.95004,13.51259,8.4,877.0,GRA,Dfb,2004–2018,10.18160/EN60-T3FG,385.0
DE-Hai,Hainich,Germany,51.079213,10.452167999999999,8.3,720.0,DBF,Cfb,2000–2018,10.18160/D4ET-BFPS,438.7
DE-HoH,Hohes Holz,Germany,52.085306,11.219222,9.1,563.0,DBF,,2015–2018,10.18160/J1YB-YEHC,193.0
DE-Hte,Huetelmoor,Germany,54.210278,12.176111,9.2,645.0,WET,Dfb,2009–2018,10.18160/63V0-08T4,1.0
DE-Hzd,Hetzdorf,Germany,50.963809999999995,13.48978,7.8,901.0,DBF,,2010–2018,10.18160/PJEC-43XB,395.0
DE-Kli,Klingenberg,Germany,50.89306,13.522379999999998,7.6,842.0,CRO,Dfb,2004–2018,10.18160/STT9-TBJZ,478.0
DE-Obe,Oberbärenburg,Germany,50.78666,13.72129,5.5,996.0,ENF,Dfb,2008–2018,10.18160/FSM3-RC5F,739.0
DE-RuR,Rollesbroich,Germany,50.621914200000006,6.304125599999999,7.7,1033.0,GRA,,2011–2018,10.18160/HPV9-K8R1,514.7
DE-RuS,Selhausen Juelich,Germany,50.86590702,6.447144703999999,10.0,700.0,CRO,,2011–2018,10.18160/A2TK-QD5U,103.2
DE-RuW,Wustebach,Germany,50.50490703,6.33101886,7.5,1250.0,ENF,,2010–2018,10.18160/H7Y6-2R1H,610.0
DE-Tha,Tharandt,Germany,50.962559999999996,13.56515,8.2,843.0,ENF,Dfb,1996–2018,10.18160/BSE6-EMVJ,380.0
DK-Sor,Soroe,Denmark,55.4858694,11.6446444,8.3,660.0,DBF,Cfb,1996–2018,10.18160/BFDT-7HYE,40.0
ES-Abr,Albuera,Spain,38.701839,-6.785881,,,SAV,,2015–2018,10.18160/11TP-MX4F,279.0
ES-LM1,Majadas del Tietar North,Spain,39.94269,-5.778683,16.0,700.0,SAV,Csa,2014–2018,10.18160/FDSD-GVRS,266.0
ES-LM2,Majadas del Tietar South,Spain,39.934591999999995,-5.775881,16.0,700.0,SAV,Csa,2014–2018,10.18160/3SVJ-XSB7,270.0
FI-Hyy,Hyytiala,Finland,61.847409999999996,24.29477,3.8,709.0,ENF,Dfb,1996–2018,10.18160/CWKM-YS54,181.0
FI-Let,Lettosuo,Finland,60.641830000000006,23.95952,4.6,627.0,ENF,,2009–2018,10.18160/0JHQ-BZMU,125.0
FI-Sii,Siikaneva,Finland,61.83265,24.19285,3.5,701.0,WET,Dfc,2016–2018,10.18160/0RE3-DTWD ,160.0
FI-Var,Varrio,Finland,67.7549,29.61,-0.5,601.0,ENF,,2016–2018,10.18160/NYH7-5JEB,395.0
FR-Bil,Bilos,France,44.493672,-0.956082,12.9,930.0,ENF,,2014–2018,10.18160/ETDC-1K1F,39.18
FR-EM2,Estrees-Mons A28,France,49.8721083,3.02065,10.8,680.0,CRO,,2017–2018,,85.0
FR-Hes,Hesse,France,48.6741,7.06465,9.2,820.0,DBF,Cfb,2014–2018,10.18160/WTYC-JVQV,310.0
IT-BCi,Borgo Cioffi,Italy,40.52375,14.95744444,18.0,600.0,CRO,Csa,2004–2018,10.18160/T25N-PD1H,10.0
IT-Cp2,Castelporziano2,Italy,41.7042655944824,12.357293128967301,15.2,805.0,EBF,Csa,2012–2018,10.18160/5FPQ-G257,19.0
