"","year","co2"
"1",1950,310.8
"2",1951,311.1
"3",1952,311.5
"4",1953,311.9
"5",1954,312.4
"6",1955,313
"7",1956,313.6
"8",1957,314.2
"9",1958,314.8
"10",1959,315.5
"11",1960,316.3
"12",1961,317.1
"13",1962,317.8
"14",1963,318.4
"15",1964,318.9
"16",1965,319.6
"17",1966,320.6
"18",1967,321.6
"19",1968,322.6
"20",1969,323.9
"21",1970,325
"22",1971,325.9
"23",1972,327.1
"24",1973,328.7
"25",1974,329.7
"26",1975,330.6
"27",1976,331.7
"28",1977,333.3
"29",1978,334.8
"30",1979,336.5
"31",1980,338.4
"32",1981,339.7
"33",1982,340.8
"34",1983,342.2
"35",1984,343.8
"36",1985,345.3
"37",1986,346.8
"38",1987,348.6
"39",1988,350.7
"40",1989,352.5
"41",1990,353.9
"42",1991,355
"43",1992,355.9
"44",1993,356.8
"45",1994,358.1
"46",1995,359.8
"47",1996,361.5
"48",1997,363.2
"49",1998,365.3
"50",1999,367.3
"51",2000,368.9
"52",2001,370.5
"53",2002,372.5
"54",2003,374.8
"55",2004,376.8
"56",2005,378.8
"57",2006,380.8
"58",2007,382.8
"59",2008,384.8
"60",2009,387
"61",2010,389.3
"62",2011,391.6
"63",2012,394
"64",2013,396.5
"65",2014,399
"66",2015,401.6
