Name,Description,Units,Yearly,Monthly,Daily,PFT,Compartments,Layers,Placeholder
ALD,Soil active layer depth,m,y,invalid,invalid,invalid,invalid,invalid,
AVLN,Total soil available N,gN/m2,y,,invalid,invalid,invalid,l,
BURNAIR2SOIN,Nitrogen deposit from fire emission,gN/m2/time,y,,invalid,invalid,invalid,invalid,
BURNSOIC,Burned soil C,gC/m2/time,y,,invalid,invalid,invalid,invalid,
BURNSOILN,Burned soil N,gN/m2/time,y,,invalid,invalid,invalid,invalid,
BURNTHICK,Ground burn thickness ,m,y,,invalid,invalid,invalid,invalid,
BURNVEG2AIRC,Burned vegetation C to atmosphere,gC/m2/time,y,,invalid,invalid,invalid,invalid,
BURNVEG2AIRN,Burned vegetation N to atmosphere,gN/m2/time,y,,invalid,invalid,invalid,invalid,
BURNVEG2DEADC,Burned vegetation C to standing dead C,gC/m2/time,y,,invalid,invalid,invalid,invalid,
BURNVEG2DEADN,Burned vegetation N to standing dead N,gN/m2/time,y,,invalid,invalid,invalid,invalid,
BURNVEG2SOIABVC,Burned vegetation C to soil above,gC/m2/time,y,,invalid,invalid,invalid,invalid,
BURNVEG2SOIABVN,Burned vegetation N to soil above,gN/m2/time,y,,invalid,invalid,invalid,invalid,
BURNVEG2SOIBLWC,Burned vegetation C to soil below,gC/m2/time,y,,invalid,invalid,invalid,invalid,
BURNVEG2SOIBLWN,Burned vegetation N to soil below,gN/m2/time,y,,invalid,invalid,invalid,invalid,
DEADC,Standing dead C,gC/m2/time,y,,invalid,invalid,invalid,invalid,
DEADN,Standing dead N,gN/m2/time,y,,invalid,invalid,invalid,invalid,
DEEPC,Amorphous SOM C,gC/m2,y,,invalid,invalid,invalid,invalid,
DEEPDZ,Amorphous SOM layer thickness,m,y,invalid,invalid,invalid,invalid,invalid,
DWDC,Dead woody debris C,gC/m2/time,y,,invalid,invalid,invalid,invalid,
DWDN,Dead woody debris N,gN/m2/time,y,,invalid,invalid,invalid,invalid,
EET,Actual ET,mm/m2/time,y,,,,invalid,invalid,
GPP,GPP,gC/m2/time,y,,invalid,,,invalid,
GROWEND,Growing ending day,DOY,y,invalid,invalid,invalid,invalid,invalid,
GROWSTART,Growing starting day,DOY,y,invalid,invalid,invalid,invalid,invalid,
HKDEEP,Hydraulic conductivity in amorphous layer,mm/day,y,,,invalid,invalid,invalid,
HKLAYER,Hydraulic conductivity by layer,mm/day,y,,invalid,invalid,invalid,l,
HKMINEA,Hydraulic conductivity top mineral,mm/day,y,,,invalid,invalid,invalid,
HKMINEB,Hydraulic conductivity middle mineral,mm/day,y,,,invalid,invalid,invalid,
HKMINEC,Hydraulic conductivity bottom mineral,mm/day,y,,,invalid,invalid,invalid,
HKSHLW,Hydraulic conductivity in fibrous layer,mm/day,y,,,invalid,invalid,invalid,
INGPP,GPP without N limitation,gC/m2/time,y,,invalid,,,invalid,
INNPP,NPP witout N limitation,gC/m2/time,y,,invalid,,,invalid,
LAI,LAI,m2/m2,y,,invalid,,invalid,invalid,
LAYERDEPTH,Layer depth from the surface,,y,,invalid,invalid,invalid,l,
LAYERDZ,Thickness of layer,,y,,invalid,invalid,invalid,l,
LAYERTYPE,0:moss 1:shlw 2:deep 3:mineral,,y,,invalid,invalid,invalid,l,
LTRFALC,Litterfall C,gC/m2/time,y,,invalid,,,invalid,
LTRFALN,Litterfall N,gN/m2/time,y,,invalid,,,invalid,
MINEC,Mineral SOM C,gC/m2,y,,invalid,invalid,invalid,invalid,
MOSSDEATHC,Moss death carbon,,y,,invalid,invalid,invalid,invalid,
MOSSDEATHN,Moss death nitrogen,,y,,invalid,invalid,invalid,invalid,
MOSSDZ,Moss thickness,m,y,invalid,invalid,invalid,invalid,invalid,
NDRAIN,N losses from drainage (AVLN),gN/m2/time,invalid,invalid,invalid,invalid,invalid,invalid,
NETNMIN,Soil net N mineralization,gN/m2/time,y,,invalid,invalid,invalid,,
NIMMOB,Nitrogen immobilization,gN/m2/time,y,,invalid,invalid,invalid,,
NINPUT,N inputs into soil (AVLN),gN/m2/time,y,,invalid,invalid,invalid,invalid,
NLOST,N losses from soil (AVLN),gN/m2/time,y,,invalid,invalid,invalid,invalid,
NPP,NPP,gC/m2/time,y,,invalid,,,invalid,
NUPTAKEIN,Unlimited N uptake by plants. N uptake by happy plants when N is not limited.,gN/m2/time,y,,invalid,,invalid,invalid,
NUPTAKELAB,Labile N uptake by plants,gN/m2/time,y,,invalid,,invalid,invalid,
NUPTAKEST,Structural N uptake by plants,gN/m2/time,y,,invalid,,,invalid,
ORGN,Total soil organic N,gN/m2,y,,invalid,invalid,invalid,,
PERMAFROST,Permafrost (1 or 0),,y,invalid,invalid,invalid,invalid,invalid,
PET,Potential ET,mm/m2/time,y,,,,invalid,invalid,
QDRAINAGE,Water drainage quotient (~ratio),,y,,invalid,invalid,invalid,invalid,
QINFILTRATION,Water infiltration quotient (~ratio),,y,,invalid,invalid,invalid,invalid,
QRUNOFF,Water runoff quotient (~ratio),,y,,invalid,invalid,invalid,invalid,
RG,Growth respiration,gC/m2/time,y,m,invalid,p,c,invalid,
RH,Heterotrophic respiration,gC/m2/time,y,,invalid,invalid,invalid,,
RM,Maintenance respiration,gC/m2/time,y,m,invalid,p,c,invalid,
ROLB,Relative organic layer burned,gC/gC,y,,invalid,invalid,invalid,invalid,
SHLWC,Fibrous SOM C,gC/m2,y,,invalid,invalid,invalid,invalid,
SHLWDZ,Fibrous SOM layer thickness,m,y,invalid,invalid,invalid,invalid,invalid,
SNOWEND,DOY of last snow fall,DOY,y,invalid,invalid,invalid,invalid,invalid,
