Name,Description,Units,Yearly,Monthly,Daily,PFT,Compartments,Layers,Placeholder
ALD,Soil active layer depth,m,y,invalid,invalid,invalid,invalid,invalid,
AVLN,Total soil available N,g N/m2,,,invalid,invalid,invalid,,
BURNAIR2SOIN,Nitrogen deposit from fire emission,g N/m2/time,,,invalid,invalid,invalid,invalid,
BURNSOIC,Burned soil C,g C/m2/time,,,invalid,invalid,invalid,invalid,
BURNSOILN,Burned soil N,g N/m2/time,,,invalid,invalid,invalid,invalid,
BURNTHICK,Ground burn thickness ,m,,,invalid,invalid,invalid,invalid,
BURNVEG2AIRC,Burned vegetation C to atmosphere,g C/m2/time,,,invalid,invalid,invalid,invalid,
BURNVEG2AIRN,Burned vegetation N to atmosphere,g N/m2/time,,,invalid,invalid,invalid,invalid,
BURNVEG2DEADC,Burned vegetation C to standing dead C,g C/m2/time,,,invalid,invalid,invalid,invalid,
BURNVEG2DEADN,Burned vegetation N to standing dead N,g N/m2/time,,,invalid,invalid,invalid,invalid,
BURNVEG2SOIABVC,Burned vegetation C to soil above,g C/m2/time,,,invalid,invalid,invalid,invalid,
BURNVEG2SOIABVN,Burned vegetation N to soil above,g N/m2/time,,,invalid,invalid,invalid,invalid,
BURNVEG2SOIBLWC,Burned vegetation C to soil below,g C/m2/time,,,invalid,invalid,invalid,invalid,
BURNVEG2SOIBLWN,Burned vegetation N to soil below,g N/m2/time,,,invalid,invalid,invalid,invalid,
DEADC,Standing dead C,g C/m2/time,,,invalid,invalid,invalid,invalid,
DEADN,Standing dead N,g N/m2/time,,,invalid,invalid,invalid,invalid,
DEEPC,Amorphous SOM C,g C/m2,,,invalid,invalid,invalid,invalid,
DEEPDZ,Amorphous SOM layer thickness,m,,invalid,invalid,invalid,invalid,invalid,
DWDC,Dead woody debris C,g C/m2/time,,,invalid,invalid,invalid,invalid,
DWDN,Dead woody debris N,g N/m2/time,,,invalid,invalid,invalid,invalid,
EET,Actual ET,mm/m2/time,,,,,invalid,invalid,
GPP,GPP,g C/m2/time,y,m,invalid,,,invalid,
GROWEND,Growing ending day,DOY,,invalid,invalid,invalid,invalid,invalid,
GROWSTART,Growing starting day,DOY,,invalid,invalid,invalid,invalid,invalid,
