num;include_pft_ag;include_pft;SLA;b1Bl;b2Bl;b1Bs;b2Bs;b1Ht;b2Ht;Vm0;phenology;q;clumping;leaf_width;vm_q10;hgt_min;plant_min_temp;mort3;nonlocal_dispersal;seed_rain;stomatal_slope;growth_resp_factor;r_fract;repro_min_h;treefall_gt;treefall_lt;dark_respiration_factor;qsw;c2n_leaf;c2n_recruit;dbh_crit;rho;D0;mort1;mort2;Vm_low_temp;cuticular_cond;quantum_efficiency;photosyn_pathway;leaf_turnover_rate;root_turnover_rate;storage_turnover_rate;root_respiration_factor;seedling_mortality;water_conductance;leaf_scatter_vis;diffuse_backscatter_vis;emis_v;f_labile;leaf_reflect_vis;leaf_reflect_nir;leaf_trans_vis;leaf_trans_nir;wood_reflect_vis;wood_reflect_nir;wood_trans_vis;wood_trans_nir
1;1;1;1;22.7000007629;0.1576947272;0.9749494195;0.0627227873;2.4323608875;0.0351999998;0.6940000057;12.5;1;1;1;0.0500000007;2.4000000954;0.5;275.6499938965;0.1166666746;1;0.0099999998;5.1999998093;0.3330000043;0.3000000119;0;0;0.25;0.0399999991;0;0;0;0.5971379876;0.200000003;0.0160000008;5;10;8;10000;0.0549999997;4;2;2;0.3333333433;0.2800000012;0.9499999881;900;0;0;0.96;1;0.100000001490116;0.540000021457672;0.0500000007450581;0.270000010728836;0.16;0.25;0.028;0.248
2;2;0;1;16.0179424286;0.4178909957;0.9749494195;0.1662153751;2.4323608875;0.0351999998;0.6940000057;18.75;1;1;0.800000011920929;0.1000000015;2.4000000954;0.5;275.6499938965;0.0616666712;1;0.0099999998;9;0.3330000043;0.3000000119;5;0;0.1000000015;0.0149999997;0;0;0;96.2577896118;0.5299999714;0.0160000008;5;10;8;10000;0.0799999982;3;1;1;0.1666666716;0.2800000012;0.9499999881;600;0;0;0.95;1;0.100000001490116;0.540000021457672;0.0500000007450581;0.270000010728836;0.11;0.25;0.001;0.001
3;3;0;1;11.6448221207;0.5598162413;0.9749494195;0.222665906;2.4323608875;0.0351999998;0.6940000057;12.5;1;1;0.800000011920929;0.1000000015;2.4000000954;0.5;275.6499938965;0.03166667;1;0.0099999998;9;0.3330000043;0.3000000119;5;0;0.1000000015;0.0149999997;0;0;0;96.2577896118;0.7099999785;0.0160000008;5;10;8;10000;0.0799999982;3;0.5;0.5;0.1666666716;0.2800000012;0.9499999881;600;0;0;0.95;1;0.100000001490116;0.540000021457672;0.0500000007450581;0.270000010728836;0.11;0.25;0.001;0.001
4;4;0;1;9.6634206772;0.7096262574;0.9749494195;0.2822525501;2.4323608875;0.0351999998;0.6940000057;6.25;1;1;0.800000011920929;0.1000000015;2.4000000954;0.5;275.6499938965;0;1;0.0099999998;9;0.3330000043;0.3000000119;5;0;0.1000000015;0.0149999997;0;0;0;96.2577896118;0.8999999762;0.0160000008;5;10;8;10000;0.0799999982;3;0.3333333433;0.3333333433;0.1666666716;0.2800000012;0.9499999881;600;0;0;0.95;1;0.100000001490116;0.540000021457672;0.0500000007450581;0.270000010728836;0.11;0.25;0.001;0.001
5;5;1;1;22;0.0799999982;1;1e-05;1;0.4778000116;-0.75;18.2999992371;1;1;0.84;0.0500000007;2.4000000954;0.150000006;193.1499938965;0.0659999996;1;0.0099999998;9;0.3333333433;0.3000000119;0;0;0.25;0.0149999997;0;0;0;3.9943094254;0.200000003;0.0160000008;1;20;4.7136998177;10000;0.0799999982;3;2;2;0;0.2800000012;0.9499999881;900;0;0;0.96;1;0.11;0.577;0.16;0.248;0.16;0.25;0.028;0.248
6;6;0;1;6;0.0240000002;1.8990000486;0.1469999999;2.2379999161;27.1399993896;-0.0388399996;11.3500003815;0;0.3463000059;0.735;0.0500000007;2.4000000954;1.5;193.1499938965;0.0033928;0.7659999728;0.0099999998;7.1999998093;0.4503000081;0.3000000119;5;0;0.1000000015;0.0149999997;0;0;0;77.7029876709;0;0.0160000008;1;20;4.7136998177;1000;0.0799999982;3;0.3333333433;3.9272179604;0;0.2800000012;0.9499999881;600;0;0;0.97;0.7900000215;0.11;0.577;0.16;0.248;0.11;0.25;0.001;0.001
7;7;0;1;9;0.0240000002;1.8990000486;0.1469999999;2.2379999161;27.1399993896;-0.0388399996;11.3500003815;0;0.3463000059;0.735;0.0500000007;2.4000000954;1.5;263.1499938965;0.0043000001;0.7659999728;0.0099999998;7.1999998093;0.4503000081;0.3000000119;5;0;0.1000000015;0.0149999997;0;0;0;77.7029876709;0;0.0160000008;1;20;4.7136998177;1000;0.0799999982;3;0.3333333433;4.1178469658;0;0.2800000012;0.9499999881;600;0;0;0.97;0.7900000215;0.11;0.577;0.16;0.248;0.11;0.25;0.001;0.001
8;8;0;1;10;0.0454000011;1.6828999519;0.1616999954;2.1535999775;22.7900009155;-0.0444499999;4.5399999619;0;0.3463000059;0.735;0.0500000007;2.4000000954;1.5;213.1499938965;0.0023568;0.001;0.0099999998;7.1999998093;0.4503000081;0.3000000119;5;0;0.1000000015;0.0149999997;0;0;0;64.0400543213;0;0.0160000008;1;20;4.7136998177;1000;0.0799999982;3;0.3333333433;3.8001320362;0;0.2800000012;0.9499999881;600;0;0;0.97;0.7900000215;0.11;0.577;0.16;0.248;0.11;0.25;0.001;0.001
9;9;0;1;30;0.0129000004;1.747699976;0.0264800005;2.9595398903;22.6798992157;-0.0653399974;20.3870754242;2;1.1274000406;0.84;0.1000000015;2.4000000954;1.5;-80;0.0061440002;1;0.0099999998;7.1999998093;0;0.3000000119;5;0;0.1000000015;0.0149999997;0;0;0;43.4928016663;0;0.0160000008;1;20;4.7136998177;10000;0.0799999982;3;0;5.772506237;0;0.2800000012;0.9499999881;600;0;0;0.95;0.7900000215;0.11;0.577;0.16;0.248;0.11;0.25;0.001;0.001
10;10;0;1;24.2000007629;0.0480000004;1.4550000429;0.1616999954;2.4572000504;25.1800003052;-0.0496399999;17.4546871185;2;1.1274000406;0.84;0.1000000015;2.4000000954;1.5;-80;0.0038079999;0.3249999881;0.0099999998;7.1999998093;0;0.3000000119;5;0;0.1000000015;0.0149999997;0;0;0;59.3171386719;0;0.0160000008;1;20;4.7136998177;10000;0.0799999982;3;0;5.0837001801;0;0.2800000012;0.9499999881;600;0;0;0.95;0.7900000215;0.11;0.577;0.16;0.248;0.11;0.25;0.001;0.001
