num;include_pft_ag;include_pft;SLA;b1Bl;b2Bl;b1Bs;b2Bs;b1Ht;b2Ht;Vm0;phenology;q;clumping;leaf_width;hgt_min;plant_min_temp;mort3;nonlocal_dispersal;seed_rain;stomatal_slope;growth_resp_factor;r_fract;repro_min_h;treefall_gt;treefall_lt;dark_respiration_factor;qsw;c2n_leaf;c2n_recruit;dbh_crit;rho;D0;mort1;mort2;Vm_low_temp;cuticular_cond;quantum_efficiency;photosyn_pathway;leaf_turnover_rate;root_turnover_rate;storage_turnover_rate;root_respiration_factor;seedling_mortality;water_conductance;leaf_scatter_vis;diffuse_backscatter_vis;emis_v;f_labile
1;1;1;33.4669990540;0.0346058160;1.5942586660;0.0501835719;2.3597955704;0.8519564867;0.6399999857;17.5961399078;2;0.7422149181;1.00000000000000000000;0.0049999999;2.0000000000;-100.0000000000;0.1166666746;0.2140000015;0.0099999998;3.4500000477;0.2561094761;0.2468371987;0.0000000000;0.0000000000;0.2500000000;0.0149999997;0.0000000000;25.4454765320;25.4454765320;0.4977572262;0.2000000030;0.0149999997;1.0000000000;27.8999996185;10.0000000000;8000.0000000000;0.0560000017;4;5.7870283127;0.6600000262;0.0000000000;0.5279999971;0.9700000286;0.0000095066;0.20000000670552253723;0.54515625020780134058;0.95999999999999996447;1.0000000000
2;0;1;16.0179424286;0.0591472238;1.5705568790;0.1243378818;2.3470983505;0.8519564867;0.6399999857;23.4375000000;1;1.0000000000;1.00000000000000000000;0.1000000015;0.5000000000;275.6499938965;0.0616666712;1.0000000000;0.0099999998;9.0000000000;0.3333333433;0.3000000119;5.0000000000;0.0000000000;0.1000000015;0.0149999997;0.0041071647;19.8357734680;22.5503253937;68.3095474243;0.5299999714;0.0149999997;10.0000000000;20.0000000000;8.0000000000;10000.0000000000;0.0799999982;3;1.0000000000;1.0000000000;0.0000000000;0.5279999971;0.9499999881;0.0000095066;0.20000000670552253723;0.58265625239640939093;0.94999999999999995559;1.0000000000
3;0;1;11.6448221207;0.0694663823;1.5634458065;0.1632390916;2.3432888985;0.8519564867;0.6399999857;15.6250000000;1;1.0000000000;1.00000000000000000000;0.1000000015;0.5000000000;275.6499938965;0.0316666700;1.0000000000;0.0099999998;9.0000000000;0.3333333433;0.3000000119;5.0000000000;0.0000000000;0.1000000015;0.0149999997;0.0029858518;40.2063484192;45.2240753174;68.3095474243;0.7099999785;0.0149999997;10.0000000000;20.0000000000;8.0000000000;10000.0000000000;0.0799999982;3;0.5000000000;0.5000000000;0.0000000000;0.5279999971;0.9499999881;0.0000095066;0.20000000670552253723;0.58265625239640939093;0.94999999999999995559;1.0000000000
4;0;1;9.6634206772;0.0791436359;1.5576786995;0.2035646737;2.3401992321;0.8519564867;0.6399999857;7.8125000000;1;1.0000000000;1.00000000000000000000;0.1000000015;0.5000000000;275.6499938965;0.0000000000;1.0000000000;0.0099999998;9.0000000000;0.3333333433;0.3000000119;5.0000000000;0.0000000000;0.1000000015;0.0149999997;0.0024778002;92.0360870361;98.2110061646;68.3095474243;0.8999999762;0.0149999997;10.0000000000;20.0000000000;8.0000000000;10000.0000000000;0.0799999982;3;0.3333333433;0.3333333433;0.0000000000;0.5279999971;0.9499999881;0.0000095066;0.20000000670552253723;0.58265625239640939093;0.94999999999999995559;1.0000000000
5;1;1;22.0000000000;0.0799999982;1.0000000000;0.0000100000;1.0000000000;0.4778000116;-0.7500000000;22.8750000000;1;1.0000000000;0.83999999999999996891;0.0500000007;0.1500000060;193.1499938965;0.0659999996;1.0000000000;0.0099999998;9.0000000000;0.3333333433;0.3000000119;0.0000000000;0.0000000000;0.2500000000;0.0149999997;0.0056410255;14.7842912674;14.7842922211;3.9943094254;0.2000000030;0.0149999997;1.0000000000;20.0000000000;4.7136998177;10000.0000000000;0.0799999982;3;2.0000000000;2.0000000000;0.0000000000;0.5279999971;0.9499999881;0.0000095066;0.27000000000000001776;0.47685185185185186008;0.95999999999999996447;1.0000000000
6;0;1;6.0000000000;0.0240000002;1.8990000486;0.1469999999;2.2379999161;27.1399993896;-0.0388399996;14.1875000000;0;0.3463000059;0.73499999999999998668;0.0500000007;1.5000000000;193.1499938965;0.0033928000;0.7659999728;0.0099999998;7.1999998093;0.4503000081;0.3000000119;5.0000000000;0.0000000000;0.1000000015;0.0149999997;0.0015384615;78.0326232910;124.6847686768;77.7029876709;0.0000000000;0.0149999997;1.0000000000;20.0000000000;4.7136998177;1000.0000000000;0.0799999982;3;0.3333333433;3.9272179604;0.0000000000;0.5279999971;0.9499999881;0.0000095066;0.27000000000000001776;0.47685185185185186008;0.96999999999999997335;0.7900000215
7;0;1;9.0000000000;0.0240000002;1.8990000486;0.1469999999;2.2379999161;27.1399993896;-0.0388399996;14.1875000000;0;0.3463000059;0.73499999999999998668;0.0500000007;1.5000000000;263.1499938965;0.0043000001;0.7659999728;0.0099999998;7.1999998093;0.4503000081;0.3000000119;5.0000000000;0.0000000000;0.1000000015;0.0149999997;0.0023076923;52.0217514038;106.0161056519;77.7029876709;0.0000000000;0.0149999997;1.0000000000;20.0000000000;4.7136998177;1000.0000000000;0.0799999982;3;0.3333333433;4.1178469658;0.0000000000;0.5279999971;0.9499999881;0.0000095066;0.27000000000000001776;0.47685185185185186008;0.96999999999999997335;0.7900000215
8;0;1;10.0000000000;0.0454000011;1.6828999519;0.1616999954;2.1535999775;22.7900009155;-0.0444499999;5.6750001907;0;0.3463000059;0.73499999999999998668;0.0500000007;1.5000000000;213.1499938965;0.0023568000;0.0010000000;0.0099999998;7.1999998093;0.4503000081;0.3000000119;5.0000000000;0.0000000000;0.1000000015;0.0149999997;0.0025641026;108.4507446289;132.0868988037;64.0400543213;0.0000000000;0.0149999997;1.0000000000;20.0000000000;4.7136998177;1000.0000000000;0.0799999982;3;0.3333333433;3.8001320362;0.0000000000;0.5279999971;0.9499999881;0.0000095066;0.27000000000000001776;0.47685185185185186008;0.96999999999999997335;0.7900000215
9;0;1;30.0000000000;0.0129000004;1.7476999760;0.0264800005;2.9595398903;22.6798992157;-0.0653399974;25.4838447571;2;1.1274000406;0.83999999999999996891;0.1000000015;1.5000000000;193.1499938965;0.0061440002;1.0000000000;0.0099999998;7.1999998093;0.0000000000;0.3000000119;5.0000000000;0.0000000000;0.1000000015;0.0149999997;0.0076923077;13.4641094208;17.8949623108;43.4928016663;0.0000000000;0.0149999997;1.0000000000;20.0000000000;4.7136998177;10000.0000000000;0.0799999982;3;0.0000000000;5.7725062370;0.6243000031;0.5279999971;0.9499999881;0.0000095066;0.27000000000000001776;0.47685185185185186008;0.94999999999999995559;0.7900000215
10;0;1;24.2000007629;0.0480000004;1.4550000429;0.1616999954;2.4572000504;25.1800003052;-0.0496399999;21.8183593750;2;1.1274000406;0.83999999999999996891;0.1000000015;1.5000000000;253.1499938965;0.0038079999;0.3249999881;0.0099999998;7.1999998093;0.0000000000;0.3000000119;5.0000000000;0.0000000000;0.1000000015;0.0149999997;0.0062051285;19.3469314575;28.5154895782;59.3171386719;0.0000000000;0.0149999997;1.0000000000;20.0000000000;4.7136998177;10000.0000000000;0.0799999982;3;0.0000000000;5.0837001801;0.6243000031;0.5279999971;0.9499999881;0.0000095066;0.27000000000000001776;0.47685185185185186008;0.94999999999999995559;0.7900000215
