num;include_pft_ag;include_pft;SLA;b1Bl;b2Bl;b1Bs;b2Bs;b1Ht;b2Ht;Vm0;phenology;q;clumping;leaf_width;hgt_min;plant_min_temp;mort3;nonlocal_dispersal;seed_rain;stomatal_slope;growth_resp_factor;r_fract;repro_min_h;treefall_gt;treefall_lt;dark_respiration_factor;Rd0;qsw;c2n_leaf;c2n_recruit;dbh_crit;rho;D0;mort1;mort2;Vm_low_temp;cuticular_cond;quantum_efficiency;photosyn_pathway;leaf_turnover_rate;root_turnover_rate;storage_turnover_rate;root_respiration_factor;seedling_mortality;water_conductance;leaf_scatter_vis;diffuse_backscatter_vis;emis_v;f_labile;leaf_reflect_vis;leaf_reflect_nir;leaf_trans_vis;leaf_trans_nir
1;1;1;1;22.7000007629;0.1576947272;0.9749494195;0.0627227873;2.4323608875;0.0351999998;0.6940000057;12.5;1;1;1;0.0500000007;0.5;275.6499938965;0.1166666746;1;0.0099999998;5.1999998093;0.3330000043;0.3000000119;0;0;0.25;0.0399999991;0.5;0.0058205132;25.445476532;25.6388263702;0.5971379876;0.200000003;0.0160000008;5;10;8;10000;0.0549999997;4;2;2;0.3333333433;0.5279999971;0.9499999881;2.85199e-05;0.150000002235174;0.533749999888241;0.96;1;0.11;0.577;0.16;0.248
2;2;0;1;16.0179424286;0.4178909957;0.9749494195;0.1662153751;2.4323608875;0.0351999998;0.6940000057;18.75;1;1;0.800000011920929;0.1000000015;0.5;275.6499938965;0.0616666712;1;0.0099999998;9;0.3330000043;0.3000000119;5;0;0.1000000015;0.0149999997;0.28125;0.0041071647;24.5743560791;24.7624835968;96.2577896118;0.5299999714;0.0160000008;5;10;8;10000;0.0799999982;3;1;1;0.1666666716;0.5279999971;0.9499999881;1.90132e-05;0.150000002235174;0.550416666803261;0.95;1;0.11;0.577;0.16;0.248
3;3;0;1;11.6448221207;0.5598162413;0.9749494195;0.222665906;2.4323608875;0.0351999998;0.6940000057;12.5;1;1;0.800000011920929;0.1000000015;0.5;275.6499938965;0.03166667;1;0.0099999998;9;0.3330000043;0.3000000119;5;0;0.1000000015;0.0149999997;0.1875;0.0029858518;49.6025009155;49.9060745239;96.2577896118;0.7099999785;0.0160000008;5;10;8;10000;0.0799999982;3;0.5;0.5;0.1666666716;0.5279999971;0.9499999881;1.90132e-05;0.150000002235174;0.550416666803261;0.95;1;0.11;0.577;0.16;0.248
4;4;0;1;9.6634206772;0.7096262574;0.9749494195;0.2822525501;2.4323608875;0.0351999998;0.6940000057;6.25;1;1;0.800000011920929;0.1000000015;0.5;275.6499938965;0;1;0.0099999998;9;0.3330000043;0.3000000119;5;0;0.1000000015;0.0149999997;0.09375;0.0024778002;112.2281112671;112.4855804443;96.2577896118;0.8999999762;0.0160000008;5;10;8;10000;0.0799999982;3;0.3333333433;0.3333333433;0.1666666716;0.5279999971;0.9499999881;1.90132e-05;0.150000002235174;0.550416666803261;0.95;1;0.11;0.577;0.16;0.248
5;5;1;1;22;0.0799999982;1;1e-05;1;0.4778000116;-0.75;18.2999992371;1;1;0.84;0.0500000007;0.150000006;193.1499938965;0.0659999996;1;0.0099999998;9;0.3333333433;0.3000000119;0;0;0.25;0.0149999997;0.2744999826;0.0056410255;18.3122673035;18.3132705688;3.9943094254;0.200000003;0.0160000008;1;20;4.7136998177;10000;0.0799999982;3;2;2;0;0.5279999971;0.9499999881;2.85199e-05;0.27;0.476851851851852;0.96;1;0.11;0.577;0.16;0.248
6;6;0;1;6;0.0240000002;1.8990000486;0.1469999999;2.2379999161;27.1399993896;-0.0388399996;11.3500003815;0;0.3463000059;0.735;0.0500000007;1.5;193.1499938965;0.0033928;0.7659999728;0.0099999998;7.1999998093;0.4503000081;0.3000000119;5;0;0.1000000015;0.0149999997;0.1702499986;0.0015384615;78.032623291;124.6847686768;77.7029876709;0;0.0160000008;1;20;4.7136998177;1000;0.0799999982;3;0.3333333433;3.9272179604;0;0.5279999971;0.9499999881;1.90132e-05;0.27;0.476851851851852;0.97;0.7900000215;0.11;0.577;0.16;0.248
7;7;0;1;9;0.0240000002;1.8990000486;0.1469999999;2.2379999161;27.1399993896;-0.0388399996;11.3500003815;0;0.3463000059;0.735;0.0500000007;1.5;263.1499938965;0.0043000001;0.7659999728;0.0099999998;7.1999998093;0.4503000081;0.3000000119;5;0;0.1000000015;0.0149999997;0.1702499986;0.0023076923;52.0217514038;106.0161056519;77.7029876709;0;0.0160000008;1;20;4.7136998177;1000;0.0799999982;3;0.3333333433;4.1178469658;0;0.5279999971;0.9499999881;1.90132e-05;0.27;0.476851851851852;0.97;0.7900000215;0.11;0.577;0.16;0.248
8;8;0;1;10;0.0454000011;1.6828999519;0.1616999954;2.1535999775;22.7900009155;-0.0444499999;4.5399999619;0;0.3463000059;0.735;0.0500000007;1.5;213.1499938965;0.0023568;0.001;0.0099999998;7.1999998093;0.4503000081;0.3000000119;5;0;0.1000000015;0.0149999997;0.0680999979;0.0025641026;108.4507446289;132.0868988037;64.0400543213;0;0.0160000008;1;20;4.7136998177;1000;0.0799999982;3;0.3333333433;3.8001320362;0;0.5279999971;0.9499999881;1.90132e-05;0.27;0.476851851851852;0.97;0.7900000215;0.11;0.577;0.16;0.248
9;9;0;1;45.1150474548;0.0129000004;1.747699976;0.0264800005;2.9595398903;22.6798992157;-0.0653399974;55.3603439331;2;0.7489436269;0.84;0.1000000015;1.5;-80;0.0061440002;1;0.0099999998;5.875711441;0.352211833;0.3119991422;5;0;0.1000000015;0.0216856059;0.5;0.0076923077;13.4641094208;17.8949623108;43.4928016663;0;0.0160000008;1;20.0096721649;4.9795532227;10000;0.0685264096;3;0;0.6872558594;0;2.9233357906;0.9499999881;0.0046430803;0.27;0.476851851851852;0.95;0.7900000215;0.11;0.577;0.16;0.248
10;10;0;1;30.946138382;0.0480000004;1.4550000429;0.1616999954;2.4572000504;25.1800003052;-0.0496399999;50.6562919617;2;1.069024682;0.84;0.1000000015;1.5;-80;0.0038079999;0.3249999881;0.0099999998;5.8132920265;0.3512042165;0.3158625066;5;0;0.1000000015;0.0084034;0.5;0.0062051285;19.3469314575;28.5154895782;59.3171386719;0;0.0160000008;1;20.091468811;5.0007896423;10000;0.0401261933;3;0;0.6836866736;0;2.9548773766;0.9499999881;0.0042998344;0.27;0.476851851851852;0.95;0.7900000215;0.11;0.577;0.16;0.248
