PEcAn;ED
ebifarm.acru;11
ebifarm.acsa3;11
ebifarm.c3grass;12
ebifarm.c4crop;15
ebifarm.c4grass;14
ebifarm.castanea;11
ebifarm.forb;12
ebifarm.liqui;9
ebifarm.misp;15
ebifarm.nfixer;12
ebifarm.pavi;15
ebifarm.platanus;11
ebifarm.prunus;9
ebifarm.quru;10
ebifarm.salix;9
saccharum;1
shrub;9
tempconif;7
tempdecid;9
temperate.Early_Hardwood;9
temperate.Evergreen_Hardwood;8
temperate.Hydric;9
temperate.Late_Conifer;8
temperate.Late_Hardwood;11
temperate.Mid_Conifer;8
temperate.Northern_Pine;6
temperate.North_Mid_Hardwood;10
temperate.Southern_Pine;7
temperate.South_Mid_Hardwood;10
tundra.deciduous;11
tundra.evergreen;8
tundra.grass;5
