%global
    time = "2022-01-01/48"
    
%groundwater
    id = "0"
    
%data
* *	*	watertable
2022	81	1	1.573
2022	81	2	1.574
2022	81	3	1.576
2022	81	4	1.577
2022	81	5	1.579
2022	81	6	1.58
2022	81	7	1.583
2022	81	8	1.585
2022	81	9	1.588
2022	81	10	1.588
2022	81	11	1.59
2022	81	12	1.592
2022	81	13	1.594
2022	81	14	1.594
2022	81	15	1.595
2022	81	16	1.595
2022	81	17	1.594
2022	81	18	1.593
2022	81	19	1.591
2022	81	20	1.588
2022	81	21	1.584
2022	81	22	1.585
2022	81	23	1.59
2022	81	24	1.594
2022	81	25	1.597
2022	81	26	1.6
2022	81	27	1.602
2022	81	28	1.604
2022	81	29	1.608
2022	81	30	1.61
2022	81	31	1.613
2022	81	32	1.615
2022	81	33	1.618
2022	81	34	1.621
2022	81	35	1.623
2022	81	36	1.626
2022	81	37	1.629
2022	81	38	1.632
2022	81	39	1.633
2022	81	40	1.634
2022	81	41	1.637
2022	81	42	1.638
2022	81	43	1.64
2022	81	44	1.642
2022	81	45	1.644
2022	81	46	1.647
2022	81	47	1.649
2022	81	48	1.651
2022	82	1	1.653
2022	82	2	1.656
2022	82	3	1.659
2022	82	4	1.661
2022	82	5	1.663
2022	82	6	1.667
2022	82	7	1.669
2022	82	8	1.671
2022	82	9	1.673
2022	82	10	1.677
2022	82	11	1.677
2022	82	12	1.676
2022	82	13	1.676
2022	82	14	1.678
2022	82	15	1.677
2022	82	16	1.677
2022	82	17	1.674
2022	82	18	1.67
2022	82	19	1.665
2022	82	20	1.661
2022	82	21	1.659
2022	82	22	1.66
2022	82	23	1.665
2022	82	24	1.667
2022	82	25	1.669
2022	82	26	1.669
2022	82	27	1.67
2022	82	28	1.671
2022	82	29	1.671
2022	82	30	1.672
2022	82	31	1.672
2022	82	32	1.672
2022	82	33	1.672
2022	82	34	1.673
2022	82	35	1.673
2022	82	36	1.674
2022	82	37	1.674
2022	82	38	1.675
2022	82	39	1.675
2022	82	40	1.674
2022	82	41	1.674
2022	82	42	1.675
2022	82	43	1.676
2022	82	44	1.678
2022	82	45	1.678
2022	82	46	1.68
2022	82	47	1.681
2022	82	48	1.683
2022	83	1	1.686
2022	83	2	1.688
2022	83	3	1.687
2022	83	4	1.69
2022	83	5	1.691
2022	83	6	1.692
2022	83	7	1.691
2022	83	8	1.694
2022	83	9	1.695
2022	83	10	1.696
2022	83	11	1.698
2022	83	12	1.697
2022	83	13	1.698
2022	83	14	1.698
2022	83	15	1.697
2022	83	16	1.697
2022	83	17	1.695
2022	83	18	1.691
