Species ,Number,Switch
Maple(Saccharinum),1,FTTFT
Yellow Birch(Betula Alleghaniensis),2,FFTTF
Hickory(Tomentosa),3,TFTFF
Chestnut(Dentana),4,TFFFF
Beech(Grandifolia),5,FFTFF
Spruce(Picea Glauca),6,FFFFF
White Pine(Pinus Strobus),7,TTTFF
hemlock(Tsuga Canadensis),8,FFTTF
Champion Oak(Quercus Rubra),9,TFFFF
elm(Ulmus Americana),10,FFTFF
tamarack(Larix Laricina),11,FTTTT
Green Ash(Fraxinus Pennsylvanica),12,FTFFF
Poplar(Populus Tremuloides),13,FFFFF
basswood(Tilia Americana),14,FFFTF
Fir (Abies Balsamea),15,FFTFF
Fir(ABIES FRASERI),16,FFTFF
Maple(Rubrum),17,FTTTF
Maple(Saccharum),18,FFTFF
Birch(Lenta,19,FTTTF
Hickory(Cordiformis),20,TFTFF
Hickory(Glabra),21,TFTFF
Hickory(Laciniosa),22,TFTFF
Hickory(OVATA),23,TFTFF
Hickory(TEXANA),24,TFTFF
Celtis Laevigata,25,TFFFF
Flowering Dogwood(Cornus Florida),26,FFTFF
White Ash(Fraxinus Americana),27,FTTTF
Black Ash(Fraxinus Nigra),28,FFFTT
Cherry(Prunus Pensylvanica),29,FFFFF
White Walnut(Juglans Cinerea),30,FTTFF
Black Walnut(Juglans Nigra),31,TFTFT
Red Cedar(Juniperus Virginiana),32,FTFFT
Sweetgum(Liquidambar Styraciflua),33,FFFTF
Tulip Tree(Liriodendron Tulipifera),34,FTFFT
Hornbean(Carpinus Caroliniana),35,FFFFF
Black Spruce(Picea Mariana),36,FFTFF
Red Spruce(Picea Rubens),37,FTTFF
Jack Pine(Pinus Banksiana),38,FFTTF
Shortleaf Pine(Pinus Echinata),39,FTFFF
Red Pine(Pinus Resinosa),40,FTTFF
Loblolly Pine(Pinus Teada),41,FTFFF
Virginia Pine(Pinus Virginiana),42,FTFFT
American Sycamore(Platanus Occidentalis),43,FTTFT
White Oak(Quercus Alba),44,TFFFF
Scarlet Oak(Quercus Coccinea),45,TFFFF
Spanish Oak(Quercus Falcata),46,TFFFF
Overcup Oak(Quercus Lyrata),47,TTTTF
Blackjack Oak(Quercus Marilandica),48,FFFFF
Red oak(Quercus Nuttallii),49,TFTFT
Chestnut Oak(Quercus Prinus),50,TFFFF
Spotted Oak(Quercus Shumardii),51,FTFFF
Post Oak(Quercus Stellata),52,TFFFF
Black Oak(Quercus Velutina),53,FTFFF
White Basswood(Tilia Heterophylla),54,FTTFF
Winged Elm(Ulmus Alata),55,FFFFF
Yellow Buckeye(Aesculus Octandra,56,TFTFF
Gray Birch(Betula Populifolia),57,FTFTF
Paper Birch(Betula Papyrifera),58,FTTTF
Blue Ash(Fraxinus Quadrangulata),59,FTFTF
Balsam Poplar(Populus Balsamifera),60,FFTFF
American Aspen(Populus Grandidentata),61,FFFTT
Bur Oak(Quercus Macrocarpa),62,TTFFF
Chinkapin Oak(Quercus Muehlenbergii),63,TTFFF
Swamp Oak(Quercus Palustris),64,TTTFT
Southern Live Oak(Quercus Virginiana),65,TTTFF
Northern White-Cedar(Thuja Occidentalis),66,TTTTF
Black Tupelo(Nyssa Sylvatica),67,FTFFF
Eastern Hophornbeam(Ostrya Virginiana),68,FTFFF
Black Cherry(Prunus Serotina),69,FFFTF
Pitch Pine(Pinus Rigida),70,FTFFF
Hill's Oak(Quercus ellipsoidalis),71,FTFTF
Northern Red Oak(Quercus Borealis),72,TFFFF
