class,name,slpots,slmsts,slbs,slcpd,soilcp,soilwp,slcons,slcons0,soilcond0,soilcond1,soilcond2,sfldcap,albwet,albdry,xsand,xclay,xsilt,xrobulk,slden
1,Sand,-0.049831046,0.37325,3.295,1584640,0.026183447,0.032636854,2.45E-05,0.0005,0.3,4.8,-2.7,0.132130936,0.229,0.352,0.92,0.03,0.05,1200,1600
2,Loamy sand,-0.067406224,0.38563,3.7945,1584809,0.041560499,0.050323046,1.78E-05,0.0006,0.3,4.66,-2.6,0.155181959,0.212,0.335,0.825,0.06,0.115,1250,1600
3,Sandy loam,-0.114261521,0.40721,4.629,1587042,0.073495043,0.085973722,1.02E-05,0.000769,0.29,4.27,-2.31,0.19403775,0.183,0.307,0.66,0.11,0.23,1300,1600
4,Silt loam,-0.566500112,0.47068,5.552,1568225,0.150665475,0.171711257,2.50E-06,0.0000106,0.27,3.47,-1.74,0.273082063,0.107,0.25,0.2,0.16,0.64,1400,1600
5,Loam,-0.260075834,0.44049,5.646,1588082,0.125192234,0.142369513,4.53E-06,0.0022,0.28,3.63,-1.85,0.246915025,0.14,0.268,0.41,0.17,0.42,1350,1600
6,Sandy clay loam,-0.116869181,0.41123,7.162,1636224,0.136417267,0.150969505,6.59E-06,0.0015,0.28,3.78,-1.96,0.249629687,0.163,0.26,0.59,0.27,0.14,1350,1600
7,Silty clay loam,-0.627769194,0.47822,8.408,1621562,0.228171947,0.248747504,1.44E-06,0.000107,0.26,2.73,-1.2,0.333825332,0.081,0.195,0.1,0.34,0.56,1500,1600
8,Clayey loam,-0.281968114,0.44698,8.342,1636911,0.192624431,0.210137962,2.72E-06,0.0022,0.27,3.23,-1.56,0.301335491,0.116,0.216,0.32,0.34,0.34,1450,1600
9,Sandy clay,-0.121283019,0.41562,9.538,1673422,0.18219891,0.196607427,4.31E-06,0.000002167,0.27,3.32,-1.63,0.286363001,0.144,0.216,0.52,0.42,0.06,1450,1600
10,Silty clay,-0.601312179,0.47909,10.461,1652723,0.263228486,0.282143846,1.06E-06,0.000001033,0.25,2.58,-1.09,0.360319788,0.068,0.159,0.06,0.47,0.47,1650,1600
11,Clay,-0.299226464,0.4544,12.46,1692037,0.259868987,0.275459057,1.31E-06,0.000001283,0.25,2.4,-0.96,0.353255209,0.083,0.14,0.2,0.6,0.2,1700,1600
12,Peat,-0.534564359,0.4692,6.18,874000,0.167047523,0.187868805,2.36E-06,0.000008,0.06,0.46,0,0.285709966,0.07,0.14,0.2,0.2,0.6,500,300
13,Bedrock,0,0,0,2130000,0,0,0.00E+00,0,4.6,0,0,0.000000001,0.32,0.32,0,0,0,0,0
