"year";"ppm"
1850;285.2
1851;285.1
1852;285
1853;285
1854;284.9
1855;285.1
1856;285.4
1857;285.6
1858;285.9
1859;286.1
1860;286.4
1861;286.6
1862;286.7
1863;286.8
1864;286.9
1865;287.1
1866;287.2
1867;287.3
1868;287.4
1869;287.5
1870;287.7
1871;287.9
1872;288
1873;288.2
1874;288.4
1875;288.6
1876;288.7
1877;288.9
1878;289.5
1879;290.1
1880;290.8
1881;291.4
1882;292
1883;292.5
1884;292.9
1885;293.3
1886;293.8
1887;294
1888;294.1
1889;294.2
1890;294.4
1891;294.6
1892;294.8
1893;294.7
1894;294.8
1895;294.8
1896;294.9
1897;294.9
1898;294.9
1899;295.3
1900;295.7
1901;296.3785
1902;296.7731
1903;297.1795
1904;297.5887
1905;297.9919
1906;298.3842
1907;298.7654
1908;299.1349
1909;299.4925
1910;299.838
1911;300.1709
1912;300.491
1913;300.801
1914;301.106
1915;301.4113
1916;301.7205
1917;302.0357
1918;302.3587
1919;302.6915
1920;303.036
1921;303.3941
1922;303.7677
1923;304.1587
1924;304.569
1925;304.9971
1926;305.4388
1927;305.8894
1928;306.3444
1929;306.7992
1930;307.2494
1931;307.6902
1932;308.117
1933;308.521
1934;308.8895
1935;309.2135
1936;309.4877
1937;309.7068
1938;309.8658
1939;309.9668
1940;310.019
1941;310.0358
1942;310.035
1943;310.0345
1944;310.0522
1945;310.0989
1946;310.1794
1947;310.2977
1948;310.4581
1949;310.6661
1950;310.928
1951;311.2503
1952;311.6395
1953;312.1015
1954;312.6341
1955;313.227
1956;313.8694
1957;314.5506
1958;315.2599
1959;315.9866
1960;316.7167
1961;317.4268
1962;318.106
1963;318.7638
1964;319.4402
1965;320.1901
1966;321.0398
1967;321.9713
1968;322.9779
1969;324.045
1970;325.1356
1971;326.2445
1972;327.3954
1973;328.5711
1974;329.723
1975;330.8865
1976;332.1331
1977;333.5012
1978;334.9617
1979;336.4614
1980;338.67
1981;339.84
1982;340.56
1983;342.21
1984;343.81
1985;345.3
1986;346.72
1987;348.44
1988;350.96
1989;352.59
1990;353.83
1991;355.18
1992;355.88
1993;356.6
1994;358.03
1995;359.85
1996;361.62
1997;362.76
1998;365.48
1999;367.56
2000;368.77
2001;370.36
2002;372.39
2003;374.94
2004;376.76
2005;378.78
2006;380.91
2007;383.37
2008;385.46
2009;386.95
2010;389.21
2011;391.15
