time,leaf.temp,leaf.par,leaf.vpd,leaf.atm_press,leaf.ca_conc,leaf.wind,A,cc,ci,rd,lim,ri,rs,rb
2005-01-01 00:00:00, 7.570001e+00,      0.0000,  0.16892374,   101325.00,    396.7669,  1.38200004,-0.295502173,   40.202407,   40.202407, 0.295502173,           0,           0, 1.934485e+02,           0
2005-01-01 00:30:00, 7.309991e+00,      0.0000,  0.15262476,   101325.00,    397.0764,  1.12500002,-0.285727694,   40.233766,   40.233766, 0.285727694,           0,           0, 1.901048e+02,           0
2005-01-01 01:00:00, 7.230005e+00,      0.0000,  0.14873322,   101325.00,    397.0563,  1.52100001,-0.282781330,   40.231731,   40.231731, 0.282781330,           0,           0, 1.889526e+02,           0
2005-01-01 01:30:00, 6.856989e+00,      0.0000,  0.12808806,   101325.00,    397.1498,  1.71099998,-0.269408145,   40.241206,   40.241206, 0.269408145,           0,           0, 1.842760e+02,           0
2005-01-01 02:00:00, 6.637994e+00,      0.0000,  0.11932309,   101325.00,    397.3823,  1.69099998,-0.261832097,   40.264762,   40.264762, 0.261832097,           0,           0, 1.810906e+02,           0
2005-01-01 02:30:00, 6.321008e+00,      0.0000,  0.10429977,   101325.00,    397.3710,  1.62799995,-0.251215401,   40.263621,   40.263621, 0.251215401,           0,           0, 1.773096e+02,           0
2005-01-01 03:00:00, 6.183008e+00,      0.0000,  0.09762185,   101325.00,    397.1360,  1.76100005,-0.246719472,   40.239808,   40.239808, 0.246719472,           0,           0, 1.758562e+02,           0
2005-01-01 03:30:00, 6.038995e+00,      0.0000,  0.09196085,   101325.00,    397.2994,  1.79299999,-0.242107498,   40.256363,   40.256363, 0.242107498,           0,           0, 1.740576e+02,           0
2005-01-01 04:00:00, 5.821008e+00,      0.0000,  0.08503467,   101325.00,    397.2996,  1.61299995,-0.235278836,   40.256384,   40.256384, 0.235278836,           0,           0, 1.713005e+02,           0
2005-01-01 04:30:00, 5.498010e+00,      0.0000,  0.07320464,   101325.00,    396.8987,  1.50100001,-0.225489694,   40.215762,   40.215762, 0.225489694,           0,           0, 1.678299e+02,           0
2005-01-01 05:00:00, 5.481012e+00,      0.0000,  0.07221536,   101325.00,    396.8987,  1.83900004,-0.224985191,   40.215762,   40.215762, 0.224985191,           0,           0, 1.676990e+02,           0
2005-01-01 05:30:00, 5.247003e+00,      0.0000,  0.06927074,   101325.00,    397.1512,  1.85600005,-0.218146042,   40.241350,   40.241350, 0.218146042,           0,           0, 1.644804e+02,           0
2005-01-01 06:00:00, 5.360986e+00,      0.0000,  0.07071878,   101325.00,    397.2777,  1.92000002,-0.221452718,   40.254166,   40.254166, 0.221452718,           0,           0, 1.659498e+02,           0
2005-01-01 06:30:00, 5.628015e+00,      0.0000,  0.08298974,   101325.00,    397.0134,  1.86000004,-0.229383216,   40.227384,   40.227384, 0.229383216,           0,           0, 1.685038e+02,           0
2005-01-01 07:00:00, 5.704004e+00,      0.0000,  0.08434620,   101325.00,    397.0134,  1.99400001,-0.231687926,   40.227384,   40.227384, 0.231687926,           0,           0, 1.695415e+02,           0
2005-01-01 07:30:00, 5.844995e+00,     59.8000,  0.08332479,   101325.00,    389.1188,  1.59399999, 3.636386085,   31.652919,   31.652919, 0.236021373,           3,           0, 1.318767e+01,           0
