t 1,soilscale    ,1, SOILSCALE: Temperature-moisture soil respiration scaling factor, -,
t 1,www_liq      ,2, soil liquid water content ,kg/m2,
t 1,www_ice      ,3, soil ice content,kg/m2,
t 1,soil_moist   ,4, total liq + ice soil moisture content,kg/m2,
t 1,icefrac      ,5, fraction of water that is ice,-,
t 1,liqfrac      ,6, fraction of water that is liquid, -,
t 1,satfrac      ,7, soil layer saturation fraction, -,
t 1,td           ,8, soil temperature ,K,
t 1,heat         ,9, total soil heat capacity,J M^-3 K^-1,
t 1,tcon        ,10, soil thermal conductivity,W m^-1 K^-1,
t 1,org_frac    ,11, organic fraction per layer,1/s,
t 1,carb_lay    ,12, total carbon per soil layer,mole/m2,
t 1,carb_den    ,13, total carbon density per soil layer, kg/m3,
t 1,carb_ffrac  ,14, frozen fraction of total soil carbon per soil layer,-,
t 1,carb_tfrac  ,15, thawed fraction of total soil carbon per soil layer,-,
t 1,resp_h_lay  ,16, total heterotrophic respiration per soil layer,micromol/m^2/s,
t 1,resp_m_lay  ,17, total methane flux per soil layer,micromol/m^2/s,
t 1,test2var1   ,18, generic test variable #1, TBD,
t 1,test2var2   ,19, generic test variable #2,TBD,
t 1,test2var3   ,20, generic test variable #3,TBD,
t 2,snow_heat   ,21, snow heat capacity, J M^-3 K^-1,
t 2,snow_tcon   ,22, snow thermal conductivity, W m^-1 K^-1,
t 2,snow_dz     ,23, snow layer thickness ,m,
t 2,snow_z      ,24, snow layer depth ,m,
t 2,snow_den    ,25, snow layer density,kg m^-3,
t 2,snow_liq    ,26, snow layer liquid water content,kg m^-3,
t 2,snow_ice    ,27, snow layer ice water content ,kg m^-3,
t 2,snow_mass   ,28, mass of snow liq+ice in each layer,kg/m^2,
t 2,snow_temp   ,29, snow layer temperature,K,
t 3,carb_pool   ,30, carbon pool size,mole C/m^2,
t 3,resp_pool   ,31, respiration per carbon pool,micromol/m^2/s,
t 3,pool_gain   ,32, carbon pool gains, mol/m^2,
t 3,pool_loss   ,33, carbon pool losses, mol/m^2,
t 3,k_rate      ,34, carbon pool decay rate constant,1/s,
t 0,ventmf       ,1, VENTMF: Ventilation mass flux, kg/m^2/s,
t 0,ustar        ,2, USTAR: Friction velocity ,m/s,
t 0,gt           ,3, GT: Lower boundary temperature, K,
t 0,tcan         ,4, CANOPY TEMPERATURE, K,
t 0,ev           ,5, EVAPORATION,mm/day,
t 0,snow_depth   ,6, snow depth on ground ,m,
t 0,snow_can     ,7, snow on canopy,kg/m^2,
t 0,runoff       ,8, RUNOFF,mm/day,
t 0,gl           ,9, GL: Leaf Conductance,gs/rc
t 0,testvar1    ,10, generic testing variable #1, ,
t 0,testvar2    ,11, generic testing variable #2, ,
t 0,testvar3    ,12, generic testing variable #3, ,
t 0,gs          ,13, GS: Stomatal conductance ,m/s,
t 0,ra          ,14, RA: Aerodynamic resistance,s/m
t 0,rb          ,15, RB: Bulk canopy boundary layer resistance,s/m,
t 0,rc          ,16, RC: Canopy resistance,s/m,
t 0,rd          ,17, RD: Ground-canopy air space resistance,s/m,
t 0,snow_bulk   ,18, snow_den_bulk: bulk snow density,kg/m^3,
t 0,d_active    ,19, active layer depth, m,
t 0,d_freeze    ,20, frozen layer depth, m
t 0,snow_area   ,21, fractional snow coverage, -,
t 0,snow_mass   ,22, mass of snow on ground, kg/m^2,
t 0,evt         ,23, EVT: Evapotranspiration,moles/m^2/s,
t 0,hfss        ,24, HFSS: Sensible heat flux, W/m^2,
t 0,fws         ,25, LATENT HEAT FLUX, W/m^2,
t 0,chf         ,26, CHF: Canopy heat storage flux, W/m^2,
t 0,shf         ,27, SHF: Soil heat storage flux, W/m^2,
t 0,hfc         ,28, HFC: Canopy sensible heat flux, W/m^2,
t 0,hfg         ,29, HFG: Soil surface sensible heat flux, W/m^2,
t 0,hfect       ,30, ECT: Canopy latent heat flux,transpiration, W/m^2,
t 0,hfeci       ,31, ECI: Canopy latent heat flux, intercepted, W/m^2,
t 0,hfegs       ,32, EGS: Soil surface latent heat flux, W/m^2,
t 0,hfegi       ,33, EGI: Soil surface latent heat flux,intercepted, W/m^2,
t 0,ea          ,34, EA: Canopy air space vapor pressure, mb,
t 0,ta          ,35, TA: Canopy air space temperature, K,
t 0,em          ,36, EM: Mixing layer vapor pressure, mb,
t 0,hura        ,37, HURA: Canopy air space relative humidity, -,
t 0,leaf_frac   ,38, Transfer fraction from storage pool to leaf pool, -,
t 0,root_frac   ,39, Transfer fraction from storage pool to root pool, -,
t 0,wood_frac   ,40, Transfer fraction from storage pool to wood pool, -,
t 0,snow_nsl    ,41, number of snow layers, -,
t 0,grnd_liq    ,42, ground liquid water store, kg/m^2,
t 0,canopy_liq  ,43, canopy liquid water store, kg/m^2,
t 0,mrtsoil     ,44, Total soil moisture, m,
t 0,pco2ap      ,45, canopy pco2, ppmv,
t 0,pco2s       ,46, leaf surface pco2, ppmv,
t 0,pco2i       ,47, leaf internal pco2, ppmv,
t 0,pco2c       ,48, chloroplast pco2, ppmv,
t 0,spdmsib     ,49, spdm_sib: Driver data-windspeed, m/s,
t 0,pssib       ,50, pl2g: Driver data-pressure, mb,
t 0,dlsprsib    ,51, dlspr_sib: Driver data-largescale precipitation, mm/hr,
t 0,dcuprsib    ,52, dcupr_sib: Driver data-cumulus precipitation, mm/hr,
t 0,tssib       ,53, ts_sib: Driver Data-Temp,  K,
t 0,tsib3       ,54, t_sib: Driver Data-Potential Temperature, K,
t 0,sh_sib      ,55, sh_sib: Driver Data-Mixed lyr H2O mixing ratio, kg/kg,
t 0,radvbc      ,56, radvbc: Driver Data-Visible Beam radiation, W/m^2,
t 0,radvdc      ,57, radvdc: Driver data-visible diffuse ratiation, W/m^2,
t 0,radnbc      ,58, radnbc: Driver data-NIR beam radiation, W/m^2,
t 0,radndc      ,59, radndc: Driver data-NIR diffuse radiation, W/m^2,
t 0,sw_dwn      ,60, sw_dwn: Driver downwelling shortwave radiation,W/m^2,
t 0,dlwbotsib   ,61, dlwbot: Driver data-longwave downward radiation, W/m^2,
t 0,carb_live   ,62, total live biomass, moles/m^2,
t 0,carb_dead   ,63, total dead biomass, moles/m^2,
t 0,carb_litter ,64, total litter carbon, moles/m^2,
t 0,carb_soil   ,65, total soil carbon, moles/m^2,
t 0,carb_awood  ,66, above ground wood biomass, moles/m^2,
t 0,carb_tot    ,67, total carbon, moles/m^2,
t 0,c_flux      ,68, turbulent flux out of canopy,,
t 0,assimn      ,69, ASSIMN: Canopy net photosynthesis,micromoles/m^2/s,
t 0,gpp         ,70, Gross Primary Productivity/photosynthesis,micromoles/m^2/s,
t 0,NEE_1       ,71, NEE: resp_tot - GPP,micromol/m^2/s,
