SPCD,PFT
12,8
311,11
313,11
314,11
315,11
316,11
317,11
318,11
319,11
331,11
355,11
367,10
371,9
372,9
373,9
375,9
379,9
391,11
401,9
402,10
403,10
404,10
405,10
407,10
408,10
409,10
421,11
450,9
461,10
462,10
471,10
43,8
491,11
500,10
521,11
531,11
541,10
543,10
544,10
546,10
551,9
552,9
555,8
571,9
580,11
591,8
601,10
602,10
57,8
71,9
611,9
621,10
641,9
651,10
652,8
654,10
653,8
680,10
691,9
692,9
693,10
701,10
711,11
721,8
94,8
95,8
97,8
131,7
105,6
107,7
110,7
111,7
115,7
121,7
123,7
125,6
126,6
128,7
129,6
131,7
132,7
722,9
731,11
741,9
742,9
743,9
746,9
766,9
761,9
762,9
763,9
800,10
802,10
804,10
806,10
809,10
812,10
816,10
817,10
819,10
822,9
823,10
825,10
826,10
827,10
830,10
831,10
845,10
833,10
834,10
835,10
837,10
838,8
901,9
921,9
922,9
920,9
931,10
935,10
222,9
221,9
241,8
953,11
952,11
951,11
950,11
950,11
261,8
971,10
972,10
973,10
975,10
970,10
970,10
977,10
