Table 9. -- Sources and general locations for all equations referenced (see Appendix A),,
,,
Reference no.,Reference,Origin
1,Acker and Easter 1994,Pacific Northwest
2,Adhikari et al. 1995,Himalayas
3,Anurag et al. 1989,India
4,Bajrang et al. 1996,North Indian plains
5,Baldwin 1989,Louisiana
6,Barclay et al. 1986,"Vancouver, BC"
7,Barney et al. 1978,Alaska
8,Bartelink 1996,Nertherlands
9,Baskerville 1965,New Brunswick
10,Baskerville 1966,New Brunswick
11,Bergez et al. 1988,central France
12,Bickelhaupt et al. 1973,New York
13,Binkley 1983,"British Columbia, Washington State"
14,Binkley et al. 1984,Pacific Northwest
15,Bockheim and Lee 1984,Wisconsin
16,Boerner and Kost 1986,Ohio
17,Bormann 1990,Southeastern Alaska
18,Brenneman et al. 1978,West Virginia
19,Bridge 1979,Rhode Island
20,Briggs et al. 1989,New York
21,Brown 1978,Rocky Mountains
22,Bunyavejchewin and Kiratiprayoon 1989,"Ratchaburi Province, Thailand"
23,Busing et al. 1993,Tennessee
24,Campbell et al. 1985,Alberta
25,Carlyle and Malcolm 1986,Great Britain
26,Carpenter 1983,Minnesota
27,Carter and White 1971,Alabama
29,Chapman and Gower 1991,Wisconsin
30,Chaturvedi and Singh 1982,Lesser Himalayas
31,Chojnacky 1984,Nevada
32,Chojnacky and Moisen 1993,Nevada
33,Clark et al. 1985,Gulf and Atlantic Coastal Plains
34,Clark et al. 1986a,Piedmont (Southeastern U.S.)
35,Clark et al. 1986b,Upland South
36,Clark and Schroeder 1986,"North Carolina, Georgia"
37,Clary and Tiedemann 1987,Utah
38,Clebsch 1971,Tennessee
39,Cochran et al. 1984,Pacific Northwest
40,Crow 1971,Maine
41,Crow 1976,North-central U.S.
42,Crow 1983,"Wisconsin, Michigan"
43,Darling 1967,Arizona
44,Dudley and Fownes 1992,Hawaii
45,Dunlap and Shipman 1967,Pennsylvania
47,Espinosa-Bancalari and Perry 1987,Oregon
48,Fassnacht 1996,Wisconsin
49,Felker et al. 1982,California
50,Feller 1992,British Columbia
51,Freedman 1984,Nova Scotia
52,Freedman et al. 1982,Nova Scotia
53,Gary 1976,"Wyoming, Colorado"
54,Gholz 1980,Oregon
55,Gholz et al. 1979,Pacific Northwest
56,Gholz et al. 1991,Florida
57,Goldsmith and Hocker 1978,New Hampshire
58,Gower et al. 1987,Washington
59,Gower et al. 1993a,"Wisconsin, Montana"
60,Gower et al. 1993b,Southwestern Wisconsin
61,Gower et al. 1992,New Mexico
62,Green and Grigal 1978,Minnesota
63,Grier et al. 1992,Arizona
64,Grier et al. 1984,Washington
65,Grier and Logan 1977,Oregon
66,Grigal and Kernik 1978,Minnesota
67,Harding and Grigal 1985,Minnesota
68,Harmon 1994,Pacific Northwest
69,Harrington et al. 1984,Oregon
70,Harris et al. 1973,Tennessee
71,Hegyi 1972,Ontario
72,Helgerson et al. 1988,Oregon
73,Heth and Donald 1978,"Cape Province, South Africa"
74,Hocker and Early 1983,New Hampshire
75,Honer 1971,Ontario
76,Ivask et al. 1988,
77,Jackson and Chittenden 1981,New Zealand
78,Johnston and Bartos 1977,"Utah, Wyoming"
79,Jokela et al. 1981,Minnesota
80,Jokela et al. 1986,New York
81,Ker 1980a,New Brunswick
82,Ker 1980b,Nova Scotia
83,Ker 1984,
84,Ker and van Raalte 1981,New Brunswick
85,Kimmins 1973,British Columbia
86,Kinerson and Bartholomew 1977,New Hampshire
87,King and Schnell 1972,"North Carolina, Kentucky, Tennessee"
88,Klopsch 1994,Pacific Northwest
89,Koerper 1994,Pacific Northwest
90,Koerper and Richardson 1980,Michigan
91,Krumlik 1974,British Columbia
92,Krumlik and Kimmins 1973,British Columbia
95,Landis and Mogren 1975,Colorado
96,Lieffers and Campbell 1984,Alberta
97,Lodhiyal et al. 1995,Central Himalayas
98,Loomis et al. 1966,Missouri Ozarks
99,Lovenstein and Berliner 1993,Israel
100,Maclean and Wein 1976,New Brunswick
101,Marshall and Wang 1995,British Columbia
102,Martin et al. 1998,North Carolina
103,McCain 1994,Pacific Northwest
104,Means et al. 1994,Pacific Northwest
105,Miller et al. 1981,"Nevada, eastern California"
106,Monk et al. 1970,Georgia
107,Monteith 1979,New York
108,Moore and Verspoor 1973,Quebec
109,Morrison 1990,Northern Ontario
110,Naidu et al. 1998,North Carolina
111,Nelson and Switzer 1975,Mississippi
112,Ouellet 1983,Quebec
113,Parker and Schneider 1975,Michigan
114,Pastor et al. 1984,Eastern U.S.
115,Pastor and Bockheim 1981,Wisconsin
116,Pearson et al. 1984,Wyoming
117,Perala and Alban 1994,North Central States
118,Peterson et al. 1970,Alberta
119,Phillips 1981,Southeast U.S.
120,Pollard 1972,Ontario
121,Rajeev et al. 1998,"Haryana, India"
122,Ralston 1973,North Carolina
123,Ralston and Prince 1965,North Carolina
124,Ramseur and Kelly 1981,Tennessee
125,Rawat and Singh 1993,Central Himalayas
126,Reid et al. 1974,
127,Reiners 1972,Minnesota
128,Rencz and Auclair 1980,Quebec
129,Reynolds et al. 1978,New Jersey
130,Ribe 1973,Maine
131,Rogerson 1964,Mississippi
132,Rolfe et al. 1978,Southern Illinois
133,Ruark and Bockheim 1988,Northern Wisconsin
134,Ruark et al. 1987,Wisconsin
135,Sachs 1984,Pacific Northwest
136,Santantonio et al. 1977,
137,Schmitt and Grigal 1981,
138,Schnell 1976,Tennessee
139,Schnell 1978,Tennessee
140,Schroeder et al. 1997,
141,Schubert et al. 1988,Hawaii
142,Siccama et al. 1994,New Hampshire
143,Singh 1984,Northwest Territories
144,Singh and Misra 1979,"Uttar Pradesh, India"
146,Snell and Little 1983,Pacific Northwest
147,Snell and Max 1985,Washington
148,Sollins and Anderson 1971,Southeastern U.S.
149,Sollins et al. 1973,Tennessee
150,St. Clair 1993,Oregon
151,Standish et al. 1985,British Columbia
152,Stanek and State 1978,British Columbia
153,Swank and Schreuder 1974,North Carolina
154,Tandon et al. 1988,"Haryana, India"
155,Telfer 1969,
156,Teller 1988,Belgium
157,Ter-Mikaelian and Korzukhin 1997,North America
158,Thies and Cunningham 1996,Oregon
159,Tritton and Hornbeck 1982,Northeastern U.S.
160,Tuskan and Rensema 1992,North Dakota
161,van Laar 1982,South Africa
162,Van Lear et al. 1984,South Carolina
163,Vertanen et al. 1994,Kenya
164,Wade 1969,Georgia
165,Wang et al. 1995,British Columbia
166,Wang et al. 1996,British Columbia
167,Waring et al. 1978,Oregon
168,Wartluft 1977,West Virginia
169,Watson and O'Loughlin 1990,New Zealand
170,Weetman and Harland 1964,Quebec
171,Westman 1987,"Sierra Nevada, California"
172,Whittaker et al. 1974,New Hampshire
173,Whittaker and Niering 1975,Arizona
174,Whittaker and Woodwell 1968,New York
175,Wiant et al. 1977,West Virginia
176,Williams and McClenahan 1984,Ohio
177,Young et al. 1980,Maine
