Table 3. -- Equations and parameters for diameter-based biomass equations,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species,Common Name,Component ID,Equation Form ID,a,b,c,d,e,Diameter,Corrected for bias,Bias correction (CF),r,R2,MinDiameter,MaxDiameter,Sample size,Stump height,Top d.o.b.,Units diameter,Units biomass,Component,Component sum,Ratio equation,Segmented equation,Equation number,Source,Notes
0,eastern conifers,2,7,0.5,15000,2.7,364946,,d.b.h.,no,0,0,0.98,1,72,83,0,,cm,kg,na,a,,,1,140,"assume 0-inch stump height, but data from other studies so stump heights are probably mixed; 43 pine, 30 spruce, 10 fir"
0,softwoods (general),3,1,-1.01,2.41,1,,,d.b.h.,no,0,0,0.99,0.8,34.1,108,6,,cm,kg,na,,,,1,51,no stump height; tree data also used for ref 52
0,softwoods (general),3,4,4.5966,-0.2364,0.00411,2,,d.b.h.,no,0,0,0.96,2.5,25,131,12,,mm,kg,na,,,,1,107,12-inch stump
0,softwoods (general),6,4,4.142,-0.227,0.003,2,,d.b.h.,no,0,0,0.97,12.5,55,131,12,0,mm,kg,na,,,,1,107,12-inch stump including entire bole (no branches)
0,softwoods (general),6,4,-6.221,-0.227,0.003,2,,d.b.h.,no,0,0,0.97,12.5,55,131,12,4,mm,kg,na,,,,1,107,12-inch stump to 10 cm (4-inch) top
0,softwoods (general),6,2,-3.787,0,2.767,1,,d.b.h.,yes,1.08,0,0.96,1,60,51,6,0,cm,kg,na,t,,,1,149,"some tree data points may overlap with ref 23 because data sources were from same compilation; assume 6-inch stump; bias correction described as ""K""; d.b.h. range estimates from text"
0,softwoods (general),13,2,-3.461,0,2.292,1,,d.b.h.,yes,1.26,0,0.95,1,60,51,,,cm,kg,na,t,,,1,149,"some tree data points may overlap with ref 23 because data sources were from same compilation; bias correction described as ""K""; d.b.h. range estimates from text"
0,softwoods (general),18,4,4.597,-0.236,0.004,2,,d.b.h.,no,0,0,0.96,12.5,55,131,12,0,mm,kg,na,,,,1,107,12-inch stump aboveground (whole tree including branches and foliage)
0,softwoods (general),18,2,-2.907,0,1.674,1,,d.b.h.,yes,1.34,0,0.91,1,60,65,,,cm,kg,na,t,,,1,149,"some tree data points may overlap with ref 23 because data sources were from same compilation; bias correction described as ""K""; d.b.h. range estimates from text"
10,fir sp.,4,2,-3.7389,0,2.6825,1,,d.b.h.,yes,0,0,0.97,8.7,111,20,6,0,cm,kg,na,,,,1,55,"includes data from published and unpublished sources, as well as original work; coefficients corrected for bias; assume 6-inch stump"
10,fir sp.,5,2,-6.1918,0,2.8796,1,,d.b.h.,yes,0,0,0.98,8.7,111,20,6,0,cm,kg,na,,,,1,55,"includes data from published and unpublished sources, as well as original work; coefficients corrected for bias; assume 6-inch stump"
10,fir sp.,8,2,-4.8287,0,2.5585,1,,d.b.h.,yes,0,0,0.95,8.7,111,26,,,cm,kg,na,,,,1,55,"includes data from published and unpublished sources, as well as original work; coefficients corrected for bias"
10,fir sp.,18,2,-3.4662,0,1.9287,1,,d.b.h.,yes,0,0,0.94,8.7,111,25,,,cm,kg,fl,,,,1,55,equation originally from ref 166; coefficients corrected for bias in ref 55
11,Pacific silver fir,3,4,-2029.05,6775.64,0,0,,d.b.h.,no,0,0,0.98,31,90.4,7,12,,cm,kg,agm,a,,,1,91,logarithmic equation also presented based on the same data; equations presented here do not require additional variables (additional equations in original reference)
11,Pacific silver fir,3,1,3.779,2.473,0,,,d.b.h.,no,0,0,0.99,31,90.4,7,12,,cm,kg,agm,,,,1,91,equations presented here do not require additional variables (additional equations in original reference)
11,Pacific silver fir,4,2,-3.5057,0,2.5744,1,,d.b.h.,yes,0,0,0.99,11.7,90.4,14,6,0,cm,kg,na,,,,1,55,"includes data from published and unpublished sources, as well as original work; coefficients corrected for bias; assume 6-inch stump"
11,Pacific silver fir,4,4,-1467.72,4769.21,0,0,,d.b.h.,no,0,0,0.97,31,90.4,7,12,1,cm,kg,na,,,,1,91,logarithmic equation also presented based on the same data; equations presented here do not require additional variables (additional equations in original reference)
11,Pacific silver fir,4,1,3.636,2.618,0,,,d.b.h.,no,0,0,0.99,31,90.4,7,12,1,cm,kg,na,,,,1,91,equations presented here do not require additional variables (additional equations in original reference)
11,Pacific silver fir,4,2,-10.0897,0,2.5942,1,,d.b.h.,no,0,0,0.946,8.1,109.3,143,6,0,cm,Mg,na,,,,1,104,see ref 68 for original bibliographic source; no mention of bias correction; assume 6-inch stump
11,Pacific silver fir,4,2,-9.69116,0,2.497,1,,d.b.h.,no,0,0,0.932,8.1,109.3,75,6,0,cm,Mg,na,,,,1,104,see ref 68 for original bibliographic source; no mention of bias correction; assume 6-inch stump
11,Pacific silver fir,4,2,-10.7366,0,2.7623,1,,d.b.h.,no,0,0,0.973,13.3,80,68,6,0,cm,Mg,na,,,,1,104,see ref 68 for original bibliographic source; no mention of bias correction; assume 6-inch stump
11,Pacific silver fir,5,2,-6.1166,0,2.8421,1,,d.b.h.,yes,0,0,0.99,11.7,90.4,14,6,0,cm,kg,na,,,,1,55,"includes data from published and unpublished sources, as well as original work; coefficients corrected for bias; assume 6-inch stump"
