site, pft
1000025731,temperate.broadleaf.deciduous
1000000048,boreal.coniferous
763,boreal.coniferous
1000000024,boreal.coniferous
796,temperate.broadleaf.deciduous
769,semiarid.grassland
772,boreal.coniferous
764,boreal.coniferous
765,boreal.coniferous	
1000000146,boreal.coniferous
678,temperate.broadleaf.deciduous
622,temperate.broadleaf.deciduous
1000000038,boreal.coniferous
757,temperate.broadleaf.deciduous
1000000028,semiarid.grassland
1000000423,temperate.broadleaf.deciduous
1000000057,temperate.broadleaf.deciduous
1000000031,temperate.broadleaf.deciduous
1000000119,temperate.broadleaf.deciduous
767,temperate.broadleaf.deciduous       
1000000045,temperate.broadleaf.deciduous
1000000095,temperate.broadleaf.deciduous
1000000086,temperate.broadleaf.deciduous
1000000085,temperate.broadleaf.deciduous
1000000100,temperate.broadleaf.deciduous
1000000413,temperate.broadleaf.deciduous
1000000145,temperate.broadleaf.deciduous
1000000132,temperate.broadleaf.deciduous
1000000061,temperate.broadleaf.deciduous
1000000053,semiarid.grassland
1000000131,temperate.broadleaf.deciduous
1000000041,temperate.broadleaf.deciduous
1000000058,temperate.broadleaf.deciduous
1000000106,temperate.broadleaf.deciduous
1000000040,temperate.broadleaf.deciduous
1000000033,temperate.broadleaf.deciduous
1000000420,semiarid.grassland
1000000422,boreal.coniferous
1000000093,temperate.broadleaf.deciduous
1000000052,temperate.broadleaf.deciduous
1000000069,temperate.broadleaf.deciduous
1000000112,temperate.broadleaf.deciduous
768,temperate.broadleaf.deciduous
755,temperate.broadleaf.deciduous
773,temperate.broadleaf.deciduous
761,temperate.broadleaf.deciduous
1000000134,temperate.broadleaf.deciduous
1000000042,temperate.broadleaf.deciduous
1000000047,temperate.broadleaf.deciduous
1000000142,temperate.broadleaf.deciduous
