"","site_id","site_name","lat","lon","sda_id","sda_name"
"1","622","Sylvania Wilderness (US-Syv)","46.242017","-89.347567","2000002575","CMS_500_SDA_-8946"
"2","678","Park Falls WLEF (US-PFa)","45.9408","-90.27","2000002574","CMS_500_SDA_-9046"
"3","755","Duke Forest-hardwoods (US-Dk2)","35.9736","-79.1004","2000002602","CMS_500_SDA_-7936"
"4","757","Fort Peck (US-FPe)","48","-106.44","2000002577","CMS_500_SDA_-10648"
"5","761","Fermi National Accelerator Laboratory-Prairie site (US-IB2)","41.8406","-88.241","2000002606","CMS_500_SDA_-8842"
"6","763","Metolius-intermediate aged ponderosa pine (US-Me2)","44.4524","-121.557","2000002567","CMS_500_SDA_-12244"
"7","764","Metolius-second young aged pine (US-Me3)","44.3157","-121.608","2000002571","CMS_500_SDA_-12244"
"8","765","Metolius-old aged ponderosa pine (Us-Me4)","44.4992","-121.622","2000002572","CMS_500_SDA_-12244"
"9","767","Morgan Monroe State Forest (US-MMS)","39.3231","-86.4131","2000002583","CMS_500_SDA_-8639"
"10","768","Missouri Ozark Site/BREA (US-MOz)","38.7441","-92.2","2000002598","CMS_500_SDA_-9239"
"11","769","Mead - irrigated continuous maize site (US-Ne1)","41.1651","-96.4766","2000002569","CMS_500_SDA_-9641"
"12","772","Niwot Ridge Forest/LTER NWT1 (US-NR1)","40.0329","-105.546","2000002570","CMS_500_SDA_-10640"
"13","773","Shidler (US-Shd)","36.9333","-96.6833","2000002605","CMS_500_SDA_-9737"
"14","796","Bartlett Experimental Forest (US-Bar)","44.06464","-71.288077","2000002568","CMS_500_SDA_-7144"
"15","1000000028","Freeman Ranch- Woodland (US-FR3)","29.94","-97.99","2000002578","CMS_500_SDA_-9830"
"16","1000000031","Goodwin Creek (US-Goo)","34.2547","-89.8735","2000002581","CMS_500_SDA_-9034"
"17","1000000033","UMBS Disturbance (US-UMd)","45.5625","-84.6975","2000002599","CMS_500_SDA_-8546"
"18","1000000038","Kennedy Space Center (slash pine) (US-KS1)","28.4583","-80.6709","2000002576","CMS_500_SDA_-8128"
"19","1000000040","KUOM tower (US-KUO)","44.9984","-93.1884","2000002596","CMS_500_SDA_-9345"
"20","1000000041","Little Prospect Hill (US-LPH)","42.5419","-72.185","2000002594","CMS_500_SDA_-7243"
"21","1000000042","Little Washita Watershed (US-LWW)","34.9604","-97.9789","2000002610","CMS_500_SDA_-9835"
"22","1000000045","NC_Clearcut (US-NC1)","35.8115","-76.7115","2000002584","CMS_500_SDA_-7736"
"23","1000000047","Corral Pocket (US-Cop)","38.09","-109.39","2000002609","CMS_500_SDA_-10938"
"24","1000000048","Southern California Climate Gradient Sierran Mixed Conifer (US-CZ3)","37.0678","-119.1944","2000002566","CMS_500_SDA_-11937"
"25","1000000052","Olentangy River Wetland Research Park (US-ORv)","40.0201","-83.0183","2000002603","CMS_500_SDA_-8340"
"26","1000000053","ARM USDA UNL OSU Woodward Switchgrass 1 (US-AR1)","36.4267","-99.42","2000002592","CMS_500_SDA_-9936"
"27","1000000057","Aiken (US-Akn)","33.3833","-81.5656","2000002580","CMS_500_SDA_-8233"
"28","1000000061","Oak Openings (US-Oho)","41.5545","-83.8438","2000002591","CMS_500_SDA_-8442"
"29","1000000069","Slashpine-Austin Cary- 65yrs nat regen (US-SP1)","29.7381","-82.2188","2000002604","CMS_500_SDA_-8230"
"30","1000000086","Everglades (short hydroperiod marsh) (US-Esm)","25.4379","-80.5946","2000002586","CMS_500_SDA_-8125"
"31","1000000095","Sevilleta (LTER desert shrubland) (US-Ses)","34.3349","-106.7442","2000002585","CMS_500_SDA_-10734"
"32","1000000106","ULM Flux Tower (US-ULM)","32.457","-91.9743","2000002597","CMS_500_SDA_-9232"
"33","1000000112","Nebraska SandHills Dry Valley (US-SdH)","42.0693","-101.4072","2000002607","CMS_500_SDA_-10142"
"34","1000000119","Lindcove Orange Orchard (US-Lin)","36.3566","-119.8423","2000002582","CMS_500_SDA_-12036"
"35","1000000131","Audubon Research Ranch (US-Aud)","31.5907","-110.5104","2000002593","CMS_500_SDA_-11132"
"36","1000000132","Black Hills (US-Blk)","44.158","-103.65","2000002590","CMS_500_SDA_-10444"
"37","1000000134","South Denver Urban Tower (US-SDU)","39.6594","-105.0127","2000002611","CMS_500_SDA_-10540"
"38","1000000142","Brookings (US-Bkg)","44.3453","-96.8362","2000002608","CMS_500_SDA_-9744"
"39","1000000145","Chestnut Ridge (US-ChR)","35.9311","-84.3324","2000002589","CMS_500_SDA_-8436"
"40","1000000146","Fort Dix (US-Dix)","39.9712","-74.4346","2000002573","CMS_500_SDA_-7440"
"41","1000000413","Jasper Ridge (US-Jas)","37.4021","-122.221","2000002588","CMS_500_SDA_-12237"
"42","1000000420","Riparian Meadow (US-Rip)","46.9454","-110.8872","2000002600","CMS_500_SDA_-11147"
"43","1000000423","Juniper Woodland Site (US-Ru1)","40.2593","-112.4781","2000002579","CMS_500_SDA_-11240"
