"","FLUX.id","site.id"
"1","BR-Sa3","1000000011"
"2","CA-Cha","1000000012"
"3","CA-NS7","739"
"4","CA-TP1","747"
"5","CR-Lse","1000000013"
"6","MX-Lpa","1000000014"
"7","US-Ctn","1000000015"
"8","US-Wi4","1000000016"
"9","US-Bn1","1000000017"
"10","US-Dk1","1000000018"
"11","US-Ho1","759"
"12","US-Ho2","1000000019"
"13","US-Ho3","1000000020"
"14","US-HVa","1000000021"
"15","US-IB1","760"
"16","US-IB2","761"
"17","US-Ivo","762"
"18","US-Dk2","755"
"19","US-Dk3","756"
"20","US-MRf","1000000022"
"21","US-Fmf","1000000023"
"22","US-Fuf","1000000024"
"23","US-Fwf","1000000025"
"24","US-FPe","757"
"25","US-FR1","1000000026"
"26","US-FR2","1000000027"
"27","US-FR3","1000000028"
"28","US-GLE","1000000029"
"29","US-GMF","1000000030"
"30","US-Goo","1000000031"
"31","US-Ha1","758"
"32","US-Ha2","1000000032"
"33","US-UMd","1000000033"
"34","US-An3","1000000034"
"35","US-Kon","1000000035"
"36","US-Tw4","1000000036"
"37","US-Sta","1000000037"
"38","US-KS1","1000000038"
"39","US-KS2","1000000039"
"40","US-KUO","1000000040"
"41","US-Los","679"
"42","US-LPH","1000000041"
"43","US-LWW","1000000042"
"44","US-Me1","1000000043"
"45","US-Me2","763"
"46","US-Me3","764"
"47","US-Me4","1000000044"
"48","US-Me5","766"
"49","US-MMS","767"
"50","US-NC1","1000000045"
"51","US-NC2","1000000009"
"52","US-Me6","1000000046"
"53","US-Cop","1000000047"
"54","US-SCm","1000000048"
"55","US-ICs","1000000049"
"56","US-ICt","1000000050"
"57","US-ICh","1000000051"
"58","US-ORv","1000000052"
"59","US-AR1","1000000053"
"60","US-AR2","1000000054"
"61","US-Myb","1000000055"
"62","US-Twt","1000000056"
"63","US-Akn","1000000057"
"64","US-Ylw","1000000058"
"65","US-Tw1","1000000059"
"66","US-Tw2","1000000060"
"67","US-Ne1","769"
"68","US-Ne2","770"
"69","US-Ne3","771"
"70","US-NR1","772"
"71","US-Oho","1000000061"
"72","US-PFa","678"
"73","US-Pon","1000000062"
"74","US-Ro1","1000000063"
"75","US-Ro3","1000000064"
"76","US-Snd","1000000065"
"77","US-Shd","773"
"78","US-Slt","1000000066"
"79","US-SO2","774"
"80","US-SO3","1000000067"
"81","US-SO4","1000000068"
"82","US-SP1","1000000069"
"83","US-SP2","1000000070"
"84","US-SP3","1000000071"
"85","US-SP4","1000000072"
"86","US-SRM","1000000073"
"87","US-Skr","1000000074"
"88","US-Syv","622"
"89","US-Ton","775"
"90","US-UMB","776"
"91","US-Var","777"
"92","US-WBW","1000000075"
"93","US-WCr","676"
"94","US-Wkg","1000000076"
"95","US-Whs","1000000077"
"96","US-Wrc","1161"
"97","US-Wlr","1000000078"
"98","US-SCs","1000000079"
"99","US-SCc","1000000080"
"100","US-SCg","1000000081"
"101","US-SCf","1000000082"
"102","US-SCw","1000000083"
"103","US-SCd","1000000084"
"104","US-Elm","1000000085"
"105","US-Esm","1000000086"
"106","US-Wjs","1000000087"
"107","US-KCM","1000000088"
"108","US-Vcm","1000000089"
"109","US-Vcp","1000000090"
"110","US-Mpj","1000000091"
"111","US-SJ1","1000000092"
"112","US-SJ2","1000000093"
"113","US-Seg","1000000094"
"114","US-Ses","1000000095"
"115","US-SRC","1000000096"
"116","US-Tw3","1000000097"
"117","US-EML","1000000098"
"118","US-Dea","1000000099"
"119","US-Deu","1000000100"
"120","US-Bes","1000000101"
"121","CR-SoC","1000000102"
"122","CA-TP2","748"
"123","CA-TP3","749"
"124","CA-TP4","750"
"125","CA-WP1","723"
"126","CA-WP2","1000000103"
"127","CA-WP3","1000000104"
"128","US-MOz","768"
"129","PA-Bar","1000000105"
"130","US-ULM","1000000106"
"131","US-CPk","1000000107"
"132","US-Wdn","1000000108"
"133","CA-TPD","1000000109"
"134","US-Prr","1000000110"
"135","US-SRG","1000000111"
"136","US-SdH","1000000112"
"137","US-An1","1000000113"
"138","US-An2","1000000114"
"139","US-SFP","1000000115"
"140","US-KFS","1000000116"
"141","US-KUT","1000000117"
"142","US-Dia","1000000118"
"143","US-Lin","1000000119"
"144","US-Wi1","1000000120"
"145","US-Wi0","1000000121"
"146","US-Wi2","1000000122"
"147","US-Wi3","1000000123"
"148","US-Wi5","1000000124"
"149","US-Wi6","1000000125"
"150","US-Wi7","1000000126"
"151","US-Wi8","1000000127"
"152","US-Wi9","1000000128"
"153","US-ARb","1000000129"
"154","US-ARc","1000000130"
"155","US-ARM","751"
"156","US-Aud","1000000131"
"157","US-Atq","778"
"158","US-Bar","796"
"159","US-Blk","1000000132"
"160","US-Blo","752"
"161","BR-Sa1","1000000133"
"162","US-SDU","1000000134"
"163","US-Upa","1000000135"
"164","US-Bn2","1000000136"
"165","US-Bn3","1000000137"
"166","US-Bo1","753"
"167","US-Bo2","1000000138"
"168","US-Br1","1000000139"
"169","US-Br2","1000000140"
"170","US-Br3","1000000141"
"171","US-Bkg","1000000142"
"172","US-Brw","754"
"173","US-CaV","1000000143"
"174","US-Ced","1000000144"
"175","US-ChR","1000000145"
"176","US-Dix","1000000146"
"177","CA-Ca1","727"
"178","CA-Ca2","728"
"179","CA-Ca3","729"
"180","CA-Cbo","1000000147"
"181","CA-Gro","730"
"182","CA-Let","731"
"183","CA-Man","506"
"184","CA-Mer","732"
"185","CA-Na1","1000000148"
