material,crop_structure,app_rate_min,app_rate_max,total_n_min_lbs_acre,total_n_max_lbs_acre,source,total_n_min_g_m2,total_n_max_g_m2
Alfalfa hay,rows,8000,10600,246.15,326.15,"Eghball, UNL Extension",27.59,36.556
Alfalfa hay,trees,8000,10600,246.15,326.15,"Eghball, UNL Extension",27.59,36.556
Apple pomace,rows,8000,10600,152.38,201.9,"Eghball, UNL Extension",17.079,22.63
Apple pomace,trees,8000,10600,152.38,201.9,"Eghball, UNL Extension",17.079,22.63
Bark,rows,8000,10600,27.83,36.87,"Eghball, UNL Extension",3.119,4.133
Bark,trees,8000,10600,27.83,36.87,"Eghball, UNL Extension",3.119,4.133
Blood meal,rows,4400,7200,440,720,"Eghball, UNL Extension",49.317,80.701
Blood meal,trees,3000,5800,300,580,"Eghball, UNL Extension",33.625,65.009
Coffee grounds,rows,8000,10600,160,212,"Eghball, UNL Extension",17.934,23.762
Coffee grounds,trees,8000,10600,160,212,"Eghball, UNL Extension",17.934,23.762
Corn cobs,rows,8000,10600,37.65,49.88,"Eghball, UNL Extension",4.22,5.591
Corn cobs,trees,8000,10600,37.65,49.88,"Eghball, UNL Extension",4.22,5.591
Corn stalks,rows,8000,10600,49.23,65.23,"Rynk, NC State Extension",5.518,7.311
Corn stalks,rows,8000,10600,40,53,"Eghball, UNL Extension",4.483,5.94
Corn stalks,trees,8000,10600,49.23,65.23,"Rynk, NC State Extension",5.518,7.311
Corn stalks,trees,8000,10600,40,53,"Eghball, UNL Extension",4.483,5.94
Cow manure,rows,8000,10600,142.22,188.44,"Rynk, NC State Extension",15.941,21.121
Cow manure,rows,8000,10600,160,212,"Eghball, UNL Extension",17.934,23.762
Cow manure,trees,8000,10600,142.22,188.44,"Rynk, NC State Extension",15.941,21.121
Cow manure,trees,8000,10600,160,212,"Eghball, UNL Extension",17.934,23.762
Dry leaves,rows,8000,10600,58.18,77.09,"Rynk, NC State Extension",6.521,8.641
Dry leaves,trees,8000,10600,58.18,77.09,"Rynk, NC State Extension",6.521,8.641
Fruit waste,rows,8000,10600,91.43,121.14,"Eghball, UNL Extension",10.248,13.578
Fruit waste,trees,8000,10600,91.43,121.14,"Eghball, UNL Extension",10.248,13.578
Grass,rows,8000,10600,172.97,229.19,"Rynk, NC State Extension",19.387,25.689
Grass,trees,8000,10600,172.97,229.19,"Rynk, NC State Extension",19.387,25.689
Grass clippings,rows,8000,10600,172.97,229.19,"Eghball, UNL Extension",19.387,25.689
Grass clippings,trees,8000,10600,172.97,229.19,"Eghball, UNL Extension",19.387,25.689
Horse manure,rows,8000,10600,128,169.6,"Rynk, NC State Extension",14.347,19.01
Horse manure,trees,8000,10600,128,169.6,"Rynk, NC State Extension",14.347,19.01
Leaves,rows,8000,10600,53.33,70.67,"Eghball, UNL Extension",5.977,7.921
Leaves,trees,8000,10600,53.33,70.67,"Eghball, UNL Extension",5.977,7.921
