material,material_class,cn_min,cn_max,cn_avg,n_pct,pan_pct,n_class,source
Alfalfa hay,ag,13,13,13,3.08,16.15,LOWER,"Eghball, UNL Extension"
Apple pomace,food,21,21,21,1.9,-1.43,LOWER,"Eghball, UNL Extension"
Bark,wood,100,130,115,0.35,-24.78,LOWER,"Eghball, UNL Extension"
Blood meal,ag,4,4,4,10,60,HIGHER,"Eghball, UNL Extension"
Coffee grounds,food,20,20,20,2,0,LOWER,"Eghball, UNL Extension"
Corn cobs,ag,50,120,85,0.47,-22.94,LOWER,"Eghball, UNL Extension"
Corn stalks,ag,60,70,65,0.62,-20.77,LOWER,"Rynk, NC State Extension"
Corn stalks,ag,80,80,80,0.5,-22.5,LOWER,"Eghball, UNL Extension"
Cow manure,ag,20,25,22.5,1.78,-3.33,LOWER,"Rynk, NC State Extension"
Cow manure,ag,20,20,20,2,0,LOWER,"Eghball, UNL Extension"
Dry leaves,yard,30,80,55,0.73,-19.09,LOWER,"Rynk, NC State Extension"
Fruit waste,food,35,35,35,1.14,-12.86,LOWER,"Eghball, UNL Extension"
Grass,yard,12,25,18.5,2.16,2.43,LOWER,"Rynk, NC State Extension"
Grass clippings,yard,12,25,18.5,2.16,2.43,LOWER,"Eghball, UNL Extension"
Horse manure,ag,20,30,25,1.6,-6,LOWER,"Rynk, NC State Extension"
Leaves,yard,40,80,60,0.67,-20,LOWER,"Eghball, UNL Extension"
Manure — cow and horse,ag,20,25,22.5,1.78,-3.33,LOWER,"Eghball, UNL Extension"
Manure — poultry (fresh),ag,10,10,10,4,30,HIGHER,"Eghball, UNL Extension"
Manure with litter — horse,ag,30,60,45,0.89,-16.67,LOWER,"Eghball, UNL Extension"
Manure with litter — poultry,ag,13,18,15.5,2.58,8.71,LOWER,"Eghball, UNL Extension"
Newspaper,wood,400,800,600,0.07,-29,LOWER,"Rynk, NC State Extension"
"Newspaper, shredded",wood,400,800,600,0.07,-29,LOWER,"Eghball, UNL Extension"
Paper,wood,150,200,175,0.23,-26.57,LOWER,"Eghball, UNL Extension"
Pine needles,yard,80,80,80,0.5,-22.5,LOWER,"Eghball, UNL Extension"
Poultry litter,ag,5,20,12.5,3.2,18,LOWER,"Rynk, NC State Extension"
Sawdust and wood chips,wood,100,500,300,0.13,-28,LOWER,"Eghball, UNL Extension"
Straw,ag,40,100,70,0.57,-21.43,LOWER,"Rynk, NC State Extension"
Straw — oats and wheat,ag,70,80,75,0.53,-22,LOWER,"Eghball, UNL Extension"
Swine manure,ag,8,20,14,2.86,12.86,LOWER,"Rynk, NC State Extension"
Vegetable waste,food,10,20,15,2.67,10,LOWER,"Rynk, NC State Extension"
Vegetable waste,food,12,20,16,2.5,7.5,LOWER,"Eghball, UNL Extension"
Woodchips,wood,100,500,300,0.13,-28,LOWER,"Rynk, NC State Extension"
