Material	C_MIN (C:N)	C_MAX (C:N)	C_Avg (C:N)	C_Assumed (%)	Total N (%)	4 week PAN (%)	LowerN/HigherN	RowsMIN_AppRate (tons/acre)	RowsMIN_AppRate (lbs/acre)	RowsMIN_Total_N (lbs N/acre)	RowsMIN_Avail_N (lbs N/acre)	RowsMIN_Total_C (lbs C/acre)	RowsMAX_AppRate (tons/acre)	RowsMAX_AppRate (lbs/acre)	RowsMAX_Total_N (lbs N/acre)	RowsMAX_Avail_N (lbs N/acre)	RowsMAX_Total_C (lbs C/acre)	TreesMIN_AppRate (tons/acre)	TreesMIN_AppRate (lbs/acre)	TreesMIN_Total_N (lbs N/acre)	TreesMIN_Avail_N (lbs N/acre)	TreesMIN_Total_C (lbs C/acre)	TreesMAX_AppRate (tons/acre)	TreesMAX_AppRate (lbs/acre)	TreesMAX_Total_N (lbs N/acre)	TreesMAX_Avail_N (lbs N/acre)	TreesMAX_Total_C (lbs C/acre)	Source
Alfalfa hay	13.00	13.00	13.00	40.00%	3.08	16.15	LOWER	4.00	8000.00	246.15	39.76	98.46	5.30	10600.00	326.15	52.69	130.46	4.00	8000.00	246.15	39.76	98.46	5.30	10600.00	326.15	52.69	130.46	Eghball, UNL Extension
Apple pomace	21.00	21.00	21.00	40.00%	1.90	-1.43	LOWER	4.00	8000.00	152.38	-2.18	60.95	5.30	10600.00	201.90	-2.88	80.76	4.00	8000.00	152.38	-2.18	60.95	5.30	10600.00	201.90	-2.88	80.76	Eghball, UNL Extension
Bark	100.00	130.00	115.00	40.00%	0.35	-24.78	LOWER	4.00	8000.00	27.83	-6.90	11.13	5.30	10600.00	36.87	-9.14	14.75	4.00	8000.00	27.83	-6.90	11.13	5.30	10600.00	36.87	-9.14	14.75	Eghball, UNL Extension
Blood meal	4.00	4.00	4.00	40.00%	10.00	60.00	HIGHER	2.20	4400.00	440.00	264.00	176.00	3.60	7200.00	720.00	432.00	288.00	1.50	3000.00	300.00	180.00	120.00	2.90	5800.00	580.00	348.00	232.00	Eghball, UNL Extension
Coffee grounds	20.00	20.00	20.00	40.00%	2.00	0.00	LOWER	4.00	8000.00	160.00	0.00	64.00	5.30	10600.00	212.00	0.00	84.80	4.00	8000.00	160.00	0.00	64.00	5.30	10600.00	212.00	0.00	84.80	Eghball, UNL Extension
Corn cobs	50.00	120.00	85.00	40.00%	0.47	-22.94	LOWER	4.00	8000.00	37.65	-8.64	15.06	5.30	10600.00	49.88	-11.44	19.95	4.00	8000.00	37.65	-8.64	15.06	5.30	10600.00	49.88	-11.44	19.95	Eghball, UNL Extension
Corn stalks	60.00	70.00	65.00	40.00%	0.62	-20.77	LOWER	4.00	8000.00	49.23	-10.22	19.69	5.30	10600.00	65.23	-13.55	26.09	4.00	8000.00	49.23	-10.22	19.69	5.30	10600.00	65.23	-13.55	26.09	Rynk, NC State Extension
Corn stalks	80.00	80.00	80.00	40.00%	0.50	-22.50	LOWER	4.00	8000.00	40.00	-9.00	16.00	5.30	10600.00	53.00	-11.93	21.20	4.00	8000.00	40.00	-9.00	16.00	5.30	10600.00	53.00	-11.93	21.20	Eghball, UNL Extension
Cow manure	20.00	25.00	22.50	40.00%	1.78	-3.33	LOWER	4.00	8000.00	142.22	-4.74	56.89	5.30	10600.00	188.44	-6.28	75.38	4.00	8000.00	142.22	-4.74	56.89	5.30	10600.00	188.44	-6.28	75.38	Rynk, NC State Extension
Cow manure	20.00	20.00	20.00	40.00%	2.00	0.00	LOWER	4.00	8000.00	160.00	246.15	64.00	5.30	10600.00	212.00	0.00	84.80	4.00	8000.00	160.00	0.00	64.00	5.30	10600.00	212.00	0.00	84.80	Eghball, UNL Extension
Dry leaves	30.00	80.00	55.00	40.00%	0.73	-19.09	LOWER	4.00	8000.00	58.18	-11.11	23.27	5.30	10600.00	77.09	-14.72	30.84	4.00	8000.00	58.18	-11.11	23.27	5.30	10600.00	77.09	-14.72	30.84	Rynk, NC State Extension
Fruit waste	35.00	35.00	35.00	40.00%	1.14	-12.86	LOWER	4.00	8000.00	91.43	-11.76	36.57	5.30	10600.00	121.14	-15.58	48.46	4.00	8000.00	91.43	-11.76	36.57	5.30	10600.00	121.14	-15.58	48.46	Eghball, UNL Extension
