material,cn_min,cn_max,cn_avg,c_pct,n_pct,pan_pct,n_class,app_rate_min,app_rate_max,total_c_min_lbs_acre,total_c_max_lbs_acre,total_n_min_lbs_acre,total_n_max_lbs_acre,total_c_min_g_m2,total_c_max_g_m2,total_n_min_g_m2,total_n_max_g_m2,source
Alfalfa hay,13,13,13,40,3.08,16.15,LOWER,8000,10600,3200,4240,246.15,326.15,358.672,475.24,27.59,36.557,"Eghball, UNL Extension"
Apple pomace,21,21,21,40,1.9,-1.43,LOWER,8000,10600,3200,4240,152.38,201.9,358.672,475.24,17.08,22.63,"Eghball, UNL Extension"
Bark,100,130,115,40,0.35,-24.78,LOWER,8000,10600,3200,4240,27.83,36.87,358.672,475.24,3.119,4.133,"Eghball, UNL Extension"
Blood meal,4,4,4,40,10,60,HIGHER,4400,7200,1760,2880,440,720,197.27,322.805,49.317,80.701,"Eghball, UNL Extension"
Coffee grounds,20,20,20,40,2,0,LOWER,8000,10600,3200,4240,160,212,358.672,475.24,17.934,23.762,"Eghball, UNL Extension"
Corn cobs,50,120,85,40,0.47,-22.94,LOWER,8000,10600,3200,4240,37.65,49.88,358.672,475.24,4.22,5.591,"Eghball, UNL Extension"
Corn stalks,60,70,65,40,0.62,-20.77,LOWER,8000,10600,3200,4240,49.23,65.23,358.672,475.24,5.518,7.311,"Rynk, NC State Extension"
Corn stalks,80,80,80,40,0.5,-22.5,LOWER,8000,10600,3200,4240,40,53,358.672,475.24,4.483,5.941,"Eghball, UNL Extension"
Cow manure,20,25,22.5,40,1.78,-3.33,LOWER,8000,10600,3200,4240,142.22,188.44,358.672,475.24,15.941,21.121,"Rynk, NC State Extension"
Cow manure,20,20,20,40,2,0,LOWER,8000,10600,3200,4240,160,212,358.672,475.24,17.934,23.762,"Eghball, UNL Extension"
Dry leaves,30,80,55,40,0.73,-19.09,LOWER,8000,10600,3200,4240,58.18,77.09,358.672,475.24,6.521,8.641,"Rynk, NC State Extension"
Fruit waste,35,35,35,40,1.14,-12.86,LOWER,8000,10600,3200,4240,91.43,121.14,358.672,475.24,10.248,13.578,"Eghball, UNL Extension"
Grass,12,25,18.5,40,2.16,2.43,LOWER,8000,10600,3200,4240,172.97,229.19,358.672,475.24,19.387,25.689,"Rynk, NC State Extension"
Grass clippings,12,25,18.5,40,2.16,2.43,LOWER,8000,10600,3200,4240,172.97,229.19,358.672,475.24,19.387,25.689,"Eghball, UNL Extension"
Horse manure,20,30,25,40,1.6,-6,LOWER,8000,10600,3200,4240,128,169.6,358.672,475.24,14.347,19.01,"Rynk, NC State Extension"
Leaves,40,80,60,40,0.67,-20,LOWER,8000,10600,3200,4240,53.33,70.67,358.672,475.24,5.977,7.921,"Eghball, UNL Extension"
Manure — cow and horse,20,25,22.5,40,1.78,-3.33,LOWER,8000,10600,3200,4240,142.22,188.44,358.672,475.24,15.941,21.121,"Eghball, UNL Extension"
Manure — poultry (fresh),10,10,10,40,4,30,HIGHER,4400,7200,1760,2880,176,288,197.27,322.805,19.727,32.28,"Eghball, UNL Extension"
Manure with litter — horse,30,60,45,40,0.89,-16.67,LOWER,8000,10600,3200,4240,71.11,94.22,358.672,475.24,7.97,10.561,"Eghball, UNL Extension"
Manure with litter — poultry,13,18,15.5,40,2.58,8.71,LOWER,8000,10600,3200,4240,206.45,273.55,358.672,475.24,23.14,30.661,"Eghball, UNL Extension"
Newspaper,400,800,600,40,0.07,-29,LOWER,8000,10600,3200,4240,5.33,7.07,358.672,475.24,0.597,0.792,"Rynk, NC State Extension"
"Newspaper, shredded",400,800,600,40,0.07,-29,LOWER,8000,10600,3200,4240,5.33,7.07,358.672,475.24,0.597,0.792,"Eghball, UNL Extension"
Paper,150,200,175,40,0.23,-26.57,LOWER,8000,10600,3200,4240,18.29,24.23,358.672,475.24,2.05,2.716,"Eghball, UNL Extension"
Pine needles,80,80,80,40,0.5,-22.5,LOWER,8000,10600,3200,4240,40,53,358.672,475.24,4.483,5.941,"Eghball, UNL Extension"
Poultry litter,5,20,12.5,40,3.2,18,LOWER,8000,10600,3200,4240,256,339.2,358.672,475.24,28.694,38.019,"Rynk, NC State Extension"
Sawdust and wood chips,100,500,300,40,0.13,-28,LOWER,8000,10600,3200,4240,10.67,14.13,358.672,475.24,1.196,1.584,"Eghball, UNL Extension"
Straw,40,100,70,40,0.57,-21.43,LOWER,8000,10600,3200,4240,45.71,60.57,358.672,475.24,5.123,6.789,"Rynk, NC State Extension"
Straw — oats and wheat,70,80,75,40,0.53,-22,LOWER,8000,10600,3200,4240,42.67,56.53,358.672,475.24,4.783,6.336,"Eghball, UNL Extension"
Swine manure,8,20,14,40,2.86,12.86,LOWER,8000,10600,3200,4240,228.57,302.86,358.672,475.24,25.619,33.946,"Rynk, NC State Extension"
Vegetable waste,10,20,15,40,2.67,10,LOWER,8000,10600,3200,4240,213.33,282.67,358.672,475.24,23.911,31.683,"Rynk, NC State Extension"
Vegetable waste,12,20,16,40,2.5,7.5,LOWER,8000,10600,3200,4240,200,265,358.672,475.24,22.417,29.703,"Eghball, UNL Extension"
Woodchips,100,500,300,40,0.13,-28,LOWER,8000,10600,3200,4240,10.67,14.13,358.672,475.24,1.196,1.584,"Rynk, NC State Extension"
