Material	material_class	C_MIN (C:N)	C_MAX (C:N)	C_Avg (C:N)	C_Assumed (%)	Total N (%)	4 week PAN (%)	LowerN/HigherN	RowsMIN_AppRate (tons/acre)	RowsMIN_AppRate (lbs/acre)	RowsMIN_Total_N (lbs N/acre)	RowsMIN_Avail_N (lbs N/acre)	RowsMAX_AppRate (tons/acre)	RowsMAX_AppRate (lbs/acre)	RowsMAX_Total_N (lbs N/acre)	RowsMAX_Avail_N (lbs N/acre)	TreesMIN_AppRate (tons/acre)	TreesMIN_AppRate (lbs/acre)	TreesMIN_Total_N (lbs N/acre)	TreesMIN_Avail_N (lbs N/acre)	TreesMAX_AppRate (tons/acre)	TreesMAX_AppRate (lbs/acre)	TreesMAX_Total_N (lbs N/acre)	TreesMAX_Avail_N (lbs N/acre)	Source
Alfalfa hay	ag	13	13	13	40.00%	3.08	16.15	LOWER	4	8000	246.15	39.76	5.3	10600	326.15	52.69	4	8000	246.15	39.76	5.3	10600	326.15	52.69	https://extensionpubs.unl.edu/publication/g2222/na/html/view
Apple pomace	food	21	21	21	40.00%	1.9	-1.43	LOWER	4	8000	152.38	-2.18	5.3	10600	201.9	-2.88	4	8000	152.38	-2.18	5.3	10600	201.9	-2.88	https://extensionpubs.unl.edu/publication/g2222/na/html/view
Bark	wood	100	130	115	40.00%	0.35	-24.78	LOWER	4	8000	27.83	-6.9	5.3	10600	36.87	-9.14	4	8000	27.83	-6.9	5.3	10600	36.87	-9.14	https://extensionpubs.unl.edu/publication/g2222/na/html/view
Blood meal	ag	4	4	4	40.00%	10	60	HIGHER	2.2	4400	440	264	3.6	7200	720	432	1.5	3000	300	180	2.9	5800	580	348	https://extensionpubs.unl.edu/publication/g2222/na/html/view
Coffee grounds	food	20	20	20	40.00%	2	0	LOWER	4	8000	160	0	5.3	10600	212	0	4	8000	160	0	5.3	10600	212	0	https://extensionpubs.unl.edu/publication/g2222/na/html/view
Corn cobs	ag	50	120	85	40.00%	0.47	-22.94	LOWER	4	8000	37.65	-8.64	5.3	10600	49.88	-11.44	4	8000	37.65	-8.64	5.3	10600	49.88	-11.44	https://extensionpubs.unl.edu/publication/g2222/na/html/view
Corn stalks	ag	60	70	65	40.00%	0.62	-20.77	LOWER	4	8000	49.23	-10.22	5.3	10600	65.23	-13.55	4	8000	49.23	-10.22	5.3	10600	65.23	-13.55	https://content.ces.ncsu.edu/compost-production-and-use-in-sustainable-farming-systems
Corn stalks	ag	80	80	80	40.00%	0.5	-22.5	LOWER	4	8000	40	-9	5.3	10600	53	-11.93	4	8000	40	-9	5.3	10600	53	-11.93	https://extensionpubs.unl.edu/publication/g2222/na/html/view
Cow manure	ag	20	25	22.5	40.00%	1.78	-3.33	LOWER	4	8000	142.22	-4.74	5.3	10600	188.44	-6.28	4	8000	142.22	-4.74	5.3	10600	188.44	-6.28	https://content.ces.ncsu.edu/compost-production-and-use-in-sustainable-farming-systems
Cow manure	ag	20	20	20	40.00%	2	0	LOWER	4	8000	160	246.15	5.3	10600	212	0	4	8000	160	0	5.3	10600	212	0	https://extensionpubs.unl.edu/publication/g2222/na/html/view
Dry leaves	yard	30	80	55	40.00%	0.73	-19.09	LOWER	4	8000	58.18	-11.11	5.3	10600	77.09	-14.72	4	8000	58.18	-11.11	5.3	10600	77.09	-14.72	https://content.ces.ncsu.edu/compost-production-and-use-in-sustainable-farming-systems
Fruit waste	food	35	35	35	40.00%	1.14	-12.86	LOWER	4	8000	91.43	-11.76	5.3	10600	121.14	-15.58	4	8000	91.43	-11.76	5.3	10600	121.14	-15.58	https://extensionpubs.unl.edu/publication/g2222/na/html/view
Grass	yard	12	25	18.5	40.00%	2.16	2.43	LOWER	4	8000	172.97	4.21	5.3	10600	229.19	5.57	4	8000	172.97	4.21	5.3	10600	229.19	5.57	https://content.ces.ncsu.edu/compost-production-and-use-in-sustainable-farming-systems
Grass clippings	yard	12	25	18.5	40.00%	2.16	2.43	LOWER	4	8000	172.97	4.21	5.3	10600	229.19	5.57	4	8000	172.97	4.21	5.3	10600	229.19	5.57	https://extensionpubs.unl.edu/publication/g2222/na/html/view
Horse manure	ag	20	30	25	40.00%	1.6	-6	LOWER	4	8000	128	-7.68	5.3	10600	169.6	-10.18	4	8000	128	-7.68	5.3	10600	169.6	-10.18	https://content.ces.ncsu.edu/compost-production-and-use-in-sustainable-farming-systems
Leaves	yard	40	80	60	40.00%	0.67	-20	LOWER	4	8000	53.33	-10.67	5.3	10600	70.67	-14.13	4	8000	53.33	-10.67	5.3	10600	70.67	-14.13	https://extensionpubs.unl.edu/publication/g2222/na/html/view
Manure — cow and horse	ag	20	25	22.5	40.00%	1.78	-3.33	LOWER	4	8000	142.22	-4.74	5.3	10600	188.44	-6.28	4	8000	142.22	-4.74	5.3	10600	188.44	-6.28	https://extensionpubs.unl.edu/publication/g2222/na/html/view
Manure — poultry (fresh)	ag	10	10	10	40.00%	4	30	HIGHER	2.2	4400	176	52.8	3.6	7200	288	86.4	1.5	3000	120	36	2.9	5800	232	69.6	https://extensionpubs.unl.edu/publication/g2222/na/html/view
Manure with litter — horse	ag	30	60	45	40.00%	0.89	-16.67	LOWER	4	8000	71.11	-11.85	5.3	10600	94.22	-15.7	4	8000	71.11	-11.85	5.3	10600	94.22	-15.7	https://extensionpubs.unl.edu/publication/g2222/na/html/view
Manure with litter — poultry	ag	13	18	15.5	40.00%	2.58	8.71	LOWER	4	8000	206.45	17.98	5.3	10600	273.55	23.83	4	8000	206.45	17.98	5.3	10600	273.55	23.83	https://extensionpubs.unl.edu/publication/g2222/na/html/view
Newspaper	wood	400	800	600	40.00%	0.07	-29	LOWER	4	8000	5.33	-1.55	5.3	10600	7.07	-2.05	4	8000	5.33	-1.55	5.3	10600	7.07	-2.05	https://content.ces.ncsu.edu/compost-production-and-use-in-sustainable-farming-systems
Newspaper, shredded	wood	400	800	600	40.00%	0.07	-29	LOWER	4	8000	5.33	-1.55	5.3	10600	7.07	-2.05	4	8000	5.33	-1.55	5.3	10600	7.07	-2.05	https://extensionpubs.unl.edu/publication/g2222/na/html/view
Paper	wood	150	200	175	40.00%	0.23	-26.57	LOWER	4	8000	18.29	-4.86	5.3	10600	24.23	-6.44	4	8000	18.29	-4.86	5.3	10600	24.23	-6.44	https://extensionpubs.unl.edu/publication/g2222/na/html/view
Pine needles	yard	80	80	80	40.00%	0.5	-22.5	LOWER	4	8000	40	-9	5.3	10600	53	-11.93	4	8000	40	-9	5.3	10600	53	-11.93	https://extensionpubs.unl.edu/publication/g2222/na/html/view
Poultry litter	ag	5	20	12.5	40.00%	3.2	18	LOWER	4	8000	256	46.08	5.3	10600	339.2	61.06	4	8000	256	46.08	5.3	10600	339.2	61.06	https://content.ces.ncsu.edu/compost-production-and-use-in-sustainable-farming-systems
Sawdust and wood chips	wood	100	500	300	40.00%	0.13	-28	LOWER	4	8000	10.67	-2.99	5.3	10600	14.13	-3.96	4	8000	10.67	-2.99	5.3	10600	14.13	-3.96	https://extensionpubs.unl.edu/publication/g2222/na/html/view
Straw	ag	40	100	70	40.00%	0.57	-21.43	LOWER	4	8000	45.71	-9.8	5.3	10600	60.57	-12.98	4	8000	45.71	-9.8	5.3	10600	60.57	-12.98	https://content.ces.ncsu.edu/compost-production-and-use-in-sustainable-farming-systems
Straw — oats and wheat	ag	70	80	75	40.00%	0.53	-22	LOWER	4	8000	42.67	-9.39	5.3	10600	56.53	-12.44	4	8000	42.67	-9.39	5.3	10600	56.53	-12.44	https://extensionpubs.unl.edu/publication/g2222/na/html/view
Swine manure	ag	8	20	14	40.00%	2.86	12.86	LOWER	4	8000	228.57	29.39	5.3	10600	302.86	38.94	4	8000	228.57	29.39	5.3	10600	302.86	38.94	https://content.ces.ncsu.edu/compost-production-and-use-in-sustainable-farming-systems
Vegetable waste	food	10	20	15	40.00%	2.67	10	LOWER	4	8000	213.33	21.33	5.3	10600	282.67	28.27	4	8000	213.33	21.33	5.3	10600	282.67	28.27	https://content.ces.ncsu.edu/compost-production-and-use-in-sustainable-farming-systems
Vegetable waste	food	12	20	16	40.00%	2.5	7.5	LOWER	4	8000	200	15	5.3	10600	265	19.88	4	8000	200	15	5.3	10600	265	19.88	https://extensionpubs.unl.edu/publication/g2222/na/html/view
Woodchips	wood	100	500	300	40.00%	0.13	-28	LOWER	4	8000	10.67	-2.99	5.3	10600	14.13	-3.96	4	8000	10.67	-2.99	5.3	10600	14.13	-3.96	https://content.ces.ncsu.edu/compost-production-and-use-in-sustainable-farming-systems
