"SITE_ID","LOCATION_ELEV","LOCATION_LAT","LOCATION_LONG","Date","GROUP_ID","VARIABLE_GROUP","VARIABLE","DATAVALUE","NA_L1CODE","NA_L1NAME","NA_L2CODE","NA_L2NAME"
"US-A32","335",36.8193,-97.8198,2015-09-03,30057,"GRP_LOCATION","LOCATION_LAT","36.8193","9","GREAT PLAINS","9.4","SOUTH CENTRAL SEMIARID PRAIRIES"
"US-A32","335",36.8193,-97.8198,2015-09-03,30057,"GRP_LOCATION","LOCATION_LONG","-97.8198","9","GREAT PLAINS","9.4","SOUTH CENTRAL SEMIARID PRAIRIES"
"US-A32","335",36.8193,-97.8198,2015-09-03,30057,"GRP_LOCATION","LOCATION_ELEV","335","9","GREAT PLAINS","9.4","SOUTH CENTRAL SEMIARID PRAIRIES"
"US-A32","335",36.8193,-97.8198,2015-09-03,30057,"GRP_LOCATION","LOCATION_DATE_START","2015-09-03","9","GREAT PLAINS","9.4","SOUTH CENTRAL SEMIARID PRAIRIES"
"US-A39","306",36.3776,-96.069,2015-10-06,98580,"GRP_LOCATION","LOCATION_LAT","36.3776","9","GREAT PLAINS","9.4","SOUTH CENTRAL SEMIARID PRAIRIES"
"US-A39","306",36.3776,-96.069,2015-10-06,98580,"GRP_LOCATION","LOCATION_LONG","-96.0690","9","GREAT PLAINS","9.4","SOUTH CENTRAL SEMIARID PRAIRIES"
"US-A39","306",36.3776,-96.069,2015-10-06,98580,"GRP_LOCATION","LOCATION_ELEV","306","9","GREAT PLAINS","9.4","SOUTH CENTRAL SEMIARID PRAIRIES"
"US-A39","306",36.3776,-96.069,2015-10-06,98580,"GRP_LOCATION","LOCATION_DATE_START","2015-10-06","9","GREAT PLAINS","9.4","SOUTH CENTRAL SEMIARID PRAIRIES"
"US-A74","337",36.8085,-97.5489,2016-01-28,30075,"GRP_LOCATION","LOCATION_LAT","36.8085","9","GREAT PLAINS","9.4","SOUTH CENTRAL SEMIARID PRAIRIES"
"US-A74","337",36.8085,-97.5489,2016-01-28,30075,"GRP_LOCATION","LOCATION_LONG","-97.5489","9","GREAT PLAINS","9.4","SOUTH CENTRAL SEMIARID PRAIRIES"
"US-A74","337",36.8085,-97.5489,2016-01-28,30075,"GRP_LOCATION","LOCATION_ELEV","337","9","GREAT PLAINS","9.4","SOUTH CENTRAL SEMIARID PRAIRIES"
"US-A74","337",36.8085,-97.5489,2016-01-28,30075,"GRP_LOCATION","LOCATION_DATE_START","2016-01-28","9","GREAT PLAINS","9.4","SOUTH CENTRAL SEMIARID PRAIRIES"
"US-Act","263",39.582,-84.755,2018-05-07,95144,"GRP_LOCATION","LOCATION_LAT","39.5820","8","EASTERN TEMPERATE FORESTS","8.2","CENTRAL USA PLAINS"
"US-Act","263",39.582,-84.758,2017-01-13,95144,"GRP_LOCATION","LOCATION_LAT","39.5820","8","EASTERN TEMPERATE FORESTS","8.2","CENTRAL USA PLAINS"
"US-Act","263",39.582,-84.755,2018-05-07,95144,"GRP_LOCATION","LOCATION_LONG","-84.7550","8","EASTERN TEMPERATE FORESTS","8.2","CENTRAL USA PLAINS"
"US-Act","263",39.582,-84.758,2017-01-13,95144,"GRP_LOCATION","LOCATION_LONG","-84.7550","8","EASTERN TEMPERATE FORESTS","8.2","CENTRAL USA PLAINS"
"US-Act","263",39.582,-84.755,2018-05-07,95144,"GRP_LOCATION","LOCATION_ELEV","263","8","EASTERN TEMPERATE FORESTS","8.2","CENTRAL USA PLAINS"
"US-Act","263",39.582,-84.758,2017-01-13,95144,"GRP_LOCATION","LOCATION_ELEV","263","8","EASTERN TEMPERATE FORESTS","8.2","CENTRAL USA PLAINS"
"US-Act","263",39.582,-84.755,2018-05-07,95144,"GRP_LOCATION","LOCATION_DATE_START","2018-05-07","8","EASTERN TEMPERATE FORESTS","8.2","CENTRAL USA PLAINS"
"US-Act","263",39.582,-84.758,2017-01-13,95144,"GRP_LOCATION","LOCATION_DATE_START","2018-05-07","8","EASTERN TEMPERATE FORESTS","8.2","CENTRAL USA PLAINS"
"US-Act","263",39.582,-84.755,2018-05-07,95149,"GRP_LOCATION","LOCATION_LAT","39.5820","8","EASTERN TEMPERATE FORESTS","8.2","CENTRAL USA PLAINS"
"US-Act","263",39.582,-84.758,2017-01-13,95149,"GRP_LOCATION","LOCATION_LAT","39.5820","8","EASTERN TEMPERATE FORESTS","8.2","CENTRAL USA PLAINS"
"US-Act","263",39.582,-84.755,2018-05-07,95149,"GRP_LOCATION","LOCATION_LONG","-84.7580","8","EASTERN TEMPERATE FORESTS","8.2","CENTRAL USA PLAINS"
"US-Act","263",39.582,-84.758,2017-01-13,95149,"GRP_LOCATION","LOCATION_LONG","-84.7580","8","EASTERN TEMPERATE FORESTS","8.2","CENTRAL USA PLAINS"
"US-Act","263",39.582,-84.755,2018-05-07,95149,"GRP_LOCATION","LOCATION_ELEV","263","8","EASTERN TEMPERATE FORESTS","8.2","CENTRAL USA PLAINS"
"US-Act","263",39.582,-84.758,2017-01-13,95149,"GRP_LOCATION","LOCATION_ELEV","263","8","EASTERN TEMPERATE FORESTS","8.2","CENTRAL USA PLAINS"
"US-Act","263",39.582,-84.755,2018-05-07,95149,"GRP_LOCATION","LOCATION_DATE_START","2017-01-13","8","EASTERN TEMPERATE FORESTS","8.2","CENTRAL USA PLAINS"
"US-Act","263",39.582,-84.758,2017-01-13,95149,"GRP_LOCATION","LOCATION_DATE_START","2017-01-13","8","EASTERN TEMPERATE FORESTS","8.2","CENTRAL USA PLAINS"
"US-ADR","842",36.7653,-116.6933,2011-05-19,15378,"GRP_LOCATION","LOCATION_LAT","36.7653","10","NORTH AMERICAN DESERTS","10.2","WARM DESERTS"
"US-ADR","842",36.7653,-116.6933,2011-05-19,15378,"GRP_LOCATION","LOCATION_LONG","-116.6933","10","NORTH AMERICAN DESERTS","10.2","WARM DESERTS"
"US-ADR","842",36.7653,-116.6933,2011-05-19,15378,"GRP_LOCATION","LOCATION_ELEV","842","10","NORTH AMERICAN DESERTS","10.2","WARM DESERTS"
"US-ADR","842",36.7653,-116.6933,2011-05-19,15378,"GRP_LOCATION","LOCATION_DATE_START","2011-05-19","10","NORTH AMERICAN DESERTS","10.2","WARM DESERTS"
"US-Akn","92.00",33.3833,-81.5656,NA,22259,"GRP_LOCATION","LOCATION_LAT","33.3833","8","EASTERN TEMPERATE FORESTS","8.3","SOUTHEASTERN USA PLAINS"
"US-Akn","92.00",33.3833,-81.5656,NA,22259,"GRP_LOCATION","LOCATION_LONG","-81.5656","8","EASTERN TEMPERATE FORESTS","8.3","SOUTHEASTERN USA PLAINS"
"US-Akn","92.00",33.3833,-81.5656,NA,22259,"GRP_LOCATION","LOCATION_ELEV","92.00","8","EASTERN TEMPERATE FORESTS","8.3","SOUTHEASTERN USA PLAINS"
"US-Akn","92.00",33.3833,-81.5656,NA,22259,"GRP_LOCATION","LOCATION_COMMENT","From CDIAC Tom Boden database dump","8","EASTERN TEMPERATE FORESTS","8.3","SOUTHEASTERN USA PLAINS"
"US-Akn","92.00",33.3833,-81.5656,NA,27194,"GRP_SOIL_CLASSIFICATION","SOIL_CLASSIFICATION","Loose sand, sandy soils, clean sand, rounded quartz grains, very small amounts of fines (clays) near the surface decreasing downwards","8","EASTERN TEMPERATE FORESTS","8.3","SOUTHEASTERN USA PLAINS"
"US-Akn","92.00",33.3833,-81.5656,NA,27194,"GRP_SOIL_CLASSIFICATION","SOIL_CLASSIFICATION_TAXONOMY","Other","8","EASTERN TEMPERATE FORESTS","8.3","SOUTHEASTERN USA PLAINS"
"US-ALQ",NA,46.0308,-89.6067,2017-04-24,96978,"GRP_LOCATION","LOCATION_LAT","46.0308","5","NORTHERN FORESTS","5.2","MIXED WOOD SHIELD"
"US-ALQ",NA,46.0308,-89.6067,2017-04-24,96978,"GRP_LOCATION","LOCATION_LONG","-89.6067","5","NORTHERN FORESTS","5.2","MIXED WOOD SHIELD"
"US-ALQ",NA,46.0308,-89.6067,2017-04-24,96978,"GRP_LOCATION","LOCATION_DATE_START","2017-04-24","5","NORTHERN FORESTS","5.2","MIXED WOOD SHIELD"
"US-AR1","611",36.4267,-99.42,NA,15961,"GRP_LOCATION","LOCATION_LAT","36.4267","9","GREAT PLAINS","9.4","SOUTH CENTRAL SEMIARID PRAIRIES"
"US-AR1","611",36.4267,-99.42,NA,15961,"GRP_LOCATION","LOCATION_LONG","-99.4200","9","GREAT PLAINS","9.4","SOUTH CENTRAL SEMIARID PRAIRIES"
"US-AR1","611",36.4267,-99.42,NA,15961,"GRP_LOCATION","LOCATION_ELEV","611","9","GREAT PLAINS","9.4","SOUTH CENTRAL SEMIARID PRAIRIES"
"US-AR1","611",36.4267,-99.42,NA,15961,"GRP_LOCATION","LOCATION_COMMENT","From CDIAC Tom Boden database dump","9","GREAT PLAINS","9.4","SOUTH CENTRAL SEMIARID PRAIRIES"
"US-AR1","611",36.4267,-99.42,NA,27820,"GRP_SOIL_CLASSIFICATION","SOIL_CLASSIFICATION","Loamy, mixed, Superactive, thermic, Shallow Typic Calciustepts","9","GREAT PLAINS","9.4","SOUTH CENTRAL SEMIARID PRAIRIES"
"US-AR1","611",36.4267,-99.42,NA,27820,"GRP_SOIL_CLASSIFICATION","SOIL_CLASSIFICATION_TAXONOMY","Other","9","GREAT PLAINS","9.4","SOUTH CENTRAL SEMIARID PRAIRIES"
"US-AR2","646",36.6358,-99.5975,NA,15981,"GRP_LOCATION","LOCATION_LAT","36.6358","9","GREAT PLAINS","9.4","SOUTH CENTRAL SEMIARID PRAIRIES"
"US-AR2","646",36.6358,-99.5975,NA,15981,"GRP_LOCATION","LOCATION_LONG","-99.5975","9","GREAT PLAINS","9.4","SOUTH CENTRAL SEMIARID PRAIRIES"
"US-AR2","646",36.6358,-99.5975,NA,15981,"GRP_LOCATION","LOCATION_ELEV","646","9","GREAT PLAINS","9.4","SOUTH CENTRAL SEMIARID PRAIRIES"
"US-AR2","646",36.6358,-99.5975,NA,15981,"GRP_LOCATION","LOCATION_COMMENT","From CDIAC Tom Boden database dump","9","GREAT PLAINS","9.4","SOUTH CENTRAL SEMIARID PRAIRIES"
"US-AR2","646",36.6358,-99.5975,NA,29316,"GRP_SOIL_CLASSIFICATION","SOIL_CLASSIFICATION","Mixed, thermic Lamellic Ustipsamments","9","GREAT PLAINS","9.4","SOUTH CENTRAL SEMIARID PRAIRIES"
"US-AR2","646",36.6358,-99.5975,NA,29316,"GRP_SOIL_CLASSIFICATION","SOIL_CLASSIFICATION_TAXONOMY","Other","9","GREAT PLAINS","9.4","SOUTH CENTRAL SEMIARID PRAIRIES"
"US-ARb","424",35.5497,-98.0402,NA,24409,"GRP_AG_BIOMASS_OTHER","AG_BIOMASS_OTHER","0.88","9","GREAT PLAINS","9.4","SOUTH CENTRAL SEMIARID PRAIRIES"
"US-ARb","424",35.5497,-98.0402,NA,24409,"GRP_AG_BIOMASS_OTHER","AG_BIOMASS_OTHER_ORGAN","Total","9","GREAT PLAINS","9.4","SOUTH CENTRAL SEMIARID PRAIRIES"
"US-ARb","424",35.5497,-98.0402,NA,24409,"GRP_AG_BIOMASS_OTHER","AG_BIOMASS_OTHER_PHEN","Mixed/unknown","9","GREAT PLAINS","9.4","SOUTH CENTRAL SEMIARID PRAIRIES"
"US-ARb","424",35.5497,-98.0402,NA,24409,"GRP_AG_BIOMASS_OTHER","AG_BIOMASS_OTHER_UNIT","kgDM m-2","9","GREAT PLAINS","9.4","SOUTH CENTRAL SEMIARID PRAIRIES"
"US-ARb","424",35.5497,-98.0402,NA,24409,"GRP_AG_BIOMASS_OTHER","AG_BIOMASS_COMMENT","max green (Aug 2005)","9","GREAT PLAINS","9.4","SOUTH CENTRAL SEMIARID PRAIRIES"
"US-ARb","424",35.5497,-98.0402,NA,24280,"GRP_BIOMASS_CHEM","BIOMASS_N","0.07","9","GREAT PLAINS","9.4","SOUTH CENTRAL SEMIARID PRAIRIES"
