"EQN_NO","LIFEFORM","SPP_CODE","SPP_TEXT","BIO_COMP","GEO_AREA","SER_STAG","LCL_EQUN","TAX_LIFE","PA1_CODE","PA1_TEXT","PA1_MIN","PA1_MAX","PA1_UNIT","PA2_CODE","PA2_TEXT","PA2_MIN","PA2_MAX","PA2_UNIT","PA3_CODE","PA3_TEXT","PA3_MIN","PA3_MAX","PA3_UNIT","DEP_VAR","DPV_MIN","DPV_MAX","DPV_UNIT","CF1","CF2","CF3","CF4","BPK_EQFM","EQN_TYPE","DPV_O","DPV_OMIN","DPV_OMAX","DPV_OUNIT","IP1_TEXT","IP1_MIN","IP1_MAX","IP1_UNIT","IP2_TEXT","IP2_MIN","IP2_MAX","IP2_UNIT","IP3_TEXT","IP3_MIN","IP3_MAX","IP3_UNIT","ORG_EQFM","SMP_SIZE","R_SQUARE","MS_ERROR","SEE","LOG_BIOC","RAW_DATA","SRC_EQN","SRC_DAT","MARK"
1,"T","PSME","Pseudotsuga menziesii (douglas fir)","BFT","W","G","01","T","DBH","Stem dia. @ breast height","1.8","162.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total foliage biomass",NA,NA,"g","4.0616","1.7009",NA,NA,"ln(BFT) =  4.0616 + 1.7009 * ln(DBH)",2,"Total foliage biomass",NA,NA,"kg","Stem dia. @ breast height","1.8","162.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BFT) = -2.8462 + 1.7009 * ln(DBH)","123","0.86","0.483","0.695","Y",NA,"Gholz et al. 1979. Equations for estimating... Res Pap 41, For Res Lab, Ore State Univ.","8",FALSE
2,"T","PSME","Pseudotsuga menziesii (douglas fir)","BBL","W","G","01","T","DBH","Stem dia. @ breast ht","1.8","162.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Live branch biomass",NA,NA,"g","3.2137","2.1382",NA,NA,"ln(BBL) =  3.2137 + 2.1382 * ln (DBH)",2,"Live branch biomass",NA,NA,"kg","DBH","1.8","162.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BBL) = -3.6941 + 2.1382 * ln (DBH)","123","0.92","0.399","0.632","Y",NA,"Gholz et al. 1979. Equations for estimating... Res Pap 41, For Res Lab, Ore State Univ.","21",FALSE
3,"T","PSME","Pseudotsuga menziesii (douglas fir)","BBD","W","G","01","T","DBH","Stem dia. @ breast ht","1.8","162.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dead branch biomass",NA,NA,"g","3.3788","1.7503",NA,NA,"ln(BBD) = 3.3788  + 1.7503 * ln (DBH)",2,"Dead branch biomass",NA,NA,"kg","DBH","1.8","162.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BBD) = -3.529  + 1.7503 * ln (DBH)","85","0.84","0.530","0.728","Y",NA,"Gholz et al. 1979. Equations for estimating... Res Pap 41, For Res Lab, Ore State Univ.","34",FALSE
4,"T","PSME","Pseudotsuga menziesii (douglas fir)","BSW","W","G","01","T","DBH","Stem dia. @ breast ht","1.8","162.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stem wood biomass",NA,NA,"g","3.8682","2.5951",NA,NA,"ln(BSW) =  3.8682 + 2.5951 * ln(DBH)",2,"Stem wood biomass",NA,NA,"kg","DBH","1.8","162.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BSW) = -3.0396 + 2.5951 * ln(DBH)","99","0.99","0.096","0.310","Y",NA,"Gholz et al. 1979. Equations for estimating... Res Pap 41, For Res Lab, Ore State Univ.","44",FALSE
5,"T","PSME","Pseudotsuga menziesii (douglas fir)","BSB","W","G","01","T","DBH","Stem dia. @ breast ht","1.8","162.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stem bark biomass",NA,NA,"g","2.5975","2.4300",NA,NA,"ln(BSB) =  2.5975 + 2.4300 * ln (DBH)",2,"Stem bark biomass",NA,NA,"kg","DBH","1.8","162.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BSB) = -4.3103 + 2.4300 * ln (DBH)","99","0.99","0.104","0.322","Y",NA,"Gholz et al. 1979. Equations for estimating... Res Pap 41, For Res Lab, Ore State Univ.","56",FALSE
6,"T","PSME","Pseudotsuga menziesii (douglas fir)","BRL","W","G","01","T","DBH","Stem dia. @ breast ht","2.3","135.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total root biomass (live)",NA,NA,"g","2.2117","2.6929",NA,NA,"ln(BRT) =  2.2117 + 2.6929 * ln(DBH)",2,"Total root biomass (live)",NA,NA,"kg","DBH","2.3","135.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BRT) = -4.6961 + 2.6929 * ln(DBH)","26","0.96","0.127","0.356","Y",NA,"Gholz et al. 1979. Equations for estimating... Res Pap 41, For Res Lab, Ore State Univ.  They took the eqn directly fr. Santantonio et al. 1977. Root Biomass... Pedobiologia 17:131.","68",FALSE
7,"T","PSME","Pseudotsuga menziesii (douglas fir)","BFN","W","O","01","T","DBH","Stem dia. @ breast ht","25.9","162.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New foliage biomass",NA,NA,"g","1.1813","2.039",NA,NA,"ln(BFN) =  1.1813 + 2.039 * ln(DBH)",2,"New foliage biomass",NA,NA,"kg","DBH","25.9","162.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BFN) = -5.7265 + 2.039 * ln(DBH)","29","0.93","0.323","0.568","Y",NA,"Gholz et al. 1979. Equations for estimating... Res Pap 41, For Res Lab, Ore State Univ. They took eqn. directly fr. Grier, C C & R S Logan. 1977. Old-growth... Ecol Monogr. 47(4):373-400","80",FALSE
8,"T","TSHE","Tsuga heterophylla (western hemlock)","BFT","W","O","01","T","DBH","Stem dia. @ breast ht","15.3","78.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Totol foliage biomass",NA,NA,"g","2.7778","2.128",NA,NA,"ln(BFT) = 2.7778 + 2.128 * ln(DBH)",2,"Totol foliage biomass",NA,NA,"kg","DBH","15.3","78.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BFT) = -4.130 + 2.128 * ln(DBH)","18","0.96","0.189","0.435","Y",NA,"Gholz et al. 1979. Equations for estimating... Res Pap 41, For Res Lab, Ore State Univ. They took eqn. directly fr. Grier, C C & R S Logan. 1977. Old-growth... Ecol. Monogr. 47(4):373-400.","92",FALSE
9,"T","TSHE","Tsuga heterophylla (western hemlock)","BBL","W","O","01","T","DBH","Stem dia. @ breast ht","15.3","78.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Live branch biomass",NA,NA,"g","1.7588","2.778",NA,NA,"ln(BBL) = 1.7588 + 2.778 * ln(DBH)",2,"Live branch biomass",NA,NA,"kg","DBH","15.3","78.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BBL) = -5.149 + 2.778 * ln(DBH)","18","0.98","0.177","0.421","Y",NA,"Gholz et al. 1979. Equations for estimating... Res Pap 41, For Res Lab, Ore State Univ. They took eqn. directly fr. Grier, C C & R S Logan. 1977. Old-growth... Ecol. Monogr. 47(4):373-400.","104",FALSE
10,"T","TSHE","Tsuga heterophylla (western hemlock)","BBD","W","O","01","T","DBH","Stem dia. @ breast ht","15.3","78.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dead branch biomass",NA,NA,"g","4.4988","1.312",NA,NA,"ln(BBD) = 4.4988 + 1.312 * ln(DBH)",2,"Dead branch biomass",NA,NA,"kg","DBH","15.3","78.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BBD) = -2.409 + 1.312 * ln(DBH)","18","0.62","0.641","0.801","Y",NA,"Gholz et al. 1979. Equations for estimating... Res Pap 41, For Res Lab, Ore State Univ. They took eqn. directly fr. Grier, C C & R S Logan. 1977. Old-growth... Ecol. Monogr. 47(4):373-400.","116",FALSE
11,"T","TSHE","Tsuga heterophylla (western hemlock)","BSW","W","O","01","T","DBH","Stem dia. @ breast ht","15.3","78.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stem wood biomass (without bark)",NA,NA,"g","4.7358","2.257",NA,NA,"ln(BBD) = 4.7358 + 2.257 * ln(DBH)",2,"Stem wood biomass (without bark)",NA,NA,"kg","DBH","15.3","78.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BBD) = -2.172 + 2.257 * ln(DBH)","18","0.99","0.014","0.118","Y",NA,"Gholz et al. 1979. Equations for estimating... Res Pap 41, For Res Lab, Ore State Univ. They took eqn. directly fr. Grier, C C & R S Logan. 1977. Old-growth... Ecol. Monogr. 47(4):373-400.","121",FALSE
12,"T","TSHE","Tsuga heterophylla (western hemlock)","BSB","W","O","01","T","DBH","Stem dia. @ breast ht","15.3","78.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stem bark biomass",NA,NA,"g","2.5348","2.258",NA,NA,"ln(BSB) = 2.5348 + 2.258 * ln(DBH)",2,"Stem bark biomass",NA,NA,"kg","DBH","15.3","78.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BSB) = -4.373 + 2.258 * ln(DBH)","18","0.99","0.019","0.138","Y",NA,"Gholz et al. 1979. Equations for estimating... Res Pap 41, For Res Lab, Ore State Univ. They took eqn. directly fr. Grier, C C & R S Logan. 1977. Old-growth... Ecol. Monogr. 47(4):373-400.","133",FALSE
13,"T","TSHE","Tsuga heterophylla (western hemlock)","BFN","W","O","01","T","DBH","Stem dia. @ breast ht","15.3","78.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New foliage biomass",NA,NA,"g","1.5288","2.124",NA,NA,"ln(BFN) = 1.5288 + 2.124 * ln(DBH)",2,"New foliage biomass",NA,NA,"kg","DBH","15.3","78.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BFN) = -5.379 + 2.124 * ln(DBH)","10","0.81","0.517","0.719","Y",NA,"Gholz et al. 1979. Equations for estimating... Res Pap 41, For Res Lab, Ore State Univ. They took eqn. directly fr. Grier, C C & R S Logan. 1977. Old-growth... Ecol. Monogr. 47(4):373-400.","145",FALSE
14,"T","TSME","Tsuga mertensiana (mountain hemlock)","BFT","W","O","01","T","DBH","Stem dia. @ breast ht","17.0","76.2","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total foliage biomass",NA,NA,"g","3.0909","1.9756",NA,NA,"ln(BFT) =  3.0909 + 1.9756 * ln(DBH)",2,"Total foliage biomass",NA,NA,"kg","DBH","17.0","76.2","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BFT) = -3.8169 + 1.9756 * ln(DBH)","11","0.97","0.025","0.158","Y",NA,"Gholz et al. 1979. Equations for estimating... Res Pap 41, For Res Lab, Ore State Univ.  They took the eqn. directly fr. Waring et al. 1978. For Sci 24:131-140.","157",FALSE
15,"T","TSME","Tsuga mertensiana (mountain hemlock)","BBL","W","O","01","T","DBH","Stem dia. @ breast ht (DBH)","17.0","76.2","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Live branch biomass",NA,NA,"g","1.6497","2.6045",NA,NA,"ln(BBL) =  1.6497 + 2.6045 * ln(DBH)",2,"Live branch biomass",NA,NA,"kg","DBH","17.0","76.2","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BBL) = -5.2581 + 2.6045 * ln(DBH)","11","0.99","0.015","0.122","Y",NA,"Gholz et al. 1979. Equations for estimating... Res Pap 41, For Res Lab, Ore State Univ.","168",FALSE
16,"T","TSME","Tsuga mertensiana (mountain hemlock)","BBD","W","O","01","T","DBH","Stem dia. @ breast ht","17.0","54.6","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dead branch biomass",NA,NA,"g","-3.0371","3.2845",NA,NA,"ln(BBD) = -3.0371 + 3.2845 * ln(DBH)",2,"Dead branch biomass",NA,NA,"kg","DBH","17.0","54.6","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BBD) = -9.9449 + 3.2845 * ln(DBH)","6","0.98","0.012","0.110","Y",NA,"Gholz et al. 1979. Equations for estimating... Res Pap 41, For Res Lab, Ore State Univ.","179",FALSE
17,"T","TSME","Tsuga mertensiana (mountain hemlock)","BSW","W","O","01","T","DBH","Stem dia. @ breast ht","17.0","76.2","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stem wood biomass (without bark)",NA,NA,"g","2.0914","2.9308",NA,NA,"ln(BSW) =  2.0914 + 2.9308 * ln(DBH)",2,"Stem wood biomass (without bark)",NA,NA,"kg","DBH","17.0","76.2","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BSW) = -4.8164 + 2.9308 * ln(DBH)","14","0.98","0.052","0.228","Y",NA,"Gholz et al. 1979. Equations for estimating... Res Pap 41, For Res Lab, Ore State Univ.","190",FALSE
18,"T","TSME","Tsuga mertensiana (mountain hemlock)","BSB","W","O","01","T","DBH","Stem dia. @ breast ht","17.0","76.2","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stem bark biomass",NA,NA,"g","1.32096","2.7654",NA,NA,"ln(BSB) = 1.32096 + 2.7654 * ln(DBH)",2,"Stem bark biomass",NA,NA,"kg","DBH","17.0","76.2","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BSB) = -5.5868 + 2.7654 * ln(DBH)","14","0.97","0.051","0.226","Y",NA,"Gholz et al. 1979. Equations for estimating... Res Pap 41, For Res Lab, Ore State Univ.","201",FALSE
19,"T","ABIES","Abies (pooled)","BFT","G","M","01","T","DBH","Stem dia. @ breast ht","8.7","111.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total foliage biomass",NA,NA,"g","3.4416","1.9278",NA,NA,"ln(BFT) =  3.4416 + 1.9278 * ln(DBH)",2,"Total foliage biomass",NA,NA,"kg","DBH","8.7","111.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BFT) = -3.4662 + 1.9278 * ln(DBH)","25","0.94","0.159","0.399","Y",NA,"Gholz et al. 1979. Equations for estimating... Res Pap 41, For Res Lab, Ore State Univ.  They took the eqn. from Waring et al. 1978. Variation... For Sci 24:131-140.","212",FALSE
20,"T","ABIES","Abies (pooled)","BBL","G","M","01","T","DBH","Stem dia. @ breast ht","8.7","111.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Live branch biomass",NA,NA,"g","2.0791","2.5585",NA,NA,"ln(BFT) =  2.0791 + 2.5585 * ln(DBH)",2,"Live branch biomass",NA,NA,"kg","DBH","8.7","111.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BFT) = -4.8287 + 2.5585 * ln(DBH)","26","0.95","0.206","0.454","Y",NA,"Gholz et al. 1979. Equations for estimating... Res Pap 41, For Res Lab, Ore State Univ.","224",FALSE
21,"T","ABIES","Abies (pooled)","BSW","G","M","01","T","DBH","Stem dia. @ breast ht","8.7","111.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stem wood biomass (without bark)",NA,NA,"g","3.1689","2.6825",NA,NA,"ln(BSW) =  3.1689 + 2.6825 * ln(DBH)",2,"Stem wood biomass (without bark)",NA,NA,"kg","DBH","8.7","111.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BSW) = -3.7389 + 2.6825 * ln(DBH)","20","0.97","0.085","0.292","Y",NA,"Gholz et al. 1979. Equations for estimating... Res Pap 41, For Res Lab, Ore State Univ.","236",FALSE
22,"T","ABIES","Abies (pooled)","BSB","G","M","01","T","DBH","Stem dia. @ breast ht","8.7","111.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stem bark biomass",NA,NA,"g","0.716","2.8796",NA,NA,"ln(BSB) =   0.716 + 2.8796 * ln(DBH)",2,"Stem bark biomass",NA,NA,"kg","DBH","8.7","111.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BSB) = -6.1918 + 2.8796 * ln(DBH)","20","0.98","0.057","0.239","Y",NA,"Gholz et al. 1979. Equations for estimating... Res Pap 41, For Res Lab, Ore State Univ.","248",FALSE
23,"T","ABAM","Abies amabilis (pacific silver fir)","BFT","W","O","01","T","DBH","Stem dia. @ breast ht","11.7","90.4","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total foliage biomass",NA,NA,"g","2.3591","2.1926",NA,NA,"ln(BFT) =  2.3591 + 2.1926 * ln(DBH)",2,"Total foliage biomass",NA,NA,"kg","DBH","11.7","90.4","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BFT) = -4.5487 + 2.1926 * ln(DBH)","9","0.97","0.077","0.277","Y",NA,"Gholz et al. 1979. Equations for estimating... Res Pap 41, For Res Lab, Ore State Univ.  They took the eqn. from Waring et al. 1978. Variation... For Sci 24:131-140.","260",FALSE
