"SPP_CODE","SPP_TEXT","BIO_COMP"
"ABAM","Abies amabilis (pacific silver fir)","BFT"
"ABAM","Abies amabilis (pacific silver fir)","BBL"
"ABAM","Abies amabilis (pacific silver fir)","BSW"
"ABAM","Abies amabilis (pacific silver fir)","BSB"
"ABAM","Abies amabilis (pacific silver fir)","BST"
"ABCO","Abies concolor (white fir)","BSW"
"ABCO","Abies concolor (white fir)","BSB"
"ABCO","Abies concolor (white fir)","BST"
"ABGR","Abies grandis (grand fir)","BCL"
"ABGR","Abies grandis (grand fir)","BCD"
"ABGR","Abies grandis (grand fir)","BCT"
"ABGR","Abies grandis (grand fir)","BST"
"ABIES","Abies (pooled)","BFT"
"ABIES","Abies (pooled)","BBL"
"ABIES","Abies (pooled)","BSW"
"ABIES","Abies (pooled)","BSB"
"ABLA2","Abies lasiocarpa (subalpine fir)","BSW"
"ABLA2","Abies lasiocarpa (subalpine fir)","BSB"
"ABLA2","Abies lasiocarpa (subalpine fir)","BST"
"ABLA2","Abies lasiocarpa (subalpine fir)","BCL"
"ABLA2","Abies lasiocarpa (subalpine fir)","BCD"
"ABMA","Abies magnifica (california red fir)","BSW"
"ABMA","Abies magnifica (california red fir)","BSB"
"ABMA","Abies magnifica (california red fir)","BST"
"ABPR","Abies procera (noble fir)","BFT"
"ABPR","Abies procera (noble fir)","BBL"
"ABPR","Abies procera (noble fir)","BSW"
"ABPR","Abies procera (noble fir)","BSB"
"ABPR","Abies procera (noble fir)","BST"
"ACMA","Acer macrophyllum (bigleaf maple)","BFT"
"ACMA","Acer macrophyllum (bigleaf maple)","BBL"
"ACMA","Acer macrophyllum (bigleaf maple)","BBD"
"ACMA","Acer macrophyllum (bigleaf maple)","BSW"
"ACMA","Acer macrophyllum (bigleaf maple)","BSB"
"ACMA","Acer macrophyllum (bigleaf maple)","BCL"
"ACMA","Acer macrophyllum (bigleaf maple)","VSW"
"ALRU","Alnus rubra (red alder)","BFT"
"ALRU","Alnus rubra (red alder)","BBL"
"ALRU","Alnus rubra (red alder)","BST"
"ALRU","Alnus rubra (red alder)","BBD"
"ALRU","Alnus rubra (red alder)","BSB"
"ALRU","Alnus rubra (red alder)","BSW"
"ALRU","Alnus rubra (red alder)","PFT"
"ALRU","Alnus rubra (red alder)","VST"
"ALRU","Alnus rubra (red alder)","BAT"
"ALRU","Alnus rubra (red alder)","HST"
"ALRU","Alnus rubra (red alder)","BCL"
"ALRU","Alnus rubra (red alder)","VSW"
"ALRU","Alnus rubra (red alder)","AFT"
"ALSI","Alnus sinuata (sitka alder)","BFT"
"ALSI","Alnus sinuata (sitka alder)","BST"
"ARME","Arbutus menziesii (pacific madrone)","BCL"
"ARME","Arbutus menziesii (pacific madrone)","BBD"
"ARME","Arbutus menziesii (pacific madrone)","VSW"
"CACH","Castanopsis chrysophylla (gldn chinkapin","BFT"
"CACH","Castanopsis chrysophylla (gldn chinkapin","BBL"
"CACH","Castanopsis chrysophylla (gldn chinkapin","BBD"
"CACH","Castanopsis chrysophylla (gldn chinkapin","BSW"
"CACH","Castanopsis chrysophylla (gldn chinkapin","BSB"
"CACH","Castanopsis chrysophylla (gldn chinkapin","BFN"
"CACH","Castanopsis chrysophylla (gldn chinkapin","BCL"
"CACH","Castanopsis chrysophylla (gldn chinkapin","VSW"
"CADE","Calocedrus decurrens (incense cedar)","BSW"
"CADE","Calocedrus decurrens (incense cedar)","BSB"
"CADE","Calocedrus decurrens (incense cedar)","BST"
"CEDAR","CHNO+THPL","BFT"
"CEDAR","CHNO+THPL","BBL"
"CEDAR","CHNO+THPL","BSW"
"CEDAR","CHNO+THPL","BSB"
"CHNO","Chamaecyparis nootkatensis (ak yl cedar)","BSW"
"CHNO","Chamaecyparis nootkatensis (ak yl cedar)","BSB"
"CHNO","Chamaecyparis nootkatensis (ak yl cedar)","BST"
"LAOC","Larix occidentalis (western larch)","BCL"
"LAOC","Larix occidentalis (western larch)","BST"
"LIDE","Lithocarpus densiflorus (tanbark oak)","BCL"
"LIDE","Lithocarpus densiflorus (tanbark oak)","BBD"
"LIDE","Lithocarpus densiflorus (tanbark oak)","VSW"
"PIAL","Pinus albicaulis (whitebark pine)","BCL"
"PIAL","Pinus albicaulis (whitebark pine)","BCD"
"PIAL","Pinus albicaulis (whitebark pine)","BST"
"PICO","Pinus contorta (lodgepole pine)","BFT"
"PICO","Pinus contorta (lodgepole pine)","BBL"
"PICO","Pinus contorta (lodgepole pine)","BST"
"PICO","Pinus contorta (lodgepole pine)","BSW"
"PICO","Pinus contorta (lodgepole pine)","BSB"
"PICO","Pinus contorta (lodgepole pine)","BCL"
"PICO","Pinus contorta (lodgepole pine)","BKL"
"PIEN","Picea engelmannii (engelmann spruce)","BSW"
"PIEN","Picea engelmannii (engelmann spruce)","BSB"
"PIEN","Picea engelmannii (engelmann spruce)","BST"
"PIEN","Picea engelmannii (engelmann spruce)","BCL"
"PIEN","Picea engelmannii (engelmann spruce)","BCD"
"PIJE","Pinus jefferyi (jeffrey pine)","BSW"
"PIJE","Pinus jefferyi (jeffrey pine)","BSB"
"PIJE","Pinus jefferyi (jeffrey pine)","BST"
"PILA","Pinus lambertiana (sugar pine)","BFT"
"PILA","Pinus lambertiana (sugar pine)","BBL"
"PILA","Pinus lambertiana (sugar pine)","BSW"
"PILA","Pinus lambertiana (sugar pine)","BSB"
"PILA","Pinus lambertiana (sugar pine)","BST"
"PIMO","Pinus monticola (western white pine)","BCL"
"PIMO","Pinus monticola (western white pine)","BCD"
"PINUS","Pinus (pooled pine species)","BFT"
"PINUS","Pinus (pooled pine species)","BBL"
"PINUS","Pinus (pooled pine species)","BBD"
"PINUS","Pinus (pooled pine species)","BSW"
"PINUS","Pinus (pooled pine species)","BSB"
"PIPO","Pinus ponderosa (ponderosa pine)","BFT"
"PIPO","Pinus ponderosa (ponderosa pine)","BBL"
"PIPO","Pinus ponderosa (ponderosa pine)","BBD"
"PIPO","Pinus ponderosa (ponderosa pine)","BSW"
"PIPO","Pinus ponderosa (ponderosa pine)","BSB"
"PIPO","Pinus ponderosa (ponderosa pine)","BFN"
"PIPO","Pinus ponderosa (ponderosa pine)","BST"
"PIPO","Pinus ponderosa (ponderosa pine)","BCL"
"PIPO","Pinus ponderosa (ponderosa pine)","BCD"
"PIPO","Pinus ponderosa (ponderosa pine)","BCT"
"PISI","Picea sitchensis (sitka spruce)","BSW"
"PISI","Picea sitchensis (sitka spruce)","BSB"
"PISI","Picea sitchensis (sitka spruce)","BST"
"PISI","Picea sitchensis (sitka spruce)","BFN"
"PISI","Picea sitchensis (sitka spruce)","BFT"
"PISI","Picea sitchensis (sitka spruce)","BBL"
"PISI","Picea sitchensis (sitka spruce)","BCL"
"PISI","Picea sitchensis (sitka spruce)","PFT"
"PSME","Pseudotsuga menziesii (douglas fir)","BFT"
"PSME","Pseudotsuga menziesii (douglas fir)","BBL"
"PSME","Pseudotsuga menziesii (douglas fir)","BBD"
"PSME","Pseudotsuga menziesii (douglas fir)","BSW"
"PSME","Pseudotsuga menziesii (douglas fir)","BSB"
"PSME","Pseudotsuga menziesii (douglas fir)","BRL"
"PSME","Pseudotsuga menziesii (douglas fir)","BFN"
"PSME","Pseudotsuga menziesii (douglas fir)","BST"
"PSME","Pseudotsuga menziesii (douglas fir)","VST"
"PSME","Pseudotsuga menziesii (douglas fir)","BAT"
"PSME","Pseudotsuga menziesii (douglas fir)","HST"
"PSME","Pseudotsuga menziesii (douglas fir)","BCL"
"PSME","Pseudotsuga menziesii (douglas fir)","BCD"
"PSME","Pseudotsuga menziesii (douglas fir)","BCT"
"PSME","Pseudotsuga menziesii (douglas fir)","PFT"
"PSME","Pseudotsuga menziesii (douglas fir)","BBS"
"SEGI","Sequoiadendron giganteum (giant sequoia)","BSW"
"SEGI","Sequoiadendron giganteum (giant sequoia)","BSB"
"SEGI","Sequoiadendron giganteum (giant sequoia)","BST"
"THPL","Thuja plicata (western redcedar)","BSW"
"THPL","Thuja plicata (western redcedar)","BSB"
"THPL","Thuja plicata (western redcedar)","BST"
"THPL","Thuja plicata (western redcedar)","BCL"
"THPL","Thuja plicata (western redcedar)","BCD"
"THPL","Thuja plicata (western redcedar)","BCT"
"TSHE","Tsuga heterophylla (western hemlock)","BFT"
