"SPCD","Accepted.Symbol","Common name","Species name"
15,"ABCO"," white fir  "," Abies concolor  "
17,"ABGR"," grand fir  "," Abies grandis  "
19,"ABLA"," subalpine fir  "," Abies lasiocarpa  "
20,"ABMA"," California red fir  "," Abies magnifica  "
22,"ABPR"," noble fir  "," Abies procera  "
21,"ABSH"," Shasta red fir  "," Abies shastensis  "
312,"ACMA3"," bigleaf maple  "," Acer macrophyllum  "
313,"ACNE2"," boxelder  "," Acer negundo  "
333,"AECA"," California buckeye  "," Aesculus californica  "
341,"AIAL"," ailanthus  "," Ailanthus altissima  "
352,"ALRH2"," white alder  "," Alnus rhombifolia  "
351,"ALRU2"," red alder  "," Alnus rubra  "
361,"ARME"," Pacific madrone  "," Arbutus menziesii  "
374,"BEOC2"," water birch  "," Betula occidentalis  "
81,"CADE27"," incense-cedar  "," Calocedrus decurrens  "
475,"CELE3"," curlleaf mountain-mahogany  "," Cercocarpus ledifolius  "
41,"CHLA"," Port-Orford-cedar  "," Chamaecyparis lawsoniana  "
431,"CHCH7"," giant chinkapin,golden chinkapin  "," Chrysolepis chrysophylla  "
492,"CONU4"," Pacific dogwood  "," Cornus nuttallii  "
54,"CUMA2"," Monterey cypress  "," Cupressus macrocarpa  "
55,"CUSA3"," Sargent cypress  "," Cupressus sargentii  "
511,"EUGL"," Tasmanian bluegum  "," Eucalyptus globulus  "
542,"FRLA"," Oregon ash  "," Fraxinus latifolia  "
62,"JUCA7"," California juniper  "," Juniperus californica  "
64,"JUOC"," western juniper  "," Juniperus occidentalis  "
65,"JUOS"," Utah juniper  "," Juniperus osteosperma  "
631,"LIDE3"," tanoak  "," Lithocarpus densiflorus  "
990,"OLTE"," desert ironwood  "," Olneya tesota  "
92,"PIBR"," Brewer spruce  "," Picea breweriana  "
93,"PIEN"," Engelmann spruce  "," Picea engelmannii  "
98,"PISI"," Sitka spruce  "," Picea sitchensis  "
101,"PIAL"," whitebark pine  "," Pinus albicaulis  "
102,"PIAR"," Rocky Mountain bristlecone pine  "," Pinus aristata  "
103,"PIAT"," knobcone pine  "," Pinus attenuata  "
104,"PIBA"," foxtail pine  "," Pinus balfouriana  "
108,"PICO"," lodgepole pine  "," Pinus contorta  "
109,"PICO3"," Coulter pine  "," Pinus coulteri  "
113,"PIFL2"," limber pine  "," Pinus flexilis  "
116,"PIJE"," Jeffrey pine  "," Pinus jeffreyi  "
117,"PILA"," sugar pine  "," Pinus lambertiana  "
142,"PILO"," Great Basin bristlecone pine  "," Pinus longaeva  "
133,"PIMO"," singleleaf pinyon  "," Pinus monophylla  "
119,"PIMO3"," western white pine  "," Pinus monticola  "
120,"PIMU"," bishop pine  "," Pinus muricata  "
122,"PIPO"," ponderosa pine  "," Pinus ponderosa  "
124,"PIRA2"," Monterey pine  "," Pinus radiata  "
127,"PISA2"," gray pine or California foothill pine  "," Pinus sabiniana  "
137,"PIWA"," Washoe pine  "," Pinus washoensis  "
730,"PLRA"," California sycamore  "," Platanus racemosa  "
747,"POBA2"," black cottonwood  "," Populus balsamifera  "
748,"POFR2"," Fremont cottonwood  "," Populus fremontii  "
746,"POTR5"," quaking aspen  "," Populus tremuloides  "
756,"PRGL2"," western honey mesquite  "," Prosopis glandulosa  "
758,"PRPU"," screwbean mesquite  "," Prosopis pubescens  "
768,"PREM"," bitter cherry  "," Prunus emarginata  "
763,"PRVI"," chokecherry  "," Prunus virginiana  "
201,"PSMA"," bigcone Douglas-fir  "," Pseudotsuga macrocarpa  "
202,"PSME"," Douglas-fir  "," Pseudotsuga menziesii  "
801,"QUAG"," California live oak  "," Quercus agrifolia  "
805,"QUCH2"," canyon live oak  "," Quercus chrysolepis  "
807,"QUDO"," blue oak  "," Quercus douglasii  "
811,"QUEN"," Engelmann oak  "," Quercus engelmannii  "
815,"QUGA4"," Oregon white oak  "," Quercus garryana  "
818,"QUKE"," California black oak  "," Quercus kelloggii  "
821,"QULO"," California white oak  "," Quercus lobata  "
826,"QUMU"," chinkapin oak  "," Quercus muehlenbergii  "
839,"QUWI2"," interior live oak  "," Quercus wislizeni  "
211,"SESE3"," redwood  "," Sequoia sempervirens  "
212,"SEGI2"," giant sequoia  "," Sequoiadendron giganteum  "
231,"TABR2"," Pacific yew  "," Taxus brevifolia  "
242,"THPL"," western redcedar  "," Thuja plicata  "
251,"TOCA"," California torreya (nutmeg)  "," Torreya californica  "
263,"TSHE"," western hemlock  "," Tsuga heterophylla  "
264,"TSME"," mountain hemlock  "," Tsuga mertensiana  "
981,"UMCA"," California-laurel  "," Umbellularia californica  "
