"FIA.ID","Common.name","Family","Genus","Species","Species.group","Wood.specific.gravity","Bark.specific.gravity","Bark.specific.gravity.source","Stump.volume.equation","autocode"
0,"conifers (general)","","","","",NA,NA,NA,NA,""
10,"fir spp.","Pinaceae","Abies","spp.","tf",0.357,0.375,NA,94,"ABSP"
11,"Pacific silver fir","Pinaceae","Abies","amabilis","tf",0.400000305175781,NA,NA,NA,"ABAM"
12,"balsam fir","Pinaceae","Abies","balsamea","tf",0.340000305175781,0.375,94,12,"ABBA"
13,"silver fir (Himalaya)","Pinaceae","Abies","pindrow","tf",NA,NA,NA,NA,"ABPI"
14,"Bristlecone fir","Pinaceae","Abies","bracteata","tf",NA,NA,NA,NA,"ABBR"
15,"White fir","Pinaceae","Abies","concolor","tf",0.370000305175781,NA,NA,NA,"ABCO"
16,"Fraser fir","Pinaceae","Abies","fraseri","tf",0.340000305175781,0.400000305175781,NA,12,"ABFR"
17,"Grand fir","Pinaceae","Abies","grandis","tf",0.350000305175781,NA,NA,NA,"ABGR"
18,"Corkbark fir","Pinaceae","Abies","lasiocarpa var. arizonica","tf",0.280000152587891,NA,NA,NA,"ABLA"
19,"Subalpine fir","Pinaceae","Abies","lasiocarpa","tf",0.310000152587891,NA,NA,NA,"ABLA"
20,"California red fir","Pinaceae","Abies","magnifica","tf",0.370000305175781,NA,NA,NA,"ABMA"
21,"Shasta red fir","Pinaceae","Abies","magnifica var. shastensis","tf",0.370000305175781,NA,NA,NA,"ABMA"
22,"Noble fir","Pinaceae","Abies","procera","tf",0.370000305175781,NA,NA,NA,"ABPR"
41,"Port-Orford-cedar","Pinaceae","Chamaecyparis","lawsoniana","cl",0.390000305175781,NA,NA,NA,"CHLA"
42,"Alaska-cedar","Pinaceae","Chamaecyparis","nootkatensis","cl",0.420000305175781,NA,NA,NA,"CHNO"
43,"Atlantic white-cedar","Pinaceae","Chamaecyparis","thyoides","cl",0.310000152587891,0.400000305175781,NA,241,"CHTH"
50,"Cypress","Cupressaceae","Cupressus","spp.","wo",NA,NA,NA,NA,"CUSP"
51,"Arizona cypress","Cupressaceae","Cupressus","arizonica","wo",NA,NA,NA,NA,"CUAR"
58,"Pinchot juniper","Cupressaceae","Juniperus","pinchotti","wo",NA,NA,NA,NA,"JUPI"
59,"Redberry juniper","Cupressaceae","Juniperus","erythrocarpa","wo",NA,NA,NA,NA,"JUER"
60,"Common juniper","Cupressaceae","Juniperus","communis","wo",0.440000305175781,0.400000305175781,NA,94,"JUCO"
60,"redcedar","Cupressaceae","Juniperus","spp.","cl",0.440000305175781,0.400000305175781,NA,241,"JUSP"
62,"California juniper","Cupressaceae","Juniperus","californica","wo",NA,NA,NA,NA,"JUCA"
63,"Alligator juniper","Cupressaceae","Juniperus","deppeana","wo",0.480000305175781,NA,NA,NA,"JUDE"
64,"Western juniper","Cupressaceae","Juniperus","occidentalis","wo",NA,NA,NA,NA,"JUOC"
65,"Utah juniper","Cupressaceae","Juniperus","osteosperma","wo",NA,NA,NA,NA,"JUOS"
66,"Rocky Mountain juniper","Cupressaceae","Juniperus","scopulorum","wo",0.440000305175781,0.400000305175781,NA,94,"JUSC"
67,"southern redcedar","Cupressaceae","Juniperus","silicicola","cl",0.440000305175781,0.400000305175781,NA,241,"JUSI"
68,"eastern redcedar","Cupressaceae","Juniperus","virginiana","cl",0.440000305175781,0.400000305175781,NA,241,"JUVI"
69,"Oneseed juniper","Cupressaceae","Juniperus","monosperma","wo",NA,NA,NA,NA,"JUMO"
70,"larch (introduced)","Pinaceae","Larix","spp.","cl",0.480000305175781,0.400000305175781,NA,125,"LASP"
71,"tamarack (native)","Pinaceae","Larix","laricina","cl",0.490000305175781,0.400000305175781,NA,125,"LALA"
72,"Subalpine larch","Pinaceae","Larix","lyallii","cl",0.480000305175781,NA,NA,NA,"LALY"
73,"Western larch","Pinaceae","Larix","occidentalis","cl",0.480000305175781,NA,NA,NA,"LAOC"
81,"Incense-cedar","Cupressaceae","Calocedrus","decurrens","cl",0.350000305175781,NA,NA,NA,"CADE"
90,"spruce","Pinaceae","Picea","spp.","sp",0.366,0.300000152587891,NA,94,"PISP"
91,"Norway spruce","Pinaceae","Picea","abies","sp",0.380000305175781,0.400000305175781,NA,94,"PIAB"
92,"Brewer spruce","Pinaceae","Picea","breweriana","sp",NA,NA,NA,NA,"PIBR"
93,"Engelmann spruce","Pinaceae","Picea","engelmannii","sp",0.330000305175781,0.400000305175781,NA,94,"PIEN"
94,"white spruce","Pinaceae","Picea","glauca","sp",0.370000305175781,0.290000152587891,46,94,"PIGL"
95,"black spruce","Pinaceae","Picea","mariana","sp",0.380000305175781,0.351,94,95,"PIMA"
96,"blue spruce","Pinaceae","Picea","pungens","sp",0.380000305175781,0.400000305175781,NA,94,"PIPU"
97,"red spruce","Pinaceae","Picea","rubens","sp",0.380000305175781,0.320000305175781,NA,94,"PIRU"
98,"Sitka spruce","Pinaceae","Picea","sitchensis","sp",0.370000305175781,NA,NA,NA,"PISI"
100,"pine spp.","Pinaceae","Pinus","spp.","pi",NA,NA,NA,NA,"PISP"
101,"Whitebark pine","Pinaceae","Pinus","albicaulis","pi",NA,NA,NA,NA,"PIAL"
102,"Bristlecone pine","Pinaceae","Pinus","aristata","pi",NA,NA,NA,NA,"PIAR"
103,"Knobcone pine","Pinaceae","Pinus","attenuata","pi",NA,NA,NA,NA,"PIAT"
104,"Foxtail pine","Pinaceae","Pinus","balfouriana","pi",NA,NA,NA,NA,"PIBA"
105,"jack pine","Pinaceae","Pinus","banksiana","pi",0.400000305175781,0.340000305175781,94,105,"PIBA"
106,"Twoneedle pinyon","Pinaceae","Pinus","edulis","pi",NA,NA,NA,NA,"PIED"
107,"sand pine","Pinaceae","Pinus","clausa","pi",0.460000305175781,0.450000305175781,NA,125,"PICL"
108,"Lodgepole pine","Pinaceae","Pinus","contorta","pi",0.380000305175781,NA,NA,NA,"PICO"
109,"Coulter pine","Pinaceae","Pinus","coulteri","pi",NA,NA,NA,NA,"PICO"
110,"shortleaf pine","Pinaceae","Pinus","echinata","pi",0.470000305175781,0.450000305175781,NA,125,"PIEC"
111,"slash pine","Pinaceae","Pinus","elliottii","pi",0.540000305175781,0.450000305175781,NA,125,"PIEL"
112,"Apache pine","Pinaceae","Pinus","engelmannii","pi",NA,NA,NA,NA,"PIEN"
113,"Limber pine","Pinaceae","Pinus","flexilis","pi",0.370000305175781,NA,NA,NA,"PIFL"
114,"Southwestern white pine","Pinaceae","Pinus","strobiformis","pi",NA,NA,NA,NA,"PIST"
115,"spruce pine","Pinaceae","Pinus","glabra","pi",0.410000305175781,0.450000305175781,NA,125,"PIGL"
116,"Jeffrey pine","Pinaceae","Pinus","jeffreyi","pi",0.370000305175781,NA,NA,NA,"PIJE"
117,"Sugar pine","Pinaceae","Pinus","lambertiana","pi",0.340000305175781,NA,NA,NA,"PILA"
118,"Chihuahuan pine","Pinaceae","Pinus","leiophylla","pi",NA,NA,NA,NA,"PILE"
119,"Western white pine","Pinaceae","Pinus","monticola","pi",0.350000305175781,NA,NA,NA,"PIMO"
120,"Bishop pine","Pinaceae","Pinus","muricata","pi",NA,NA,NA,NA,"PIMU"
121,"longleaf pine","Pinaceae","Pinus","palustris","pi",0.540000305175781,0.450000305175781,NA,125,"PIPA"
122,"ponderosa pine","Pinaceae","Pinus","ponderosa","pi",0.380000305175781,0.400000305175781,NA,125,"PIPO"
123,"Table Mountain pine","Pinaceae","Pinus","pungens","pi",0.490000305175781,0.450000305175781,NA,125,"PIPU"
124,"Monterey pine","Pinaceae","Pinus","radiata","pi",NA,NA,NA,NA,"PIRA"
125,"red pine","Pinaceae","Pinus","resinosa","pi",0.410000305175781,0.243,NA,125,"PIRE"
126,"pitch pine","Pinaceae","Pinus","rigida","pi",0.470000305175781,0.450000305175781,NA,125,"PIRI"
127,"California foothill pine","Pinaceae","Pinus","sabiniana","pi",NA,NA,NA,NA,"PISA"
128,"pond pine","Pinaceae","Pinus","serotina","pi",0.510000305175781,0.450000305175781,NA,125,"PISE"
129,"eastern white pine","Pinaceae","Pinus","strobus","pi",0.340000305175781,0.340000305175781,NA,129,"PIST"
130,"Scotch pine","Pinaceae","Pinus","sylvestris","pi",0.410000305175781,0.450000305175781,NA,125,"PISY"
131,"loblolly pine","Pinaceae","Pinus","taeda","pi",0.470000305175781,0.450000305175781,NA,125,"PITA"
132,"Virginia pine","Pinaceae","Pinus","virginiana","pi",0.450000305175781,0.450000305175781,NA,125,"PIVI"
133,"Singleleaf pinyon","Pinaceae","Pinus","monophylla","pi",0.410000305175781,0.400000305175781,NA,94,"PIMO"
133,"Austrian pine","Pinaceae","Pinus","nigra","pi",0.410000305175781,0.400000305175781,NA,125,"PINI"
134,"Border pinyon","Pinaceae","Pinus","discolor","pi",NA,NA,NA,NA,"PIDI"
135,"Arizona pine","Pinaceae","Pinus","arizonica","pi",NA,NA,NA,NA,"PIAR"
136,"Border pinyon","Pinaceae","Pinus","cembroides","pi",NA,NA,NA,NA,"PICE"
145,"Roxburg pine","Pinaceae","Pinus","roxburghii (Himalayas)","pi",NA,NA,NA,NA,"PIRO"
201,"Bigcone Douglas-fir","Pinaceae","Pseudotsuga","macrocarpa","df",NA,NA,NA,NA,"PSMA"
202,"Douglas-fir","Pinaceae","Pseudotsuga","menziesii","df",0.450000305175781,0.400000305175781,NA,94,"PSME"
211,"Redwood","Taxodiaceae","Sequoia","sempervirens","cl",0.360000305175781,NA,NA,NA,"SESE"
212,"Giant sequoia","Taxodiaceae","Sequoiadendron","giganteum","cl",NA,NA,NA,NA,"SEGI"
221,"baldcypress","Cupressaceae","Taxodium","distichum","cl",0.420000305175781,0.420000305175781,NA,241,"TADI"
222,"pondcypress","Cupressaceae","Taxodium","distichum var. nutans","cl",NA,NA,NA,NA,"TADI"
231,"Pacific yew","Taxaceae","Taxus","brevifolia","tf",0.600000305175781,NA,NA,NA,"TABR"
241,"northern white-cedar","Cupressaceae","Thuja","occidentalis","cl",0.290000152587891,0.290000152587891,NA,241,"THOC"
242,"Western redcedar","Cupressaceae","Thuja","plicata","cl",0.310000152587891,NA,NA,NA,"THPL"
