plot	subplot	census_date	easting	northing	adult_density	sapling_density	ABG_biomass
P1	1	6/20/2004	711261	5091041	537.5846322473	0	153.1347792429
P1	2	6/20/2004	711258	5091081	298.6581290263	1657.8643281201	59.815645034
P1	3	6/20/2004	711309	5091006	716.7795096631	2210.4857708268	171.6272958308
P1	4	6/20/2004	711223	5091028	776.5111354683	2763.1072135335	176.1576925943
P10	1	7/12/2004	711219.418	5090809.296	59.7316258053	552.6214427067	43.2966546624
P10	2	7/12/2004	711214	5090790	836.2427612736	5526.214427067	146.6985284306
P10	3	7/12/2004	711249	5090788	477.8530064421	1105.2428854134	119.6216212183
P10	4	7/12/2004	711182	5090805	358.3897548315	3868.3500989469	85.5096725255
P11	1	1/12/2004	711361.257	5090798.334	418.1213806368	552.6214427067	122.8953412596
P11	2	1/12/2004	711361	5090838	418.1213806368	7736.7001978937	84.0558367027
P11	3	1/12/2004	711399	5090769	418.1213806368	1105.2428854134	94.0634659221
P11	4	1/12/2004	711316	5090777	716.7795096631	3315.7286562402	156.6092891044
P12	1	8/2/2004	711648.122	5091080.052	358.3897548315	3315.7286562402	56.5854672949
P12	2	8/2/2004	711646	5091123	238.926503221	10499.8074114272	151.7725378507
P12	3	8/2/2004	711686	5091102	776.5111354683	3868.3500989469	88.7257315781
P12	4	8/2/2004	711621	5091070	597.3162580526	8289.3216406004	110.7330013261
P13	1	7/29/2004	711616.661	5091533.129	776.5111354683	8289.3216406004	113.5540917904
P13	2	7/29/2004	711616	5091569	358.3897548315	8289.3216406004	109.0188577046
P13	3	7/29/2004	711657	5091524	1015.4376386894	7736.7001978937	108.7172116055
P13	4	7/29/2004	711587	5091512	59.7316258053	552.6214427067	8.235426626
P14	1	7/14/2004	710743.901	5090560.142	238.926503221	0	35.9283315684
P14	2	7/14/2004	710745	5090601	238.926503221	0	45.1926430877
P14	3	7/14/2004	710767	5090542	179.1948774158	19894.371937441	70.0202928211
P14	4	7/14/2004	710681	5090521	358.3897548315	13815.5360676674	73.8477554947
P15	1	7/14/2004	710871.906	5090380.222	0	8841.9430833071	8.8430999569
P15	2	7/14/2004	710899	5090434	418.1213806368	8289.3216406004	64.190195026
P15	3	7/14/2004	710930	5090385	358.3897548315	7184.0787551871	115.8326002085
P15	4	7/14/2004	710865	5090394	776.5111354683	552.6214427067	80.8687517545
P16	1	7/20/2004	711075.223	5090215.871	537.5846322473	6078.8358697737	48.7287411024
P16	2	7/20/2004	711081	5090246	597.3162580526	3315.7286562402	87.1680837997
P16	3	7/20/2004	711104	5090203	358.3897548315	4420.9715416536	50.3817768723
P16	4	7/20/2004	711045	5090196	119.4632516105	8289.3216406004	18.1063487866
P17	1	7/27/2004	710895.991	5090185.504	0	1657.8643281201	0.2785068769
P17	2	7/27/2004	710925	5090242	418.1213806368	6078.8358697737	76.7839617129
P17	3	7/27/2004	710961	5090192	119.4632516105	4420.9715416536	14.2810853873
P17	4	7/27/2004	710898	5090185	238.926503221	2210.4857708268	96.7474945257
P18	1	7/20/2004	711190.638	5090470.878	477.8530064421	10499.8074114272	93.2389149236
P18	2	7/20/2004	711194	5090522	119.4632516105	2763.1072135335	46.9878727493
P18	3	7/20/2004	711220	5090458	358.3897548315	3315.7286562402	194.7874443161
P18	4	7/20/2004	711155	5090451	1612.7538967419	2763.1072135335	158.3218229754
P19	1	7/26/2004	711680.369	5090435.659	716.7795096631	3868.3500989469	64.2614721854
P19	2	7/26/2004	711675	5090473	657.0478838578	2210.4857708268	151.3267483213
P19	3	7/26/2004	711709	5090422	836.2427612736	6631.4573124804	116.7103902702
P19	4	7/26/2004	711650	5090410	537.5846322473	1657.8643281201	172.4436626195
P2	1	6/22/2004	711364	5091145	597.3162580526	8841.9430833071	125.8106052123
P2	2	6/22/2004	711379	5091183	1015.4376386894	0	172.9674045696
P2	3	6/22/2004	711400	5091129	836.2427612736	4973.5929843603	104.7920814156
P2	4	6/22/2004	711346	5091130	477.8530064421	1657.8643281201	49.6811251338
P20	1	7/26/2004	711813.418	5090562.092	418.1213806368	8289.3216406004	56.3880612772
P20	2	7/26/2004	711810	5090614	776.5111354683	1657.8643281201	178.7703568156
P20	3	7/26/2004	711845	5090549	119.4632516105	0	15.2175436138
P20	4	7/26/2004	711777	5090541	358.3897548315	2763.1072135335	52.9955510193
P21	1	7/27/2004	711708.158	5090072.939	418.1213806368	7736.7001978937	132.9849135712
P21	2	7/27/2004	711694	5090100	358.3897548315	552.6214427067	70.6319628322
P21	3	7/27/2004	711753	5090063	298.6581290263	8289.3216406004	134.1136902112
P21	4	7/27/2004	711669	5090056	119.4632516105	7736.7001978937	23.3786539146
P22	1	7/27/2004	711894.042	5089889.224	537.5846322473	3315.7286562402	121.9306411208
P22	2	7/27/2004	711892	5089929	298.6581290263	552.6214427067	67.2527080311
P22	3	7/27/2004	711891	5089828	298.6581290263	2210.4857708268	253.6973954221
P22	4	7/27/2004	711860	5089869	358.3897548315	4420.9715416536	150.0134968062
P23	1	7/27/2004	711536.582	5090197.193	238.926503221	6631.4573124804	50.9004630987
P23	2	7/27/2004	711535	5090231	418.1213806368	1105.2428854134	384.6499801847
P23	3	7/27/2004	711561	5090181	597.3162580526	3315.7286562402	329.2725491661
P23	4	7/27/2004	711492	5090168	1015.4376386894	552.6214427067	443.4953934133
P24	1	7/14/2004	711956.458	5090578.034	238.926503221	7736.7001978937	48.4104456002
P24	2	7/14/2004	711951	5090619	895.9743870789	2210.4857708268	105.0112044389
P24	3	7/14/2004	711984	5090556	1254.3641419104	1105.2428854134	174.3725998977
P24	4	7/14/2004	711922	5090561	119.4632516105	7736.7001978937	53.3503414325
P25	1	7/28/2004	711495.435	5089591.604	119.4632516105	1105.2428854134	11.2992711491
P25	2	7/28/2004	711507	5089617	716.7795096631	6078.8358697737	113.7536053681
P25	3	7/28/2004	711531	5089587	298.6581290263	11605.0502968406	100.9578752868
P25	4	7/28/2004	711470	5089570	298.6581290263	2763.1072135335	53.811377184
P26	1	7/22/2004	712203.366	5090139.459	776.5111354683	9394.5645260138	236.368073791
