legend_year,PFT,CLASS,SUBCLASS,CLASS_desc,SUBCLASS_desc,is_agricultural,harmonized_SUBCLASS,crops_included
2016,row,G,1,Grain and hay crops,Barley,TRUE,6,""
2021,row,G,2,Grain and hay crops,Wheat,TRUE,2,""
2016,row,G,3,Grain and hay crops,Oats,TRUE,6,""
2021,row,G,6,Grain and hay crops,Miscellaneous grain and hay,TRUE,6,"Barley, cover crops, forage mixes, mixed grain and hay, oats, rye, triticale, vetch"
2016,row,G,7,Grain and hay crops,Mixed grain and hay,TRUE,6,""
2021,row,G,**,Grain and hay crops,(no subclass),TRUE,**,""
2021,rice,R,1,Rice,Rice,TRUE,1,""
2021,rice,R,2,Rice,Wild rice,TRUE,2,""
2021,rice,R,**,Rice,(no subclass),TRUE,**,""
2021,row,F,1,Field crops,Cotton,TRUE,1,""
2021,row,F,2,Field crops,Safflower,TRUE,2,""
2016,row,F,3,Field crops,Flax,TRUE,11,""
2016,row,F,4,Field crops,Hops,TRUE,11,""
2021,row,F,5,Field crops,Sugar beets,TRUE,5,""
2016,row,F,6,Field crops,Corn (field & sweet),TRUE,16,""
2016,row,F,7,Field crops,Grain sorghum,TRUE,16,""
2016,row,F,8,Field crops,Sudan,TRUE,16,""
2016,row,F,9,Field crops,Castor beans,TRUE,11,""
2021,row,F,10,Field crops,Beans (dry),TRUE,10,"Blackeye bean, castor bean, common bean (kidney, pinto, black), garbanzo bean, lima bean"
2021,row,F,11,Field crops,Miscellaneous field,TRUE,11,"Flax, hemp, hops, horseradish, millet, mint, quinoa, sugarcane, mixed field crops; former F3 F4 F9 F14 F15"
2021,row,F,12,Field crops,Sunflowers,TRUE,12,""
2016,row,F,13,Field crops,Hybrid sorghum/sudan,TRUE,16,""
2016,row,F,14,Field crops,Millet,TRUE,11,""
2016,row,F,15,Field crops,Sugar cane,TRUE,11,""
2021,row,F,16,Field crops,"Corn, Sorghum or Sudan (grouped for RS only)",TRUE,16,"Corn (field and sweet), hybrid sorghum/sudan, sorghum, sudan grass; former F6 F7 F8 F13"
2021,row,F,**,Field crops,(no subclass),TRUE,**,""
2021,hay,P,1,Pasture,Alfalfa and alfalfa mixtures,TRUE,1,"Alfalfa, alfalfa mixtures, clover; former P2"
2016,hay,P,2,Pasture,Clover,TRUE,1,""
2021,hay,P,3,Pasture,Mixed pasture,TRUE,3,""
2021,hay,P,4,Pasture,Native pasture,TRUE,4,""
2021,hay,P,5,Pasture,Induced high water table native pasture,TRUE,5,""
2021,hay,P,6,Pasture,Miscellaneous grasses,TRUE,6,"Bermuda grass, forage grass, kleingrass, ryegrass, teff; former P8 P9 P10"
2021,hay,P,7,Pasture,Turf farms,TRUE,7,""
2016,hay,P,8,Pasture,Bermuda grass,TRUE,6,""
2016,hay,P,9,Pasture,Rye grass,TRUE,6,""
2016,hay,P,10,Pasture,Klein grass,TRUE,6,""
2021,hay,P,**,Pasture,(no subclass),TRUE,**,""
2016,row,T,1,"Truck, nursery, and berry crops",Artichokes,TRUE,18,""
2016,row,T,2,"Truck, nursery, and berry crops",Asparagus,TRUE,18,""
2016,row,T,3,"Truck, nursery, and berry crops",Beans (green),TRUE,18,""
2021,row,T,4,"Truck, nursery, and berry crops",Cole crops (mixture of 22-25),TRUE,4,"Broccoli, broccolini, Brussels sprouts, cabbage, cauliflower, collard, kale, kohlrabi, mixed cole crops; former T22-T25"
2021,row,T,6,"Truck, nursery, and berry crops",Carrots,TRUE,6,""
2016,row,T,7,"Truck, nursery, and berry crops",Celery,TRUE,18,""
2016,row,T,8,"Truck, nursery, and berry crops",Lettuce (all types),TRUE,30,""
