column_number,column_name,contents,notes
1,event_type,always planting,
2,site_id,parcel_id,
3,year,event year,
4,season,LandIQ season,
5,date,planting date,from mslsp_OGI or planting_date_str when gap-filled
6,code,CLASS+SUBCLASS string,
7,PFT,plant functional type,
8,LAI,leaf area index at planting,from traits + MSLSP EVI
9,C_LEAF,leaf C kg/m2,
10,C_STEM,stem C kg/m2,
11,C_FINEROOT,fine root C kg/m2,
12,C_COARSEROOT,coarse root C kg/m2,
13,N_LEAF,leaf N kg/m2,
14,N_STEM,stem N kg/m2,
15,N_FINEROOT,fine root N kg/m2,
16,N_COARSEROOT,coarse root N kg/m2,
