"","YP","D","X","T","G","F","P","C","I","V","R"
"YP",0.208333333333333,0.625,0.0833333333333333,0,0.0416666666666667,0,0,0,0,0.0416666666666667,0
"D",0,0.99,0.01,0,0,0,0,0,0,0,0
"X",0.0222428174235403,0.00185356811862836,0.329935125115848,0.06209453197405,0.13531047265987,0.00741427247451344,0.020389249304912,0,0.387395736793327,0.0333642261353105,0
"T",0,0,0.117647058823529,0.78973717146433,0.0926157697121402,0,0,0,0,0,0
"G",0.01230012300123,0,0.339483394833948,0.038130381303813,0.578105781057811,0.014760147601476,0.01230012300123,0,0,0.00492004920049201,0
"F",0,0,0.16,0,0.56,0.16,0.12,0,0,0,0
"P",0,0,0.169014084507042,0,0.253521126760563,0.0422535211267606,0.535211267605634,0,0,0,0
"C",0,0,0.0295566502463054,0,0,0,0,0.970443349753695,0,0,0
"I",0,0,0.00350877192982456,0.0210526315789474,0.171929824561404,0,0.129824561403509,0,0.656140350877193,0.0175438596491228,0
"V",0.000351000351000351,0,0.0252720252720253,0,0.000351000351000351,0,0,0,0,0.974025974025974,0
"R",0,0,0,0,0,0,0,0,0,0,0
