"","YP","D","X","T","G","F","P","C","I","V","R"
"YP",0,0.777777777777778,0,0,0,0.111111111111111,0,0,0,0.111111111111111,0
"D",0,0.942652329749104,0.025089605734767,0,0,0,0,0.017921146953405,0.003584229390681,0.010752688172043,0
"X",0.0107962213225371,0.00269905533063428,0.213225371120108,0.00134952766531714,0.110661268556005,0,0.102564102564103,0,0.442645074224022,0.116059379217274,0
"T",0,0.0810810810810811,0,0.831081081081081,0.0810810810810811,0.00675675675675676,0,0,0,0,0
"G",0.00276625172890733,0,0.107883817427386,0.004149377593361,0.688796680497925,0.00276625172890733,0.190871369294606,0,0.00276625172890733,0,0
"F",0,0,0,0.0344827586206897,0.0689655172413793,0.482758620689655,0.413793103448276,0,0,0,0
"P",0.00106609808102345,0.00213219616204691,0.0277185501066098,0.00319829424307036,0.133795309168444,0.005863539445629,0.817697228144989,0,0,0.00852878464818763,0
"C",0,0.0277777777777778,0.0138888888888889,0,0,0,0,0.958333333333333,0,0,0
"I",0,0.00503778337531486,0.00503778337531486,0.00251889168765743,0.0554156171284635,0,0.035264483627204,0,0.795969773299748,0.100755667506297,0
"V",0,0.000857632933104631,0.0332332761578045,0.000214408233276158,0.00343053173241852,0,0.00192967409948542,0.000428816466552316,0.000428816466552316,0.959476843910806,0
"R",0,0,0,0,0,0,0,0,0,0,0
