"","YP","D","X","T","G","F","P","C","I","V","R"
"YP",0.497577657452266,0.483043602165859,0.00797948133371331,0.000569962952408094,0.000569962952408094,0,0,0.00512966657167284,0,0.00512966657167284,0
"D",0.0140728739794784,0.962641761174116,0.0154706312144604,0.000365322913688491,0.0013659900250961,0.000746529432319959,0.00022237046920169,0.000270021284030624,0.00406620286540233,0.000762413037262937,1.58836049429779e-05
"X",0.0301100798618606,0.058493416792575,0.244981653356357,0.0121951219512195,0.0951867040794302,0.0065832074249946,0.0291387869630909,0.00129505719835959,0.207209151737535,0.00366932872868552,0.311137491905893
"T",0.0046189376443418,0.0046189376443418,0.0628175519630485,0.77066974595843,0.0554272517321016,0.0986143187066975,0.00323325635103926,0,0,0,0
"G",0.0195945945945946,0.0378378378378378,0.264864864864865,0.0439189189189189,0.508108108108108,0.0202702702702703,0.0652027027027027,0.000675675675675676,0.00540540540540541,0,0.0341216216216216
"F",0.0450606585788562,0.0138648180242634,0.117850953206239,0.263431542461005,0.277296360485269,0.237435008665511,0.0190641247833622,0,0,0,0.0259965337954939
"P",0.00118929633300297,0.00158572844400396,0.0802775024777007,0.00178394449950446,0.0414271555996036,0.00297324083250743,0.860455896927651,0,0.000396432111000991,0,0.00991080277502478
"C",0.00187652467629949,0.00225182961155939,0.0243948207918934,0.000187652467629949,0,0,0.000750609870519797,0.969037342841058,0,0.00150121974103959,0
"I",0.0080393032603841,0.0634211701652523,0,0.00312639571237159,0.0768200089325592,0.0160786065207682,0.0482358195623046,0,0.58865564984368,0,0.19562304600268
"V",0,0.0553846153846154,0.0338461538461538,0.00615384615384615,0,0.00307692307692308,0,0.00307692307692308,0,0.898461538461538,0
"R",0,0,0.125244254210477,0,0.000837443007350889,0.000511770726714432,0.000651344561272913,0,0.000372196892155951,0,0.872382990602029
