"","YP","D","X","T","G","F","P","C","I","V","R"
"YP",0.454545454545455,0.454545454545455,0,0.0909090909090909,0,0,0,0,0,0,0
"D",0.00198019801980198,0.946534653465346,0.0435643564356436,0.00396039603960396,0,0,0,0.00396039603960396,0,0,0
"X",0.0182648401826484,0.0136986301369863,0.337899543378995,0.0228310502283105,0.0593607305936073,0,0.0273972602739726,0,0.479452054794521,0.0410958904109589,0
"T",0.0163934426229508,0.0491803278688525,0.0983606557377049,0.819672131147541,0,0,0.0163934426229508,0,0,0,0
"G",0,0,0.194244604316547,0,0.798561151079137,0,0.00719424460431655,0,0,0,0
"F",0,0,0,0,0,0,0,0,0,0,0
"P",0.00230414746543779,0,0.0276497695852535,0.0138248847926267,0.0483870967741935,0,0.907834101382488,0,0,0,0
"C",0,0,0.03515625,0,0,0,0,0.96484375,0,0,0
"I",0.00833333333333333,0,0.00833333333333333,0.0166666666666667,0.0333333333333333,0,0.0916666666666667,0,0.841666666666667,0,0
"V",0,0.000783085356303837,0.0321064996084573,0.00156617071260767,0,0,0,0,0,0.965544244322631,0
"R",0,0,0,0,0,0,0,0,0,0,0
