"","YP","D","X","T","G","F","P","C","I","V","R"
"YP",0.129952456418384,0.841521394611727,0.0142630744849445,0.00316957210776545,0.00475435816164818,0.00158478605388273,0.00316957210776545,0,0,0.00158478605388273,0
"D",0.00452266782911944,0.961257628596338,0.0150937227550131,0.00765584132519616,0.00212510897994769,0.00907258064516129,5.44899738448126e-05,0,0.000163469921534438,5.44899738448126e-05,0
"X",0.0236768802228412,0.0218861918026263,0.189216076402706,0.0197970553123756,0.0612813370473538,0.020791882212495,0.0133306804615997,0.000198965380023876,0.246518105849582,0.00159172304019101,0.401711102268205
"T",0.0109494525273736,0.0109494525273736,0.0406479676016199,0.497975101244938,0.12314384280786,0.297135143242838,0.00569971501424929,0,0,0.000299985000749962,0.0131993400329983
"G",0.0730961645358533,0.047248471372985,0.139521956642579,0.259866592551417,0.257643135075042,0.104502501389661,0.0653140633685381,0,0.0183435241801001,0,0.0344635908838243
"F",0.00713749060856499,0.0664913598797896,0.0576634109691961,0.368801652892562,0.15495867768595,0.313392186326071,0.020473328324568,0,0,0,0.0110818933132983
"P",0.0161328588374852,0.00427046263345196,0.0398576512455516,0.0143534994068802,0.0246737841043891,0.0126927639383155,0.852431791221827,0,0.0151838671411625,0,0.0204033214709371
"C",0,0,0.015625,0.0078125,0,0,0,0.9765625,0,0,0
"I",0.0041422160856058,0.00276147739040387,0.0062133241284087,0.0179496030376251,0.042112530203659,0.00586813945460822,0.062133241284087,0,0.390058681394546,0,0.468760787021056
"V",0.0358744394618834,0.00448430493273543,0.0538116591928251,0,0,0,0,0,0,0.905829596412556,0
"R",0.000179163307354654,0,0.24966406879871,0.00170205141986921,0.00170205141986921,0.00313535787870644,0.000268744961031981,0,0.00152288811251456,0,0.741825674101944
