"","YP","D","X","T","G","F","P","C","I","V","R"
"YP",0.336492890995261,0.447867298578199,0.0260663507109005,0.12085308056872,0,0.0402843601895735,0,0.0213270142180095,0,0.00710900473933649,0
"D",0.0289256198347107,0.883264462809917,0.0161845730027548,0.0402892561983471,0.00068870523415978,0.0258264462809917,0.00068870523415978,0.00309917355371901,0.00068870523415978,0.00034435261707989,0
"X",0.012283044058745,0.0144192256341789,0.123898531375167,0.0352469959946595,0.545260347129506,0.017890520694259,0.0181575433911883,0.00267022696929239,0.224299065420561,0.00587449933244326,0
"T",0.0705702647657841,0.0507128309572301,0.0433808553971487,0.436252545824847,0.0271894093686354,0.369450101832994,0.00183299389002037,0,0,0.000610997963340122,0
"G",0.0299916689808387,0,0.432657595112469,0.0250856243636027,0.436267703415718,0.0440618346755531,0.0286031657872813,0,0.00166620383226881,0.00166620383226881,0
"F",0.0258203335126412,0.0444407663342575,0.0918608019199735,0.305002689618074,0.0417925269996276,0.473207266106674,0.0178756155087516,0,0,0,0
"P",0,0.00164323534781815,0.0492970604345445,0.00602519627533321,0.0526748219828373,0.0317692167244842,0.858042724119043,0,0.000547745115939383,0,0
"C",0,0.00523560209424084,0.0287958115183246,0,0.00261780104712042,0,0,0.963350785340314,0,0,0
"I",0.0124740124740125,0.00415800415800416,0.0103950103950104,0.0124740124740125,0.0478170478170478,0.00623700623700624,0.0956340956340956,0,0.810810810810811,0,0
"V",0.000485319097306479,0.00194127638922592,0.0198980829895656,0.000970638194612958,0.00145595729191944,0.0024265954865324,0,0.00339723368114535,0.000485319097306479,0.968939577772385,0
"R",0,0,0,0,0,0,0,0,0,0,0
