"","YP","D","X","T","G","F","P","C","I","V","R"
"YP",0,0,0,0,0,0,0,0,0,0,0
"D",0,0,0,0,0,0,0,0,0,0,0
"X",0,0,0.0526315789473684,0.0614035087719298,0.0087719298245614,0,0.789473684210526,0,0.087719298245614,0,0
"T",0,0,0.037037037037037,0.218518518518519,0.0518518518518519,0,0.692592592592593,0,0,0,0
"G",0,0,0.0657276995305164,0.338028169014085,0.164319248826291,0,0.431924882629108,0,0,0,0
"F",0,0,0,0,0,0,0,0,0,0,0
"P",0,0,0.0467244701348748,0.0296242774566474,0.0204720616570328,0,0.903179190751445,0,0,0,0
"C",0,0,0,0,0,0,0,0,0,0,0
"I",0,0,0,0,0,0,0,0,1,0,0
"V",0,0,0,0,0,0,0,0,0,0,0
"R",0,0,0,0,0,0,0,0,0,0,0
