"","YP","D","X","T","G","F","P","C","I","V","R"
"YP",0.5,0.264705882352941,0.117647058823529,0.117647058823529,0,0,0,0,0,0,0
"D",0.000774293457220286,0.934572202864886,0.0240030971738289,0.00464576074332172,0,0,0.000387146728610143,0.00309717382888115,0.000387146728610143,0.0321331784746419,0
"X",0.0168918918918919,0.0135135135135135,0.368243243243243,0.0557432432432432,0.0101351351351351,0,0.0236486486486486,0,0.378378378378378,0.133445945945946,0
"T",0.00204918032786885,0.00204918032786885,0.0341530054644809,0.956284153005464,0,0,0,0,0,0.00546448087431694,0
"G",0,0,1,0,0,0,0,0,0,0,0
"F",0,0,0,0,0,0,0,0,0,0,0
"P",0,0.0026525198938992,0.0318302387267905,0,0,0,0.96551724137931,0,0,0,0
"C",0,0.00714285714285714,0.00714285714285714,0,0,0,0,0.985714285714286,0,0,0
"I",0,0.0031055900621118,0.0031055900621118,0.0434782608695652,0.0031055900621118,0,0.0838509316770186,0,0.84472049689441,0.0186335403726708,0
"V",0,0.00737602008788449,0.0232266164469554,0.00455116133082235,0,0,0,0,0.000313873195229127,0.964532328939109,0
"R",0,0,0,0,0,0,0,0,0,0,0
