"","YP","D","X","T","G","F","P","C","I","V","R"
"YP",0.224613982414754,0.500616555865323,0.0539620416041175,0.0101329616126957,0.00474479948530989,0.000696976195582243,0.000965043963113875,0.172662449067124,0.000160840660518979,0.0312835084709415,0.000160840660518979
"D",0.00859292651120934,0.963626402469763,0.0187856997037784,0.00298721372535132,0.000666602783899876,0.001697753965245,0.00111864279673198,0.00134987063739725,0.00032496885715119,0.000849918549472342,0
"X",0.0626178411501296,0.0354407259014848,0.345348220598633,0.12141320999293,0.049736330426585,0.0211377563045015,0.00936837143530521,0.00897065755361772,0.332842328541127,0.0117546547254301,0.00136990337025689
"T",0.00837955782223508,0.0184547438155577,0.155820342280291,0.689088829885118,0.0382107836693919,0.0826848760482663,0.00440337548305686,0.0006309314124977,0.000216882673046084,0.00207024369725808,3.94332132811062e-05
"G",0.0297544928087871,0.028090590250401,0.287496261656834,0.150110111198717,0.386971534216035,0.0797150702808516,0.0293466735542807,0.00371931160109839,0,0.00274054539028303,0.00205540904271227
"F",0.0112261891334205,0.0272493846164053,0.102906733723021,0.256709505769014,0.0859977839555729,0.467283487815074,0.0444469509484537,0.000119427543972558,0.000238855087945116,0.000238855087945116,0.00358282631917674
"P",0.00948756136576756,0.0139555408461581,0.0393292514755364,0.014203761928402,0.0286649383124644,0.0436501369812639,0.847288874179491,0.00154448673396216,0,0.00187544817695405,0
"C",0.00660035835740666,0.00186492119793762,0.0137492229495009,0.00080447581087505,3.65670823125023e-05,1.82835411562511e-05,0.000109701246937507,0.966358284272498,0.00080447581087505,0.0096537097305006,0
"I",0.0206692015209125,0.0182053231939163,0.00684410646387833,0.0589961977186312,0.0763346007604563,0.0144486692015209,0.0142357414448669,0.00976425855513308,0.77812927756654,0.00200760456273764,0.000365019011406844
"V",0.0170617053209866,0.014697137031688,0.0312349559652253,0.00412029564183162,0.000623000028318183,0.00130263642284711,0.000707954577634299,0.0104210913827769,0.000226545464842976,0.919604678163849,0
"R",0,0,0.204244031830239,0,0.0716180371352785,0.0901856763925729,0,0,0,0,0.63395225464191
