"","YP","D","X","T","G","F","P","C","I","V","R"
"YP",0.345784418356457,0.603255069370331,0.0170757737459979,0.00106723585912487,0.00693703308431163,0,0.00080042689434365,0.0218783351120598,0.00266808964781217,0.000533617929562433,0
"D",0.0280710062787394,0.950106173329871,0.0120762614766495,0.00116867046548221,0.0040636123374937,0.000802028750821125,0.00279564307429078,0.000137490642997907,0.000779113643654807,0,0
"X",0.0520582502006651,0.044031647746818,0.13140694874441,0.00550395596835225,0.0970072239422085,0.0151358789129687,0.0343997248022016,0.00343997248022016,0.263960554982227,0,0.353055842219929
"T",0.0229472929365364,0.0530656149157404,0.109716744352815,0.481176048762997,0.09967730369308,0.211186805306562,0.0200788813194693,0,0,0,0.00215130871280029
"G",0.0323417149849946,0.0269222924739955,0.276040907898954,0.0305935141749949,0.540077503569243,0.0428600565251595,0.0406748055126599,0.00244748113399959,0.00349640161999942,0,0.00454532210599924
"F",0.0333403349309706,0.0202791727930646,0.0683992438274552,0.079226259810193,0.143329068723863,0.568523363058298,0.0743569669079035,0.00034371479310279,0,0,0.012201875155149
"P",0.00359909639707478,0.00895945273314359,0.0392071777723891,0.00229729557260092,0.0146516406519214,0.0165022398631833,0.912102918841653,0.000459459114520184,0,0,0.00222071905351422
"C",0.00333704115684093,0.0118650352243233,0.0129773822766036,0,0.00111234705228031,0.000370782350760104,0.00111234705228031,0.969225064886911,0,0,0
"I",0.0170496664195701,0.0163083765752409,0.00963676797627873,0.000741289844329133,0.174203113417346,0.00704225352112676,0.0415122312824314,0.00148257968865827,0.457375833951075,0,0.274647887323944
"V",0,0,0.1,0,0,0,0,0,0,0.9,0
"R",0.000218914185639229,0,0.216889229422067,0.000164185639229422,0.00333844133099825,0.00139557793345009,0.00120402802101576,0,0.000109457092819615,0,0.776680166374781
