"","YP","D","X","T","G","F","P","C","I","V","R"
"YP",0.5,0,0,0,0,0,0.5,0,0,0,0
"D",0,0.939130434782609,0.0217391304347826,0.0347826086956522,0,0,0.00434782608695652,0,0,0,0
"X",0,0.00104493207941484,0.0438871473354232,0.03239289446186,0.0616509926854754,0.00417972831765935,0.264367816091954,0,0.591431556948798,0.00104493207941484,0
"T",0.00100603621730382,0.0100603621730382,0.0558350100603622,0.764587525150905,0.0291750503018109,0.0256539235412475,0.111670020120724,0,0.00100603621730382,0.00100603621730382,0
"G",0,0,0.170242214532872,0.0200692041522491,0.624221453287197,0.0069204152249135,0.178546712802768,0,0,0,0
"F",0,0,0.00461627236006924,0.016733987305251,0.0294287362954414,0.148874783612233,0.800346220427005,0,0,0,0
"P",0,7.44282976387623e-05,0.0257894051318311,0.00582401429023315,0.0157415849505982,0.0282455389539103,0.924325028375788,0,0,0,0
"C",0,0,0,0,0,0,0,0,0,0,0
"I",0,0,0,0.0135746606334842,0.0331825037707391,0,0.081447963800905,0,0.868778280542986,0.00301659125188537,0
"V",0,0.0115830115830116,0.0193050193050193,0.027027027027027,0,0,0,0.00386100386100386,0,0.938223938223938,0
"R",0,0,0,0,0,0,0,0,0,0,0
