"","YP","D","X","T","G","F","P","C","I","V","R"
"YP",0.184615384615385,0.0153846153846154,0.169230769230769,0,0,0,0,0.6,0,0.0307692307692308,0
"D",0,0.772727272727273,0.0454545454545455,0,0,0,0,0.181818181818182,0,0,0
"X",0.00095112285336856,0,0.379180977542933,0.167714663143989,0.0153764861294584,0.0577542932628798,0.0762483487450462,0.0155350066050198,0.287239101717305,0,0
"T",0.000215404406815156,0,0.0659316988526723,0.637985968796279,0.0442297048660453,0.136027882903771,0.115609340174418,0,0,0,0
"G",0,0,0.0383715097809731,0.189433205149641,0.350693863902357,0.20866075907039,0.211837485370339,0.00100317672629995,0,0,0
"F",0,0,0.0321430348464996,0.204650622792032,0.0796609888378419,0.347950840064352,0.335196457300184,0.000398056159089778,0,0,0
"P",5.0411060186605e-05,0,0.0173666102342854,0.0437399965552442,0.0263397789475011,0.0649042399902539,0.847397318971782,0.00020164424074642,0,0,0
"C",0.00453926463912846,0.000302617642608564,0.0190649114843395,0.000907852927825692,0,0.00196701467695567,0.000302617642608564,0.972310485701316,0,0.000605235285217128,0
"I",0.0132864400156311,0,0.00390777647518562,0.05705353653771,0.0113325517780383,0.018757327080891,0.0468933177022274,0.0164126611957796,0.832356389214537,0,0
"V",0,0,0,0,0,0,0,0,0,1,0
"R",0,0,0,0,0,0,0,0,0,0,0
