"","YP","D","X","T","G","F","P","C","I","V","R"
"YP",0,0,0,0,0,0,0,0,0,0,0
"D",0,1,0,0,0,0,0,0,0,0,0
"X",0,0,0.327380952380952,0,0.0476190476190476,0,0.30952380952381,0,0.31547619047619,0,0
"T",0,0,0,0.666666666666667,0,0,0,0,0.333333333333333,0,0
"G",0,0,0.05,0,0.25,0,0.7,0,0,0,0
"F",0,0,0,0,0,0,0,0,0,0,0
"P",0,0,0.0433369447453954,0,0.00704225352112676,0,0.946912242686891,0,0.00270855904658722,0,0
"C",0,0,0,0,0,0,0,1,0,0,0
"I",0,0,0,0.0897435897435897,0,0.0128205128205128,0.192307692307692,0,0.705128205128205,0,0
"V",0,0,0,0,0,0,0,0,0,0,0
"R",0,0,0,0,0,0,0,0,0,0,0
