"","YP","D","X","T","G","F","P","C","I","V","R"
"YP",0.256558921582838,0.513262791708943,0.028989708653428,0.0028989708653428,0.00159443397593854,0.00028989708653428,0,0.146542977243079,0,0.0498622988838962,0
"D",0.00848250848250848,0.957458757458757,0.0290628290628291,0.00127530127530128,0.000269100269100269,0.00054990054990055,0.000210600210600211,0.000163800163800164,0.00224640224640225,0.000280800280800281,0
"X",0.0794644932788163,0.0652700097091362,0.287828025216404,0.0877240964349693,0.0732150915530515,0.0118013866287418,0.00841002639244055,0.0077126095696528,0.350923735419202,0.027650525797585,0
"T",0.00854325020415855,0.00653307368553301,0.117846598404422,0.774546139832904,0.0501427364923815,0.0259717598118251,0.00393659568230835,0.000670058839541847,0.000335029419770923,0.0114747576271541,0
"G",0.0239043824701195,0.013711650858495,0.243493032944365,0.154893117883795,0.36768661395029,0.0910267559204805,0.0970331870487593,0.00655247032175865,0.000242684085991061,0.00145610451594637,0
"F",0.00961826498805814,0.00699510180949683,0.116730761445978,0.0936080637979193,0.120786948953568,0.572788730113751,0.0781605473019472,0.000291462575395701,0,0.00102011901388495,0
"P",0.00730282375851996,0.00938934483238281,0.0394352482960078,0.0217519821950202,0.0790095979969398,0.0513805814438726,0.784636249826123,0.00229517318124913,0.00417304214772569,0.000625956322158854,0
"C",0.00630315917375456,0.000303766707168894,0.0240735115431349,0,0.000379708383961118,0,0,0.961193803159174,0.00729040097205346,0.000455650060753341,0
"I",0.0422721998121236,0.0409460131513511,0.00944907995800409,0.0567497375255567,0.0689617063601702,0.0145880532684975,0.00547051997568658,0.0179035199204288,0.715146156821573,0.0285130132066088,0
"V",0.00840579710144928,0.0108138238573021,0.0634782608695652,0.0032329988851728,0.000869565217391304,0.000668896321070234,8.91861761426979e-05,0.000490523968784838,0.000222965440356745,0.911727982162765,0
"R",0,0,0,0,0,0,0,0,0,0,0
