"","YP","D","X","T","G","F","P","C","I","V","R"
"YP",0.281697905181918,0.606394707828004,0.0407938257993385,0.00441014332965821,0,0.00441014332965821,0.00110253583241455,0.0529217199558986,0,0.00826901874310915,0
"D",0.00628170183577321,0.966813480387733,0.0157584071914656,0.000406144515243958,0.000740085561111211,0.0084568313507464,0.000839365331504179,0.00070398382642286,0,0,0
"X",0.0321561871949469,0.0373241458512776,0.305100966599675,0.0616326921236482,0.0941716910709159,0.0869939707149009,0.0155038759689922,0.00267968226624557,0.363096947076275,0.00133984113312279,0
"T",0.00914479254868755,0.00406435224386113,0.163590177815411,0.45385266723116,0.0687552921253175,0.297488004515947,0.0017499294383291,0.000338696020321761,0.00101608806096528,0,0
"G",0.0209692004893877,0.0208096175328475,0.299122293739029,0.0672163412947497,0.309207936592372,0.242778871216554,0.0395127400393638,0.00038299909569658,0,0,0
"F",0.00760165230359099,0.0103730880392752,0.138829134388239,0.112035289615034,0.0888938012220712,0.608138782943793,0.0338906998535098,0.000118775817243609,0,0.000118775817243609,0
"P",0.00712699822380107,0.00959147424511545,0.0511545293072824,0.00404085257548845,0.041696269982238,0.0778197158081705,0.808570159857904,0,0,0,0
"C",0,0.0222772277227723,0.0247524752475248,0,0,0.00247524752475248,0,0.95049504950495,0,0,0
"I",0.0126201923076923,0.0155048076923077,0.00432692307692308,0.0360576923076923,0.0614783653846154,0.0655649038461538,0.0115384615384615,0.00576923076923077,0.787139423076923,0,0
"V",0.0150778210116732,0.00583657587548638,0.0252918287937743,0.00194552529182879,0.00291828793774319,0.00632295719844358,0,0,0,0.942607003891051,0
"R",0,0,0,0,0,0,0,0,0,0,0
