"","YP","D","X","T","G","F","P","C","I","V","R"
"YP",0.263736263736264,0.527472527472527,0.0549450549450549,0.010989010989011,0,0,0.010989010989011,0.032967032967033,0,0.0989010989010989,0
"D",0.000495540138751239,0.920548397753551,0.0573174760488933,0.00313842087875785,0.0107367030062768,0,0.00594648166501487,0.000991080277502478,0,0.000825900231252065,0
"X",0.00592660132208799,0.00683838614087075,0.322315933439708,0.0113973102347846,0.0775017095965352,0.00455892409391384,0.0816047412810577,0.000455892409391384,0.411670845680419,0.0777296558012309,0
"T",0.0253164556962025,0.0126582278481013,0.0928270042194093,0.776371308016878,0.0210970464135021,0.0253164556962025,0.0210970464135021,0.0210970464135021,0.00421940928270042,0,0
"G",0.00155098875533152,0,0.176812718107794,0.00581620783249321,0.652190771616906,0,0.103140752229546,0.000775494377665762,0.0496316401706088,0.0100814269096549,0
"F",0,0,0.163265306122449,0.0408163265306122,0.285714285714286,0.510204081632653,0,0,0,0,0
"P",0.00237576717481687,0.0257374777271827,0.140962185705801,0.00455355375173233,0.116016630370224,0.00118788358740843,0.644228865571174,0,0.01267075826569,0.0522668778459711,0
"C",0,0.00952380952380952,0.0142857142857143,0,0,0,0,0.966666666666667,0,0.00952380952380952,0
"I",0,0.00608695652173913,0.00782608695652174,0.00434782608695652,0.0704347826086957,0,0.0252173913043478,0,0.867826086956522,0.0182608695652174,0
"V",0,0.000572655690765927,0.0284896206156049,0.000572655690765927,0.00171796707229778,0,0.00959198282032928,0.000429491768074445,0,0.958625626342162,0
"R",0,0,0.342105263157895,0,0,0,0,0,0,0,0.657894736842105
