"","YP","D","X","T","G","F","P","C","I","V","R"
"YP",0,0,0,0,0,0,0,0,0,0,0
"D",0,0,0,0,0,0,0,0,0,0,0
"X",0,0,0.388104648974214,0.00884622623753059,0.203274985883682,0.0020703933747412,0.118388857519292,0,0.27046866177301,0,0.00884622623753059
"T",0,0,0.22962962962963,0.5,0.166666666666667,0.0518518518518519,0.0518518518518519,0,0,0,0
"G",0,0,0.211767016992437,0.00412533149985267,0.531381986052451,0.00441999803555643,0.243591002848443,0,0.00471466457126019,0,0
"F",0,0,0.0263157894736842,0,0.625,0.0131578947368421,0.335526315789474,0,0,0,0
"P",0,0,0.0413677961909473,0.000865693791738808,0.0828592629235716,0.00228790502102399,0.869465743259956,0,0.0031535988127628,0,0
"C",0,0,0,0,0,0,0,0,0,0,0
"I",0,0,0.00678157671658661,0.00282565696524442,0.104549307714044,0.00847697089573326,0.364227182820006,0,0.509183385137044,0,0.00395591975134219
"V",0,0,0,0,0,0,0,0,0,0,0
"R",0,0,0.159139784946237,0,0,0,0.0021505376344086,0,0,0,0.838709677419355
