"","YP","D","X","T","G","F","P","C","I","V","R"
"YP",0.25,0.5,0,0,0,0,0,0.25,0,0,0
"D",0,0.896959459459459,0.0810810810810811,0.00168918918918919,0,0,0,0.0202702702702703,0,0,0
"X",0.000427715996578272,0.00470487596236099,0.270744225834046,0.0945252352437981,0.146706586826347,0.00363558597091531,0.0130453378956373,0.00513259195893926,0.457228400342173,0.00384944396920445,0
"T",0,0.000805450213108702,0.123233882605631,0.670772225391818,0.143974225593181,0.000402725106554351,0,0,0.060811491089707,0,0
"G",0,0,0.243221690590112,0.21916533758639,0.356193514088251,0.0127591706539075,0.0514354066985646,0,0.117224880382775,0,0
"F",0,0,0.385185185185185,0.118518518518519,0.125925925925926,0.162962962962963,0.148148148148148,0.0592592592592593,0,0,0
"P",0,0,0.11015911872705,0.0171358629130967,0.076499388004896,0.00734394124847001,0.788861689106487,0,0,0,0
"C",0,0,0.04014272970562,0.00267618198037467,0,0,0,0.938447814451383,0.00178412132024978,0.0169491525423729,0
"I",0,0,0.00328947368421053,0.0460526315789474,0.115131578947368,0,0.00592105263157895,0.000657894736842105,0.827631578947368,0.00131578947368421,0
"V",0,0,0.147133990507484,0,0,0,0,0.0164293537787514,0.000365096750638919,0.836071558963125,0
"R",0,0,0,0,0,0,0,0,0,0,0
