"","YP","D","X","T","G","F","P","C","I","V","R"
"YP",0.235335440814893,0.591851071303126,0.0618194590797331,0.00632244467860906,0.00491745697225149,0,0.00140498770635757,0.0252897787144362,0.000702493853178785,0.0723568668774148,0
"D",0.00667728048767714,0.979627748159165,0.01040084631257,0.00105265362982204,0.000953149057848816,0.000534182439014172,0.00018853497847559,0.00018853497847559,3.14224964125983e-05,0.000345647460538582,0
"X",0.0837754817090198,0.0335101926836079,0.403239318626082,0.0234571348785256,0.0628316112817649,0.00363027087405753,0.0189891091873778,0.0016755096341804,0.350740016755096,0.0181513543702876,0
"T",0.0370978649405855,0.0275335716355908,0.0701381509032944,0.77924838179886,0.0266640904260458,0.0416384890348759,0.0156506617718095,0,0,0.00202878948893827,0
"G",0.0181424766977363,0.0141478029294274,0.20655792276964,0.0204310918774967,0.632157123834887,0.0522220372836218,0.0528462050599201,0,0,0.00349533954727031,0
"F",0.0180701957604541,0.01181512799722,0.0159851731727094,0.0984593999768331,0.180006950075293,0.590524730684582,0.0851384223329087,0,0,0,0
"P",0.00875952370089876,0.00437976185044938,0.0388703864227383,0.0106756695104704,0.0762352297093846,0.044527578812902,0.815456909530544,0,0,0.00109494046261235,0
"C",0.00422450211225106,0.00362100181050091,0.0223295111647556,0.000603500301750151,0.00181050090525045,0,0,0.966807483403742,0,0.000603500301750151,0
"I",0.013722998729352,0.0157560355781449,0.00508259212198221,0.00559085133418043,0.0340533672172808,0.00736975857687421,0.0177890724269377,0.000508259212198221,0.894536213468869,0.00559085133418043,0
"V",0.0181005712992816,0.00803212851405622,0.0254539283896148,0.00175349284461791,0.0022625714124102,0.00011312857062051,0.000791899994343571,0.000791899994343571,0.00022625714124102,0.942474121839471,0
"R",0,0,0,0,0,0,0,0,0,0,0
