"","YP","D","X","T","G","F","P","C","I","V","R"
"YP",0.5,0,0,0,0.25,0,0,0.25,0,0,0
"D",0,0.866666666666667,0.133333333333333,0,0,0,0,0,0,0,0
"X",0,0.00293685756240822,0.328928046989721,0.0293685756240822,0.287812041116006,0,0.221732745961821,0,0.126284875183554,0.00293685756240822,0
"T",0,0,0.0738007380073801,0.870848708487085,0.029520295202952,0,0.018450184501845,0.003690036900369,0,0.003690036900369,0
"G",0,0,0.0555555555555556,0.00125125125125125,0.706706706706707,0.0005005005005005,0.233483483483483,0,0.001001001001001,0.0015015015015015,0
"F",0,0,0,0,0.126582278481013,0.443037974683544,0.430379746835443,0,0,0,0
"P",0,0,0.0238534715320176,0.00170381939514411,0.162714752236263,0.00227175919352549,0.808888257844668,0,0,0.000567939798381372,0
"C",0,0,0,0,0.00719424460431655,0,0,0.992805755395683,0,0,0
"I",0,0,0,0.0571428571428571,0.171428571428571,0,0.114285714285714,0,0.657142857142857,0,0
"V",0,0,0.013215859030837,0.00440528634361234,0.013215859030837,0,0.00440528634361234,0,0,0.964757709251101,0
"R",0,0,0,0,0,0,0,0,0,0,0
