"","YP","D","X","T","G","F","P","C","I","V","R"
"YP",0,0,0,0,0,0,0,0,0,0,0
"D",0,1,0,0,0,0,0,0,0,0,0
"X",0,0,0.452380952380952,0,0.0714285714285714,0,0,0,0.476190476190476,0,0
"T",0,0,0,0,0,0,0,0,0,0,0
"G",0,0,0.111111111111111,0,0.777777777777778,0,0.111111111111111,0,0,0,0
"F",0,0,0,0,0,0,0,0,0,0,0
"P",0,0,0.0714285714285714,0,0.0714285714285714,0,0.857142857142857,0,0,0,0
"C",0,0,0.0454545454545455,0,0,0,0,0.954545454545455,0,0,0
"I",0,0,0,0,0.0588235294117647,0,0.235294117647059,0,0.705882352941177,0,0
"V",0,0,0.0892857142857143,0,0,0,0,0,0,0.910714285714286,0
"R",0,0,0,0,0,0,0,0,0,0,0
